rank	username	minecraft:mined/minecraft:crafting_table
122	Mr_Sun15	87
123	Natty	85
123	Cryptacity	85
123	set67	85
123	SuperPooch06	85
127	Historical_Sand	83
127	fw3xy74	83
127	Inbefour	83
130	Myszoaz	82
130	mihimihimihi	82
132	philandr	81
133	Jovaphobic	80
133	Spenduh	80
133	fffMike	80
136	crashomon	77
136	DarkS0L	77
136	TheEnderMan548	77
139	SmashingPump	76
139	gcaisawesome	76
139	whoaluv	76
139	Bumpy419	76
139	Lutres_	76
144	shineh10	75
144	Smashic	75
146	teslawolf38	74
146	Touched_Bread	74
146	MakeHistory157	74
146	Nicserso	74
150	T045RTY	72
150	SkateboardR6	72
152	Dakar_	71
152	BreadBacon	71
154	Bandito_Roamer	70
154	CLG_Kata	70
154	Hahaa_0	70
157	SaucyDark	69
157	_Dean_123	69
157	claivin	69
160	Napoleonpancake	68
160	Chromary	68
160	DarlaMeow	68
160	Blu3beast	68
164	Quotary	67
165	CharlieButt	66
165	pappaberg	66
167	Apollo_993	65
167	Vizzoid	65
167	Kubeusz2010	65
167	Sral7	65
171	skroobiez	64
171	jcool7	64
171	calamariclam_I	64
174	olliebollie48	63
174	LordSpeed37	63
174	ZoomieZoomie	63
177	RoskobiOne	62
177	sp00ky_ghost977	62
177	annebolyn	62
180	_Huge_Male_	61
180	Cowison	61
180	Sleepy_Evelyn	61
180	Secret_Canary	61
180	IamCL4SSY	61
185	dopplexd	60
185	Zaridey	60
185	EngagedGrub41	60
188	Inchef	59
188	Manaateee	59
188	_Karmaa	59
191	Incinere	58
191	hanaryheatwave	58
191	non089	58
194	HUNTERmaun	57
194	Zythose	57
196	Ecplosive	56
196	AuroraSkies	56
198	q_wq	55
198	Flores991	55
198	2Stout	55
198	0nly_sn1per	55
198	AJplaysMC_	55
198	Razzgriz	55
204	6king6colt6	54
204	RebelAndroid	54
204	titanlax	54
207	_Nuf	53
207	TheDankPlatypus	53
207	groofles	53
210	_Virify_	52
210	ProfessorBee	52
210	NameGenerat0r	52
213	Huwulling	51
213	weabis	51
213	CalebDHawk	51
213	TheWickedBird	51
217	Ryan_GEMS	50
217	excelsionprime	50
217	Felenov	50
220	NieToksikpl	49
220	Megarboh	49
220	Wowful	49
220	Buuck_	49
220	IAmTheWalrus910	49
220	_TCARREIRA_	49
226	Tommhh	48
226	MSK__	48
226	Ssor69	48
226	TheWildMateo	48
226	Maenara	48
226	SingedBread	48
226	Luigipunch989	48
233	FishyBoy3811	47
233	obzii	47
235	MovingFish7	46
235	StarCookiees_	46
235	taengoos	46
235	2blox_	46
239	powercas_gamer	45
239	Hoid_the_Roamer	45
239	LexMakesHistory	45
239	Tyrannosplart	45
239	Cache3	45
239	Iamthejo	45
245	AuroraValkyrie	44
245	fkGrim	44
245	Pumpkin_P_Patch	44
245	TheKingK_	44
245	FormulaNewt3627	44
250	himak1	43
250	XxCookiequeenxX	43
250	Decaying_Lotus	43
253	prizm_	42
253	Lord_Jord	42
253	Barlycorn	42
253	WyngGoy	42
253	voiding_	42
258	Euclidoris	41
258	True_Clipse	41
260	j5ylim	40
260	NatalieTW	40
260	elicobnoah	40
260	abdomera	40
260	Nicky19	40
260	__tomato	40
260	Mikael_Kuningas	40
267	Jackster03	39
267	Samificator	39
267	Fuhrer_Teemo	39
267	wobn	39
267	The_slideV3	39
267	ediballbearings	39
267	SSytex_X	39
274	Malorn_Aetherius	38
274	SteveCraftBlocks	38
274	BiggieDawg	38
277	Cortexia	37
277	Awyrlas	37
277	hcb238	37
277	Deerfoot	37
277	BumbleBeever	37
277	Ze_BaronKrigler	37
277	Kyrum2169	37
284	MoistMicrowave	36
284	XboxPanda	36
284	Druid95	36
287	gren_ben	35
287	Kronos42	35
287	QuiCreans	35
287	Crowman1	35
287	ciemacigans	35
287	andy_rex	35
287	F_Uhre	35
287	parodypatient	35
287	Vorlice	35
287	layabout100	35
287	jaimshae	35
298	Nach0Bear	34
298	fragrantmonke444	34
298	masskedman	34
