rank	username	minecraft:mined/minecraft:sugar_cane
90	RadarHz	1113
91	Bolete	1106
92	djancak	1074
93	MAns_44	1058
94	ImDisconnected_	1038
95	Akoot_	1032
96	claivin	1029
97	_Boipl_	1024
98	FlashMigma	1016
99	eviltunix	996
100	Truckoss	995
101	Groovy_MoonBird	987
101	Eraxa	987
103	ROY4LE	979
104	I_Am_Mushkin	975
105	Sral7	964
106	_Karmaa	960
107	Enderslayerxz3	955
108	Ezekson	924
109	Awyrlas	915
110	starbits140	909
111	EcksD	908
112	The_slideV3	902
113	FishisTTV	891
114	trexgb	882
115	Dedalus36	878
116	Powowowow	871
117	SeverianTheLame	869
118	Merv__	868
119	pintsizedrogue	854
120	Bandito_Roamer	851
121	ExtraDumb	848
122	Arceus1975	847
123	Fullut	845
124	himak1	842
125	Blu3beast	840
126	Barlycorn	836
127	Racengan	832
128	301851	815
129	CollinMH06	796
130	RodSerlingCringe	794
131	PigDab	786
132	Harotio	781
133	bloomkieren	779
134	fanofbands101	771
135	Jovaphobic	769
136	ayamefag	768
137	Vorlice	762
138	1442	759
139	KGTV	750
140	Soap_Bender	749
141	Soplight	742
142	Wolverine4302	737
143	crying_wolf_13	736
144	Negriuke	735
145	Zaridey	728
146	loveseeker	720
147	SvenskaHugo	716
148	UrbanPlanner1978	696
149	SLASHZEERA	692
149	Skippeh	692
151	gaziter10	690
152	livingdaydreams	683
153	stahouo	680
154	NameGenerat0r	679
155	__tomato	666
156	6king6colt6	662
157	Airem_Core	659
158	Kakolbus	653
159	Steelynan	650
160	Kubelz	649
161	Bobby808	644
162	Wooptey	642
163	DennyKai	633
164	Fuhrer_Teemo	629
165	DanTheBuilderino	616
166	Nycteus_	610
167	Windo_licker	597
168	Chromary	588
168	DeGodz4life	588
170	TheTrueClipse	587
171	YungMaki	583
172	drumine	582
173	Lepthymo	578
174	Mahoose	571
175	Ailmast	568
176	PlasticOtari	549
177	Huwulling	543
178	IdeallyGrey	542
178	ReyTheLegend	542
180	emrekn	538
181	MightyWertu	534
182	stellarjay	532
183	M_Patata	524
183	MasterNueve	524
185	nut_e	522
186	thescout7	515
187	Yahrto	509
188	eitanzaki	507
189	Darkgon	506
190	Skylord_Luke	496
191	hm947	488
191	ComplexSquirrel	488
193	_TCARREIRA_	487
194	Zythose	481
195	NormanFetus	475
196	Noah_Bez	474
196	MonitorLizards	474
198	Fast_Turtle	473
199	Xalithia	472
200	SUN_DREAM	469
201	Jimi7hits	465
202	Valoth	462
203	ori0le	459
204	xxPipperDipperxx	456
205	Inbefour	448
206	IWorkAtIkea	442
207	Houstonion	441
208	_Cloverbelle_	439
209	Cocoamallows	438
210	MissCeleste7	432
211	Cowison	430
212	BreadBacon	428
213	_Virify_	424
213	Promsiel	424
215	Onennon	423
216	Moofyman	420
216	TheSeismicDuck	420
216	UltraZombie	420
219	Razzgriz	419
220	alddd	418
221	Froste131	414
221	Studyhallsaver	414
223	titanlax	403
224	SSytex_X	400
225	Sebastiannlol	396
226	XboxPanda	395
227	MattieHD	394
227	pixelviolin	394
229	DepressedCubic	393
230	Alteriity	389
230	Kynigito	389
232	Kowcio_	387
233	Rebytre	386
234	Euclidoris	377
234	Luigipunch989	377
236	laron58	374
237	burbankbuilder28	372
238	MyNameIsJobo	371
239	UncreativeArtist	369
240	RatatJuice	363
240	dopplexd	363
242	mariominejedi	360
243	T045RTY	357
244	Ssor69	346
245	OG_Songsee	344
245	sp00ky_ghost977	344
247	DarkS0L	341
248	lizardfightclub	340
249	dudcreeper	337
249	Fildyr	337
251	Gary_	332
251	NotMeowMix	332
253	PortlyPete69	330
254	Typadopoulos	328
255	Kouridragon	326
255	DTwenty	326
257	Seyaboy	324
258	legoclone09	323
258	krutas2000	323
260	selectrix	320
260	RobotMinion101	320
260	smogfrog	320
263	seramalen	319
263	LilLizardWizard	319
265	TableTim	318
266	Auseawesome	316
266	TheOnlyRake	316
268	ADEXTV	315
269	Warlord324	313
270	EcksDofficial	312
271	CliffEmAll	307
272	ShedJr_	303
272	Nagasaki_Riku	303
274	TheALV	302
275	Mr_Byzantine	300
276	h2p_emrld	295
277	ItsAki_	292
277	KeruNatsema	292
279	Purplehere	288
280	Skomo	283
281	AngalexikCZ	280
281	CrookedKaptain	280
283	MilleGrug	279
284	slkiey	278
284	jaimshae	278
286	toj__	277
287	censorsheep	274
288	JESS_THE_RERE	273
289	teslawolf38	271
289	_3Stump_	271
291	intropass	270
292	anbbang	269
293	_Dean_123	266
293	marumochis	266
295	jedi_george	263
296	Segotep999	260
297	Guillemet	258
298	Kubeusz2010	257
299	12Magner05	255
300	__Fanda__	254
