rank	username	minecraft:mined/minecraft:mossy_stone_bricks
162	Donutt	5
162	XeroByMyth	5
162	Lord_Jord	5
162	dankxing	5
162	godipose	5
162	DarlaMeow	5
162	IdeallyGrey	5
162	RealGroot	5
162	djancak	5
162	__tomato	5
162	DennyKai	5
162	SirBreadward	5
178	Houstonion	4
178	Alteriity	4
178	Scathra	4
178	TheDankPlatypus	4
178	legal_tax_evader	4
178	Jeteight	4
178	Capss	4
178	J4ko8_	4
178	Captain_Nasty	4
178	Xclax101	4
178	Vorlice	4
178	Mistruth	4
178	LordSpeed37	4
178	Soffbord	4
178	CheckOutMyPVault	4
178	xolstoi	4
194	seanitoo	3
194	6king6colt6	3
194	bigstankyy	3
194	ImpavidArcher	3
194	ZaneABrain	3
194	Yirtle	3
194	ROY4LE	3
194	xxPipperDipperxx	3
194	Noah_Bez	3
194	eiC_	3
194	whoaluv	3
194	okCrypto	3
194	Voxin2K	3
194	RobotMinion101	3
194	Kouridragon	3
194	natajimi	3
194	The_Quack_Dealer	3
194	drumine	3
194	censorsheep	3
194	MightyWertu	3
194	GravitySaint	3
194	yatsuta	3
194	xzvu	3
194	lcvezra	3
194	jcool7	3
194	Hermanni__	3
220	Groovy_MoonBird	2
220	JohnnyFyes	2
220	PhantomsGhost_	2
220	fanofbands101	2
220	soundad	2
220	AuroraValkyrie	2
220	LeDuctTape	2
220	RebelAndroid	2
220	CoffeeNoir	2
220	MOSS000	2
220	ITDV	2
220	Swalt	2
220	SquadMonster	2
220	Frxnkz	2
220	ratglock	2
220	jacxhadow	2
220	bloodbiter	2
220	wiqor	2
220	BilboBaggins23	2
220	eviltunix	2
220	Avrelion	2
220	Ecplosive	2
220	SamZombie	2
220	andy_rex	2
220	kars0n	2
220	ApophisNova	2
220	Onennon	2
220	Moofyman	2
220	parodypatient	2
220	AlphaWolfPlaysMC	2
220	TheSeismicDuck	2
220	jambvds	2
220	MAns_44	2
220	lordpipe	2
220	sp00ky_ghost977	2
220	33sudo	2
220	obzii	2
220	annoyingenderman	2
220	Skippeh	2
220	MyNamaSheff	2
220	Nicserso	2
220	JasmineGK	2
220	camando92	2
263	gary_	1
263	Harotio	1
263	dudcreeper	1
263	Paint	1
263	zqw10k	1
263	Gemstuff	1
263	diamondgolem35	1
263	gren_ben	1
263	Sabby65	1
263	Zippyzam	1
263	HollieDaNugget	1
263	Jahara	1
263	youhjjhhhjj	1
263	SyntheticSurgeon	1
263	Natty	1
263	lotarp	1
263	Sebaschan__	1
263	NinjaKnifeKill	1
263	Cats_Fly	1
263	gaziter10	1
263	Swexti	1
263	Sleepy_Time_	1
263	TheEnusa	1
263	Ssor69	1
263	FirsTimeGamingTV	1
263	urbeans	1
263	aikabot	1
263	Koffeeinz	1
263	o0z	1
263	ProfessorBee	1
263	Enigma0251	1
263	Cambo5000	1
263	set67	1
263	fade_emerge78823	1
263	Irko	1
263	intropass	1
263	SellyZ	1
263	hcb238	1
