rank	username	minecraft:mined/minecraft:iron_trapdoor
103	jacxhadow	12
103	PegLegPete93	12
103	Kakolbus	12
103	corpsecity	12
103	Bumpy419	12
103	GooseWithin	12
103	Lord_Jord	12
103	fw3xy74	12
113	Flores991	11
113	MyNameIsJobo	11
113	KingMatthew506	11
113	Sral7	11
117	ShedJr_	10
117	Arceus1975	10
117	oscminus	10
117	Maenara	10
117	AstreaTSS	10
117	Warlord324	10
123	j5ylim	9
123	Groovy_MoonBird	9
123	Smashic	9
123	Krowuss	9
123	censorsheep	9
123	ayamefag	9
123	__tomato	9
123	Spenduh	9
123	ConnorDanky_	9
132	k_ce	8
132	youhjjhhhjj	8
132	Ssor69	8
132	Onennon	8
132	tsitrawhy	8
137	Bandito_Roamer	7
137	Historical_Sand	7
137	gcaisawesome	7
137	Eczbox	7
137	Werbe	7
137	lizardfightclub	7
137	PlzNoBM	7
137	Winston_Ingram	7
137	Eczbek	7
146	teslawolf38	6
146	shineh10	6
146	Ozixar	6
146	Comma__	6
146	Fullut	6
146	theonlymagikarp	6
146	bearlystraight	6
146	ADEXTV	6
146	valkam13	6
146	EveryonesUncle	6
146	fkGrim	6
146	LexMakesHistory	6
146	geekbird	6
146	CACTUSLAD	6
146	Kyrum2169	6
146	jcool7	6
146	TheBananaKat	6
146	Zoeyfortnite	6
164	ECstardust	5
164	Ryan_GEMS	5
164	jessewegottacook	5
164	Frxnkz	5
164	Mewar	5
164	CharlieButt	5
164	CaptainSteve345	5
164	SuperPooch06	5
164	LeonelSalamanca	5
164	weabis	5
164	Blu3beast	5
164	GravitySaint	5
164	cichy096	5
177	I_Am_Mushkin	4
177	ssleepless	4
177	Archsam	4
177	Megarboh	4
177	xxPipperDipperxx	4
177	hcb238	4
177	Rumpletaezer	4
177	domagawha	4
177	YahooScreen9000	4
177	IamCL4SSY	4
177	Inbefour	4
177	Fuad_R	4
177	wwwwinnebagoooo	4
177	Hisiste	4
177	Nicserso	4
192	IgnoredBee	3
192	Mimiir345	3
192	cheerytomato	3
192	Cryptacity	3
192	TheSecondLord	3
192	SteveCraftBlocks	3
192	_Dean_123	3
192	Zythose	3
192	_Boipl_	3
192	ApophisNova	3
192	ScootOfBoot	3
192	selectrix	3
192	Samificator	3
192	lillips	3
192	DemTechAlpha	3
192	Shogunite	3
192	MustaLoordi	3
192	Nycteus_	3
192	Toriankel	3
192	Vorlice	3
192	MakeHistory157	3
192	ediballbearings	3
192	xzvu	3
192	_TCARREIRA_	3
192	Sheldor097	3
192	Kubeusz2010	3
192	Skippeh	3
192	MyNamaSheff	3
192	AltnumberF4	3
192	MrMeisterProper	3
192	Powowowow	3
223	abramgray	2
223	_stets	2
223	dabloons	2
223	KingFaenor	2
223	powercas_gamer	2
223	gren_ben	2
223	hm947	2
223	dongli	2
223	Incinere	2
223	jimintyy	2
223	Rox_The_Box	2
223	H72l9w	2
223	Whiterooster001	2
223	Crowman1	2
223	MattieHD	2
223	Lumien_	2
223	boog4loo	2
223	Z3braYTIL	2
223	Irko	2
223	Paintz	2
223	legal_tax_evader	2
223	AJplaysMC_	2
223	Muffindrake	2
223	Sqwishy	2
223	epiksk8erduck	2
223	cedric72	2
223	Leyna3	2
223	AlphaWolfPlaysMC	2
223	sufjanlover	2
223	YungWali	2
223	DarlaMeow	2
223	NameGenerat0r	2
223	claivin	2
223	fluddd	2
223	BumbleBeever	2
223	__Auspicious	2
223	SexcMf	2
223	Kura2218	2
223	BlankityMcBlank	2
223	NATE_the_HALO	2
223	obzii	2
223	CalebDHawk	2
223	Nargotah	2
223	mawileite	2
223	Njensen7	2
223	Hermanni__	2
223	tartanboy	2
223	FelixPSY375	2
223	Yahrto	2
223	JayToe	2
273	Jovaphobic	1
273	_Huge_Male_	1
273	Deu_Stew	1
273	RoskobiOne	1
273	BPTY4618	1
273	NotRemets	1
273	TildaAndrea	1
273	ExtraDumb	1
273	BodaciousCake	1
273	MoistMicrowave	1
273	ivorico	1
273	Da_Boss_Rani	1
273	Sleepy_Time_	1
273	NanoShot	1
273	Vizzoid	1
273	featherflyy	1
273	Prodiginus	1
273	aikabot	1
273	rpmm	1
273	noodlepack	1
273	Austine6698	1
273	Kamflame10	1
273	eviltunix	1
273	SellyZ	1
273	Covalents	1
273	RIPB0ZO	1
273	arcanemagic	1
273	Zaridey	1
