rank	username	minecraft:mined/minecraft:oak_leaves
95	PeteO1995	2358
96	Cryptacity	2355
97	The11thDoctor	2350
98	Kakolbus	2326
99	PegLegPete93	2293
100	CharlieButt	2285
101	crying_wolf_13	2279
102	Inchef	2258
103	EcksD	2253
104	RebelAndroid	2230
105	q_wq	2225
106	Soplight	2224
107	Blu3beast	2199
108	Sheldor097	2176
109	CSG_Haru	2170
110	ApophisNova	2152
110	MyNamaSheff	2152
112	masskedman	2125
113	2Stout	2069
114	Lutres_Torane	2051
115	NomadicRobin_	2042
116	wwwwinnebagoooo	2041
117	Matemaks2137	2025
118	thewindmillman	2023
119	kinas45y5	2016
120	_Karmaa	1996
121	Xclax101	1994
122	Enderslayerxz3	1989
123	HELLO_I_AM_BEAR	1988
124	AlphaWolfPlaysMC	1984
125	chipklip	1974
126	lcvezra	1952
127	xxPipperDipperxx	1937
128	Alteriity	1927
129	__tomato	1909
130	jnp_gaming	1895
131	Kowcio_	1858
132	PuFY	1794
133	Quaintster	1788
134	Luigipunch989	1782
135	NameGenerat0r	1716
136	Quotary	1714
137	cog	1693
138	Inbefour	1654
139	set67	1637
140	Akoot_	1622
141	EMC_	1607
142	The_slideV3	1600
143	07shiny	1592
144	Maenara	1568
145	PhantomsGhost_	1550
146	Kubelz	1549
147	MattieHD	1545
148	Historical_Sand	1535
149	SteveCraftBlocks	1526
150	fkGrim	1488
151	Groovy_MoonBird	1480
152	Segotep999	1472
153	M_Patata	1465
154	TheSeismicDuck	1446
155	_Bguette_	1445
156	MasterNueve	1419
157	AES784	1412
158	SammiWolfGirl	1396
159	CollinMH06	1376
160	123louis456	1365
161	stahouo	1360
162	Leyna3	1359
163	peachfuzz1267	1355
164	sp00ky_ghost977	1353
165	Optiprimus	1336
166	ZaneABrain	1334
167	r123moore	1331
168	Paigefly	1329
169	Jackattack53	1310
170	Kijiki	1287
171	toj__	1267
172	Windo_licker	1265
173	Menthas	1264
173	Deathkob	1264
175	wobn	1260
176	Kubeusz2010	1253
177	Njensen7	1220
178	ese_wn_po	1213
178	KlausVonStiglitz	1213
180	ElderRifken	1205
181	PlzNoBM	1203
182	SuperPooch06	1202
183	ooga47	1190
184	Gamergirl420628	1183
185	RefluxRatio	1179
186	Sna_Ke	1178
187	Zythose	1169
188	Drewen24	1166
189	Megarboh	1163
190	Toiton	1162
191	LeauVox4921	1153
192	Rebytre	1134
193	awesomeoneme	1131
194	Soap_Bender	1105
195	egglapras	1093
196	Cowison	1089
197	AuroraValkyrie	1086
198	Deguns123	1074
199	wiqor	1072
200	Warlord324	1067
201	platinumzero	1065
202	Comma__	1063
203	epiksk8erduck	1053
204	ImpavidArcher	1019
205	Ryker	1015
206	BronkerBrum	1012
207	GLLogan2	1011
208	CoryJJ	1004
209	AustinAuranymph	999
210	WyngGoy	995
211	Dusk_95	993
212	Nekomin0	992
213	DarlaMeow	981
214	RodSerlingCringe	975
215	SvenskaHugo	970
216	CaptainDeadBread	966
217	Rumpletaezer	956
218	Fuhrer_Teemo	954
219	_3Stump_	948
220	ChocolatePepsi	942
221	natajimi	939
222	Cocoamallows	935
223	2blox	934
224	Vizzoid	927
225	pixelviolin	925
226	stavgod	916
226	Oxygen16	916
228	tsitrawhy	908
229	VentiHilton	906
230	SpaceGrenadier	904
231	slkiey	903
232	wrinkledpiglet	900
233	jaimshae	897
234	_Nuf	895
235	SaucyDark	882
235	Groundler	882
237	GingerNeutron	865
238	FroggoTheDoggo	849
239	EcksDofficial	841
240	Z3braYTIL	832
241	markaus77	827
242	Syropatathe	826
243	SoftSix	825
243	Nicserso	825
245	LordAurum	813
246	Mr_Byzantine	812
247	mariominejedi	803
248	Quincannon	801
249	Kferno	800
250	Bumpy419	798
251	Mewar	796
251	Truckoss	796
253	Zaridey	786
253	HesDemonPants	786
255	ThePoliteG	780
256	Sral7	779
257	I_Am_Mushkin	769
258	yulgur1	758
259	Smashic	753
260	groofles	750
260	_TCARREIRA_	750
262	DrBalloon	746
263	SSytex_X	744
264	Skippeh	739
265	cowgirlkasia	736
266	Bandito_Roamer	729
267	wezzzi	723
268	Yahrto	720
269	MelodyGaysharks	718
270	MovingFish7	712
271	oreee	703
272	Karetoko	702
273	ProfessorBee	699
274	ReyTheLegend	693
275	Fildyr	691
276	Jonte0599	688
277	MightyWertu	682
278	TableTim	681
279	MineMaster0012	679
280	KnightmareD	671
281	T045RTY	665
282	RyuNeko932000	662
283	Natty	658
284	Franco093	654
284	GoofyBread	654
286	Dreamdbr14	651
287	ChronoSounds	647
288	himak1	646
289	Awyrlas	643
290	fade_emerge78823	642
291	ayqq	639
291	OnlyOfficial	639
293	Swexti	630
294	xo_Marren_xo	629
295	jacxhadow	620
295	bloomkieren	620
297	nitram49b	602
297	MakeHistory157	602
299	ColeSnyder	593
300	gustarbite	589
