rank	username	minecraft:mined/minecraft:bookshelf
120	wobn	61
122	KingFaenor	60
123	6king6colt6	59
123	ShedJr_	59
123	Karetoko	59
123	MAns_44	59
123	Frozil12	59
123	33sudo	59
129	Euclidoris	57
129	Blackberry1310	57
129	Rasmanden	57
129	Sheldor097	57
133	PlzNoBM	56
134	Nicserso	55
135	kars0n	53
136	RodSerlingCringe	51
137	dudcreeper	50
137	zorin123	50
139	Hisiste	49
140	rarrq	48
140	jacxhadow	48
140	PegLegPete93	48
143	Hpdinosaur	47
144	vandmanden	46
145	TheEnderman548	45
146	bloodbiter	44
146	Airem_Core	44
148	Malorn_Aetherius	43
148	Kamflame10	43
148	Kyrum2169	43
151	Quincannon	42
151	Eraxa	42
151	stahouo	42
154	set67	41
154	Noah_Bez	41
154	Miko_Fullbuster	41
157	ImpavidArcher	40
157	Kkanot	40
157	XboxPanda	40
160	I_Am_Mushkin	39
160	Diavri	39
160	fluddd	39
163	Wolverine4302	38
164	Ardennes	37
164	Chromary	37
164	Sky_light_KING	37
167	intropass	36
167	AssFullaCum	36
167	__tomato	36
167	FelixPSY375	36
171	Groovy_MoonBird	34
171	JESS_THE_RERE	34
171	2blox	34
174	stavgod	33
174	stellarjay	33
174	Njensen7	33
177	DarkDescent2392	32
177	CharlieButt	32
177	SokaOtaku	32
180	MangoTheFish	31
181	anbbang	30
182	BRRRN179	29
182	HolyVenom	29
182	SSytex_X	29
185	UncreativeArtist	28
185	Kubelz	28
185	AlexStrange	28
185	NoChumpChange	28
185	kinas45y5	28
190	Mr_Worthless	27
190	teslawolf38	27
192	2Stout	26
192	yaboo88	26
192	jewbacaman	26
192	stuy9	26
192	TheSeismicDuck	26
197	TheMilkerOfCats	25
197	Natty	25
197	Mewar	25
197	Winklepicker279	25
197	RedcatVII	25
197	KingMatthew506	25
203	RatatJuice	24
203	featherflyy	24
203	egglapras	24
203	NameGenerat0r	24
203	censorsheep	24
208	Swexti	23
208	uhm__okay	23
208	himak1	23
208	Marbz_	23
208	sufjanlover	23
208	Deathkob	23
208	FishisTTV	23
215	Mercadies	22
215	LotusProject	22
215	rotten_mango	22
215	Groundler	22
215	BumbleBeever	22
215	SUN_DREAM	22
221	Z3braYTIL	21
221	Xalithia	21
221	CheifJumbo	21
221	IvarEXE	21
225	pappaberg	20
225	Jiminbub	20
225	remmisrat	20
228	Bandito_Roamer	19
228	Jackster03	19
228	12Magner05	19
228	loveseeker	19
228	CaptainDeadBread	19
228	Corbsman	19
228	Kim_Jong_eel	19
228	natajimi	19
228	Meatlaugh	19
228	MovingFish7	19
228	lordpipe	19
239	Hyugo	18
239	BodaciousCake	18
239	YungJakobo	18
239	Kynigito	18
239	masskedman	18
239	ItzWqlfy	18
239	Luigipunch989	18
239	laron58	18
247	Tommhh	17
247	selectrix	17
247	fred870d	17
247	Razzgriz	17
247	mobunni	17
252	TooManyDuck	16
252	IWorkAtIkea	16
252	dopplexd	16
252	Upstro10	16
252	SDMNAEK	16
252	gabriels543	16
252	MyNameIsJobo	16
252	AmbroseForLife	16
252	CarryLine	16
252	Matorz	16
252	Kowcio_	16
252	underscore_2	16
252	_AAZAR	16
265	Cowison	15
265	CoffeeNoir	15
265	MOSS000	15
265	Stynxy	15
265	ratglock	15
265	Enigma0251	15
265	Austine6698	15
265	SuperStreetCat	15
265	HAPPYfaceO1	15
265	FlashMigma	15
265	IAmTheWalrus910	15
265	The_SlideV5	15
277	SlowMoNinja1994	14
277	Megarboh	14
277	Stiar	14
277	ouija_	14
277	Giannism	14
277	NoobSlayerPro	14
277	Lutres_Torane	14
277	radioactv_jelly	14
277	bloomkieren	14
277	Moetis	14
277	jcool7	14
288	EMC_	13
288	Ozixar	13
288	SpicyMeatballs	13
288	John6970	13
288	AnnieBathory	13
288	MustardDrinker	13
288	RobotMinion101	13
288	GravitySaint	13
288	Factoroni	13
288	Jij0	13
298	MunkaKris	12
298	awesomeoneme	12
298	H72l9w	12
