rank	username	minecraft:picked_up/minecraft:cracked_stone_bricks
182	00000000-0000-0000-0009-01ff0c3e5e4f	6
191	CLG_Kata	5
191	Houstonion	5
191	Flopperdonkey	5
191	bloodbiter	5
191	CrookedKaptain	5
191	TheDankPlatypus	5
191	ZeroAbyssTTV	5
191	whoaluv	5
191	epiksk8erduck	5
191	ogoa	5
191	TheSeismicDuck	5
191	The_Quack_Dealer	5
191	DanTheBuilderino	5
191	Quaintster	5
191	MAns_44	5
191	Blaiku	5
191	Toriankel	5
191	xzvu	5
191	miramyu	5
191	_TCARREIRA_	5
191	ProbsNotNova	5
191	HelloIamSora	5
213	Sleek_Storm_721	4
213	livingdaydreams	4
213	Jahara	4
213	Silenttieg	4
213	Natty	4
213	skroobiez	4
213	MinttyFressh	4
213	TableTim	4
213	legal_tax_evader	4
213	Chromary	4
213	Rumpletaezer	4
213	ormr_kin	4
213	Mr_Froxy	4
213	theofiel	4
213	EveryonesUncle	4
213	Fuhrer_Teemo	4
213	sp00ky_ghost977	4
213	how_are_you	4
213	hermmm_	4
213	SirBreadward	4
213	MissCeleste7	4
213	Quotary	4
213	Jimb0nat0r	4
213	diggydog67	4
237	TrNrGhost	3
237	ShedJr_	3
237	Historical_Sand	3
237	Comma__	3
237	jacxhadow	3
237	ThePoliteG	3
237	12Magner05	3
237	corvidpartyfor6	3
237	AnnieBathory	3
237	Kouridragon	3
237	F_Uhre	3
237	Mattesco	3
237	LilLizardWizard	3
237	Kim_Jong_eel	3
237	wezzzi	3
237	AspenLightVT	3
237	dankxing	3
237	JESS_THE_RERE	3
237	DarlaMeow	3
237	claivin	3
237	LazySupport00	3
237	StarCookiees_	3
237	Pumpkin_P_Patch	3
237	SammiWolfGirl	3
237	annebolyn	3
262	AuroraValkyrie	2
262	teslawolf38	2
262	TildaAndrea	2
262	6king6colt6	2
262	Lukeee33	2
262	Sabby65	2
262	Myszoaz	2
262	Swalt	2
262	Da_Boss_Rani	2
262	MrExplorer	2
262	TheThomas69	2
262	Enigma0251	2
262	wiqor	2
262	ConcretePirate	2
262	4774	2
262	Flapjacker687	2
262	mwrty	2
262	ROY4LE	2
262	gcaisawesome	2
262	NotKaden_	2
262	bl1ss0	2
262	fragrantmonke444	2
262	Snowflowe	2
262	Nickitoe	2
262	Voxin2K	2
262	RobotMinion101	2
262	AlexxO_o	2
262	IamCL4SSY	2
262	Inbefour	2
262	Sorry_Arey	2
262	m9_meltdown_	2
262	ReflexCode	2
262	Typadopoulos	2
262	Warlord324	2
262	MovingFish7	2
262	pixelviolin	2
262	EngagedGrub41	2
262	taengoos	2
262	smogfrog	2
