rank	username	minecraft:picked_up/minecraft:spruce_sign
233	slkiey	13
233	Awyrlas	13
233	NotMeanttoChange	13
233	rotten_mango	13
233	hdtpm	13
233	alderban107	13
241	CARLDAWHEEZA	12
241	TooManyDuck	12
241	CoffeeNoir	12
241	Cambo5000	12
241	Xalithia	12
241	Paintz	12
241	SlayerCrypto	12
241	Krowuss	12
241	ooga47	12
241	Honor555	12
241	JESS_THE_RERE	12
241	FlashMigma	12
241	SingedBread	12
241	mihimihimihi	12
241	Celeste_121	12
241	Sheldor097	12
241	Hermanni__	12
258	Jovaphobic	11
258	PazinGaming	11
258	jspwn	11
258	hm947	11
258	roxycherry	11
258	Frxnkz	11
258	orxngejuice	11
258	LeauVox4921	11
258	groofles	11
258	Quaintster	11
258	LetsDoItLive	11
258	MustardSquid	11
258	Njensen7	11
258	BreadBacon	11
272	NatalieTW	10
272	JohnnyFyes	10
272	Harotio	10
272	Wooptey	10
272	buss081	10
272	MattieHD	10
272	redikul	10
272	Patwannabegamer	10
272	gcaisawesome	10
272	0nly_sn1per	10
272	whoaluv	10
272	Eczbox	10
272	F_Uhre	10
272	FishyBoy3811	10
272	LexMakesHistory	10
272	jambvds	10
272	The_Quack_Dealer	10
272	The_slideV3	10
272	NameGenerat0r	10
272	Deerfoot	10
272	MakeHistory157	10
272	BlankityMcBlank	10
272	brofrickcheaters	10
272	Winston_Ingram	10
272	Eczbek	10
272	Jordan_R	10
298	CLG_Kata	9
298	R0cketmanstan	9
298	UncreativeArtist	9
