rank	username	minecraft:picked_up/minecraft:white_concrete
86	stellarjay	1092
87	Zoeyfortnite	1073
88	SkateboardR6	1048
89	EveryonesUncle	973
90	1442	955
91	rarrq	942
92	oreee	936
93	Tyrannosplart	925
94	OffWithTheirHead	914
95	NoChumpChange	812
96	MunkaKris	795
97	Arceus1975	791
98	Ailmast	734
99	Eerini	730
100	ConnorDanky_	718
101	SammiWolfGirl	709
102	m_be9	705
103	nocturne78	694
104	Sheldor097	690
105	Slapface522	671
106	Inbefour	665
107	Powowowow	658
108	John6970	651
109	ShedJr_	621
110	CalebDHawk	619
111	TheTrueClipse	616
112	domagawha	615
113	Jovaphobic	588
114	Blackberry1310	587
115	jnp_gaming	581
116	SuperPooch06	578
117	500am	570
118	TechnoNinja64	569
119	SpacesickPrism	567
120	burbankbuilder28	564
121	IAmTheWalrus910	561
122	TeenMomTom	557
123	ibarker21	552
124	ssleepless	545
125	GoofySilly	526
126	Werbe	524
127	Leyna3	523
128	Akoot_	522
128	JayToe	522
130	set67	520
130	groofles	520
132	_Dean_123	512
132	Enigma0251	512
134	himak1	510
135	GLLogan2	503
136	F_Uhre	498
137	BumbleBeever	466
138	WyngGoy	461
139	epiksk8erduck	447
140	PlasticOtari	429
141	Darkgon	428
142	NatalieTW	424
143	Sral7	417
144	h2p_emrld	413
145	bigstankyy	412
146	Eraxa	411
147	stavgod	399
148	Marbz_	394
149	Da_Boss_Rani	390
150	ChillenChiggen	371
151	AltnumberF4	366
152	Skippeh	362
153	SmashingPump	349
154	Fuad_R	337
155	BunkeredTree	330
156	PlzNoBM	329
157	AssFullaCum	325
158	T045RTY	316
159	jimintyy	309
160	Fullut	299
161	Elprone266	293
162	EngagedGrub41	282
163	PortlyPete69	281
164	starbits140	271
165	LordSpeed37	262
166	RadarHz	260
167	GoofyBread	259
168	NotP0tato	256
168	Majonezzon	256
170	EMC_	249
171	Nicserso	248
172	AJplaysMC_	246
173	Soplight	244
174	Kowcio_	233
175	remmisrat	230
176	Diavri	228
177	CornOnTheCobalt	223
178	RealGroot	218
178	Steelynan	218
180	Chromary	214
181	Incinere	202
181	Biites	202
183	NotKaden_	195
184	surfinggiraffejp	194
185	MousePlays	192
185	Babushka0430	192
187	Blamphe	188
188	Quaintster	185
189	M_Patata	184
189	MasterNueve	184
191	Cyntrical	183
191	tartanboy	183
193	CollinMH06	182
194	pintsizedrogue	173
195	Azmodan_246	172
196	6king6colt6	168
197	StanceTB	167
198	Alteriity	164
199	HyperCave	154
200	ExtraDumb	142
201	Winston_Ingram	134
202	The11thDoctor	133
203	claivin	131
204	lcvezra	129
205	fluddd	126
206	Lutres_Torane	125
207	lorpus	120
207	MissCeleste7	120
209	Whiterooster001	119
210	gabriels543	103
211	MrExplorer	102
211	BlueZabu	102
213	NieToksikpl	99
214	Truckoss	98
215	MyNameIsDakar	90
216	WET_WET_WET	87
217	Queen_Jalapeno	85
218	CaptainDeadBread	81
219	Mattesco	74
219	ReflexCode	74
221	SteveCraftBlocks	73
221	Soap_Bender	73
223	PhantomsGhost_	72
224	12Magner05	66
225	seanitoo	65
226	bloomkieren	61
227	Jackster03	60
228	Crafter45	58
228	Winklepicker279	58
230	tuckerdoodle	54
231	Hermanni__	53
232	Smussa	51
233	jcool7	50
234	Lauratheking	49
234	Rocco_Lane	49
236	gusstationwerker	48
237	Huwulling	46
238	Hanselhoof	44
239	obzii	42
240	Lord_Jord	41
241	MirielThePastor	40
242	Smashic	39
242	erkada	39
244	RedcatVII	36
245	_Nuf	35
246	Groovy_MoonBird	34
246	alderban107	34
248	RoofTyler	32
249	bloodbiter	31
250	ooga47	28
250	sadvavilloso	28
252	prizm_	21
252	Bl1tzFX	21
252	Leithz6	21
255	k1ngGilgamesh	20
256	ANGIELUVSDWEAM	18
256	The_Thund	18
256	Gundam_Steven	18
256	Kkanot	18
256	adeptius	18
256	RoboTramp7865	18
256	mountaingirl311	18
263	Skylord_Luke	17
264	TheBiggestFeller	16
264	pappaberg	16
264	Kim_Jong_eel	16
267	okCrypto	15
268	sammidk	13
268	The_slideV3	13
268	UCP_TheKingK	13
268	non089	13
272	KarlKaek	12
272	jake314810	12
274	MrKrabOnCoke	11
274	Touched_Bread	11
274	Kakolbus	11
274	Mr_Teddiursa_K	11
278	Hpdinosaur	10
278	Rumpletaezer	10
278	__Auspicious	10
281	FazeObama69	9
281	Bad_At_Names_Guy	9
281	Jeteight	9
281	binman420	9
281	Agent108	9
281	iSammael	9
281	FelixPSY375	9
288	Ostrich5183	8
288	Myszoaz	8
288	Ahketen	8
288	yaboo88	8
288	TheTommyGun63	8
288	MilleGrug	8
294	RebelAndroid	7
294	AlexxO_o	7
294	fkGrim	7
294	luseis	7
294	_Bguette_	7
294	DanTheBuilderino	7
294	silverpopcorn	7
