rank	username	minecraft:picked_up/minecraft:birch_sign
244	Quotary	7
256	The_Great_Jake	6
256	diamondgolem35	6
256	lotarp	6
256	Huwulling	6
256	gaziter10	6
256	2Stout	6
256	eiC_	6
256	Marbz_	6
256	Mattesco	6
256	NoChumpChange	6
256	BumbleBeever	6
256	Zetsey	6
256	lcvezra	6
256	Skippeh	6
256	Zoeyfortnite	6
256	trexgb	6
272	BenHomie	5
272	soundad	5
272	Iagoku	5
272	Hpdinosaur	5
272	Prodiginus	5
272	Cryptacity	5
272	Megarboh	5
272	Inchef	5
272	surfinggiraffejp	5
272	swag_bro2004	5
272	MyNameIsJobo	5
272	seramalen	5
272	Austinizzle	5
272	Gryglu583	5
272	EveryonesUncle	5
272	The_slideV3	5
272	DukBob	5
272	Hisiste	5
272	OG_Songsee	5
272	layabout100	5
272	Razzgriz	5
272	33sudo	5
272	PlzNoBM	5
272	Hermanni__	5
272	Lowjinx	5
297	CompAir	4
297	TooManyDuck	4
297	AES784	4
297	tuckerdoodle	4
