rank	username	minecraft:picked_up/minecraft:calcite
189	astralsylv	64
190	KGTV	58
191	SpaggeDR	55
192	Segotep999	54
193	hydrothebot	53
193	NomadicRobin_	53
195	DrowsyOracle	52
196	Moss_2006	51
197	WYFYoyo	50
198	ItsDeltaMC	47
199	non089	44
200	powercas_gamer	41
200	Arivana	41
200	Skippeh	41
203	fade_emerge78823	40
204	SyntheticSurgeon	34
205	thatsjustfrankie	33
205	2blox_	33
207	Cyanide4Kitten	32
207	lpinfinity	32
209	smarticuno	30
210	AuroraSkies	28
211	gabukun_	27
211	BINKENSTOCK	27
211	LordZacler	27
211	Lord_Zacler	27
215	TerraVl	26
215	Wowful	26
217	catandmoose	24
217	Felenov	24
217	IdeallyGrey	24
220	Frigzy_	23
221	ZeroAbyssTTV	22
222	Rani_R	21
223	Valoth	20
223	CosmicStardustt	20
223	Jonafrog99	20
223	ScootOfBoot	20
227	Admiral_Fizzy	19
227	Avocadogerms	19
229	Merv__	18
229	Mookle96	18
229	Jekyll	18
229	MrShojo	18
233	CollinMH06	17
234	DabKeepaBlicky	16
234	OreTheBear	16
234	NameGenerat0r	16
234	villainbrine69	16
238	DarkS0L	15
239	CLG_Kata	14
239	Adem192	14
239	Tersea_	14
239	YuenKei	14
243	Creativebuilder2	13
243	WORLD_URIEL_EDEN	13
243	Nadhorion	13
243	Spacewardharpy7	13
247	Alex_Hansen	12
247	albus0x	12
247	athereall	12
247	coobert42	12
251	Caribouse	11
251	ccwildfire1	11
251	SuperPooch06	11
251	JETrotter	11
255	Lazy_geniusig	10
255	Trioxide	10
255	Rexorout	10
258	Zehrforce1	9
258	lorpus	9
258	Jonte0599	9
258	HolyVenom	9
258	KeterComet	9
263	TAKrules	8
263	e_hernandez57	8
263	SteveCraftBlocks	8
263	yulgur1	8
263	shrimp_flips	8
263	BeardBois	8
269	CaracolCxnt	7
269	Miroryk	7
269	IlkeCookes_	7
269	TheBananaKat	7
269	Paguz01	7
274	TheRomanNoodles1	6
274	Vlorox	6
274	_stets	6
274	ZaneABrain	6
274	royal_2	6
274	cyrusisntgay	6
274	Itz_DuongVN	6
274	JitteryJared2	6
274	Olib3ar	6
274	_flud	6
274	FadedSpade82	6
285	tuckerdoodle	5
285	Archsam	5
285	Chickenchaser2	5
285	Roenfire	5
285	gamerlord1324	5
285	Solar_Power	5
285	Mr_Sun15	5
285	zToasty69z	5
285	GooseWithin	5
285	Not_Insom	5
285	DracZz	5
296	Auseawesome	4
296	4774	4
296	Nach0Bear	4
296	breadbowlgamer	4
296	Malware_Mara	4
