rank	username	minecraft:picked_up/minecraft:redstone_block
159	sp00ky_ghost977	89
160	audiocracked	88
160	Fuad_R	88
160	fluddd	88
163	WYFYoyo	87
164	awesomeoneme	85
165	teslawolf38	84
166	h2p_emrld	83
167	Jovaphobic	82
167	PhantomsGhost_	82
169	12Magner05	81
169	Xalithia	81
169	Solar_Power	81
169	Powowowow	81
169	The_SlideV5	81
174	Deathkob	80
175	Drewen24	79
176	07shiny	77
177	censorsheep	76
177	vandmanden	76
179	CaptainDeadBread	75
180	CoffeeNoir	74
180	Quotary	74
182	mariominejedi	73
182	Quincannon	73
182	Racengan	73
185	Sleepy_Time_	71
185	DarlaMeow	71
187	Frozil20	68
188	jushykins	67
189	peachfuzz1267	64
189	JEWISHBadenBeele	64
189	Kirrow	64
189	roxycherry	64
189	TheThomas69	64
189	himak1	64
189	k1ngGilgamesh	64
189	Fuhrer_Teemo	64
189	SkateboardR6	64
189	Kowcio_	64
189	JayToe	64
200	fxiryglitch	63
200	Quaintster	63
202	bigstankyy	62
202	1442	62
204	q_wq	60
204	pr33tu	60
206	MattieHD	59
206	loveseeker	59
208	Sleek_Storm_721	57
208	lotarp	57
208	gaziter10	57
208	Dusk_95	57
212	FishyBoy3811	56
213	Maenara	55
213	KingMatthew506	55
215	Ozixar	54
216	Winklepicker279	53
217	lizardfightclub	52
218	ImpavidArcher	51
218	benediktine1	51
220	Jimi7hits	50
220	Leyna3	50
222	BlancoFlaco	49
222	DirtyDalle	49
222	_Dean_123	49
222	Steelynan	49
226	MyNameIsDakar	48
227	monky_irl	47
227	__tomato	47
229	CliffEmAll	46
229	gcaisawesome	46
229	wTXop	46
229	xyfrs	46
233	yulgur1	44
233	sufjanlover	44
235	Prismyst	43
236	Mariopreeet	42
236	ayamefag	42
238	301851	41
238	Donutt	41
238	MonitorLizards	41
238	radioactv_jelly	41
242	Mewar	40
242	NomadicRobin_	40
242	NameGenerat0r	40
242	Rainaldus	40
246	ProfessorBee	39
246	egglapras	39
246	TheSeismicDuck	39
249	DemTechAlpha	38
249	00000000-0000-0000-0009-01f80c5e9346	38
251	Vizzoid	37
251	AlexStrange	37
253	Malorn_Aetherius	36
254	fanofbands101	35
254	ToastedGamingYT	35
256	Factoroni	34
257	Zoeyfortnite	33
257	Teebone15	33
259	Lord_Zacler	32
259	Meepcraft	32
259	hdtpm	32
262	eiC_	31
262	iHuntWeeaboos	31
264	abramgray	30
264	Soul_Atreus	30
264	Kyrum2169	30
264	OutcryOfEnkidu	30
268	Incinere	29
268	Gooberkid223	29
270	jjettii	28
270	Wowful	28
272	HolyVenom	27
272	StinkyDiplomat	27
274	Groovy_MoonBird	26
275	Doom_melon	25
275	deadshot16	25
277	H72l9w	24
278	bloodbiter	23
278	BlossomOwO	23
280	DermeinUser	22
280	MustaLoordi	22
280	MysticalKitty139	22
283	Z3braYTIL	21
283	MakeHistory157	21
283	tsitrawhy	21
286	AuroraValkyrie	20
286	Rumpletaezer	20
286	Rocco_Lane	20
286	DTwenty	20
286	NotMeowMix	20
286	Eraxa	20
286	AltnumberF4	20
293	FirsTimeGamingTV	19
293	BobDeBouwer1337	19
293	dnlksl	19
293	ClemenPine	19
293	pixelviolin	19
298	SaucyDark	18
298	TheSecondLord	18
298	Yazzny	18
