rank	username	minecraft:picked_up/minecraft:name_tag
256	openatheclose	2
256	lotarp	2
256	chlorinex	2
256	picardred	2
256	Comma__	2
256	firesgal3116	2
256	ThePoliteG	2
256	500am	2
256	egglapras	2
256	himak1	2
256	Inchef	2
256	theonlymagikarp	2
256	CharlieButt	2
256	RustyKedel	2
256	Eman__1	2
256	ImDisconnected_	2
256	Zythose	2
256	andy_rex	2
256	kars0n	2
256	SokaOtaku	2
256	DAD_1996	2
256	The11thDoctor	2
256	Kokeech	2
256	TTNG	2
256	MousePlays	2
256	aec9	2
256	Huic_ostiarius	2
256	LilLizardWizard	2
256	Stephenpoling	2
256	Sky_light_KING	2
256	Wowful	2
256	KnightmareD	2
256	audiocracked	2
256	Jiminbub	2
256	Jiminie	2
256	Fuhrer_Teemo	2
256	lillips	2
256	1442	2
