rank	username	minecraft:picked_up/minecraft:white_banner
99	CruncyIsTaken	22
99	Meatlaugh	22
99	WyngGoy	22
99	SammiWolfGirl	22
99	UltraZombie	22
105	ImDisconnected_	21
105	thgrocks	21
105	Ze_BaronKrigler	21
105	Cocoamallows	21
109	Hpdinosaur	20
109	Natofthese	20
109	dopplexd	20
109	Jackattack53	20
109	Frozil12	20
114	egglapras	19
114	emrekn	19
114	jcool7	19
117	fr0stss	18
117	Cryptacity	18
117	M_Patata	18
117	fkGrim	18
117	MasterNueve	18
117	Winston_Ingram	18
123	Yatitay	17
123	titanlax	17
123	himak1	17
123	Xclax101	17
123	Racengan	17
123	pixelviolin	17
123	BreadBacon	17
130	SaucyDark	16
130	Chromary	16
130	Kferno	16
130	Ezekson	16
130	Powowowow	16
135	Parcc	15
135	seramalen	15
135	Inbefour	15
135	El_Jalapeno	15
135	Hisiste	15
135	Sheldor097	15
135	JayToe	15
142	MrExplorer	14
142	Rebytre	14
142	Kowcio_	14
145	Tolhart	13
145	Guillemet	13
145	SteveCraftBlocks	13
148	I_Am_Mushkin	12
148	T045RTY	12
148	ProfessorBee	12
148	eviltunix	12
148	WET_WET_WET	12
148	Hiryu27	12
148	TheTrueClipse	12
148	lcvezra	12
148	_TCARREIRA_	12
157	youhjjhhhjj	11
157	ivorico	11
157	Giannism	11
157	MAns_44	11
157	__tomato	11
157	Luigipunch989	11
157	Vellu21	11
164	_Virify_	10
164	SirUnderpants	10
164	BlancoFlaco	10
164	Incinere	10
164	LionelHutzESQ	10
164	redikul	10
164	TheDankPlatypus	10
164	epiksk8erduck	10
164	yulgur1	10
164	Deathkob	10
164	Dogcorn69420	10
164	cichy096	10
164	h2p_emrld	10
177	Ailmast	9
177	Valoth	9
177	hcb238	9
177	Covalents	9
177	Zaridey	9
177	loveseeker	9
177	whoaluv	9
177	Rumpletaezer	9
177	QueenHearts	9
177	King_Pancake1	9
177	Leyna3	9
177	MakeHistory157	9
177	Nagasaki_Riku	9
177	AssFullaCum	9
177	Kyrum2169	9
177	LeeMcGee30	9
177	UrbanPlanner1978	9
194	dudcreeper	8
194	Foof13	8
194	brandonjames_h	8
194	Myszoaz	8
194	YungJakobo	8
194	ThePoliteG	8
194	set67	8
194	p4lp	8
194	TTNG	8
194	Rasmanden	8
194	Lutres_Torane	8
194	MyNameIsDakar	8
194	Bloo2406	8
194	SexcMf	8
194	stavgod	8
194	TheOuterCore	8
194	Cpietr0	8
194	vandmanden	8
212	EMC_	7
212	diamondgolem35	7
212	jimintyy	7
212	KomputerDude	7
212	CoffeeNoir	7
212	H72l9w	7
212	bloodbiter	7
212	Stiar	7
212	eiC_	7
212	Ecplosive	7
212	Snowflowe	7
212	pappaberg	7
212	Rocco_Lane	7
212	KartivGal	7
212	Fuhrer_Teemo	7
212	avalan64	7
212	ayamefag	7
212	starbits140	7
212	stijnbro	7
212	stellarjay	7
212	GlitchyPlate810	7
212	MilleGrug	7
212	Calbo_	7
235	Groovy_MoonBird	6
235	Comma__	6
235	slkiey	6
235	Motsaro	6
235	AlphaWolfPlaysMC	6
235	NomadicRobin_	6
235	privatemeekly	6
235	marumochis	6
235	MightyWertu	6
235	BlankityMcBlank	6
235	ediballbearings	6
235	gaming4Naming	6
247	Jovaphobic	5
247	MixerDixer	5
247	AuroraValkyrie	5
247	Wooptey	5
247	Batman922	5
247	MOSS000	5
247	Ao_Ken	5
247	Stynxy	5
247	Frxnkz	5
247	intropass	5
247	TableTim	5
247	CollinMH06	5
247	AnnieBathory	5
247	_Boipl_	5
247	LilyNova	5
247	jewbacaman	5
247	sammidk	5
247	Gryglu583	5
247	lillips	5
247	Typadopoulos	5
247	Razzgriz	5
247	TheEnderman548	5
247	PortlyPete69	5
247	HuangMeiHua	5
247	Faart	5
272	rats_life	4
272	Dedalus36	4
272	Jahara	4
272	Reamdin	4
272	awesomeoneme	4
272	ratglock	4
272	CyrusIsTired	4
272	Kubelz	4
272	SHAOBADMAN	4
272	Skylord_Luke	4
272	Kynigito	4
272	Shavrin	4
272	KeruNatsema	4
272	Kim_Jong_eel	4
272	The_slideV3	4
272	JoCoLi	4
272	Soul_Atreus	4
272	CalebDHawk	4
272	Njensen7	4
272	anbbang	4
272	AltnumberF4	4
293	Matemaks2137	3
293	peachfuzz1267	3
293	Paint	3
293	Drlzyy	3
293	KingFaenor	3
293	CompAir	3
293	Natty	3
293	Jeremopolis	3
