rank	username	minecraft:picked_up/minecraft:bamboo
84	Bandito_Roamer	4221
84	Quotary	4221
86	Kamflame10	4125
87	coobert42	4061
88	cedric72	4016
89	Fuad_R	4006
90	AngalexikCZ	3959
91	Skippeh	3835
92	SlayerCrypto	3793
93	Warlord324	3768
94	Ezekson	3746
95	Airem_Core	3705
96	Zoeyfortnite	3645
97	H72l9w	3620
98	m_be9	3611
99	stellarjay	3549
100	Jackster03	3399
101	MineMaster0012	3391
102	Thaumatarge	3366
103	Juh1s	3276
104	Luigipunch989	3174
105	Inbefour	3122
106	NebulousBadger	3120
107	_Nuf	3096
108	MightyWertu	3077
109	BlancoFlaco	3039
110	Groovy_MoonBird	3035
111	CoffeeNoir	3033
112	awesomeoneme	3031
113	Dreamdbr14	3017
114	DASH_X7	2992
115	CSG_Haru	2905
116	impossibleteapot	2871
117	UrbanPlanner1978	2862
118	Smashic	2824
119	valiSW	2796
120	CaptainAvenger7	2785
121	Onennon	2776
122	Lord_Jord	2751
123	dudcreeper	2722
124	crying_wolf_13	2695
125	Bumpy419	2672
126	MyNameIsDakar	2604
127	Jiminie	2586
128	rotten_mango	2540
129	Kowcio_	2489
129	PlasticOtari	2489
131	RebelAndroid	2486
132	pixelviolin	2482
133	SaucyDark	2408
134	Studyhallsaver	2386
135	eiC_	2370
136	Euclidoris	2356
137	MovingFish7	2336
138	PegLegPete93	2322
139	ehunt54	2317
140	mawileite	2280
141	Soap_Bender	2263
142	Malorn_Aetherius	2199
143	Akoot_	2172
144	Shogunite	2153
145	Swexti	2051
146	Gmoney390	1984
147	Eraxa	1961
148	NotMeowMix	1925
149	bloodbiter	1924
150	Louiis123	1916
151	ZaneABrain	1908
152	Yahrto	1901
153	Marbz_	1851
154	ItsAki_	1843
155	claivin	1833
156	Drewen24	1817
157	smogfrog	1796
158	EcksD	1790
159	Hpdinosaur	1765
159	WYFYoyo	1765
161	Candad_	1740
162	EcksDofficial	1726
163	Nagasaki_Riku	1725
163	RadarHz	1725
165	Soplight	1687
166	Freedrik	1683
167	titanlax	1656
168	Comma__	1653
169	GlitchyPlate810	1622
169	Powowowow	1622
171	Da_Boss_Rani	1614
172	Soul_Atreus	1558
173	dopplexd	1556
174	ProfessorBee	1548
175	The_slideV3	1538
176	TheDankPlatypus	1520
177	Quaintster	1482
178	_stets	1471
179	fred870d	1461
180	Myszoaz	1441
181	Mistruth	1415
182	Leeeegend	1402
183	fkGrim	1394
184	actuallysadie	1390
185	Barlycorn	1383
186	Megarboh	1344
187	ooga47	1331
188	ori0le	1290
189	QueenOfDirt	1283
190	CrookedKaptain	1256
191	SteveCraftBlocks	1240
192	gcaisawesome	1239
193	jushykins	1226
194	DTwenty	1225
195	Spenduh	1223
196	RobotMinion101	1212
197	Drawgirll	1202
198	HAIRYCLOUD626	1191
199	_Bguette_	1176
200	Segotep999	1172
201	Xalithia	1165
202	kinas45y5	1164
203	msJabberwock	1163
204	DarlaMeow	1130
205	TheSecondLord	1129
206	rarrq	1127
207	NameGenerat0r	1110
208	Cryptacity	1106
209	Nyxiom_	1071
210	TheTrueClipse	1067
211	Optiprimus	1055
212	vampgey	1050
213	Incinere	1043
214	Quincannon	1019
215	benediktine1	1017
216	KingMatthew506	1012
217	IWorkAtIkea	1011
218	Sparky_KT	1010
219	00000000-0000-0000-0009-01f898304150	1006
220	NotMeanttoChange	1005
221	Njensen7	996
222	monky_irl	981
223	striker90333	967
224	theonlymagikarp	960
225	Wolverine4302	955
226	Toiton	942
227	yatsuta	909
228	MOSS000	896
228	Aftrbrnr	896
230	Zenlou	889
231	PortlyPete69	884
232	LordBlaze11	874
233	trexgb	869
234	Ryker	854
235	MissCeleste7	848
236	Ender_Souls	842
237	heckface	835
238	RodSerlingCringe	833
239	2blox	826
240	Deerfoot	822
241	Truckoss	820
242	ToastedGamingYT	819
243	Jamstroxian	813
244	carloselpapii	805
244	pipejob	805
246	Racengan	798
247	Merv__	796
248	__Auspicious	779
249	Useless_Relic	772
249	CruncyIsTaken	772
251	Notta	759
252	Covalents	755
253	lillips	735
254	Cowison	730
255	censorsheep	727
256	Chromary	717
257	cowgirlkasia	711
258	Kijiki	705
259	AlexStrange	702
260	MustaLoordi	680
261	xorompole	676
262	MilleGrug	668
263	ApophisNova	660
263	MyNamaSheff	660
265	Poppy235	659
266	DeeDeeThonk	655
267	33sudo	654
268	Ao_Ken	652
269	_Dean_123	638
270	whoaluv	637
271	GoofyBread	635
272	chipklip	634
273	ayamefag	625
274	Bucscw24	622
275	jimintyy	618
276	Kiki_Majiki	600
277	moist_jellyfish	596
278	Enderslayerxz3	593
279	jambvds	592
280	The11thDoctor	574
281	Shiirazuku	571
282	CollinMH06	562
283	dongli	561
284	fw3xywashere	560
285	ewpunk	555
286	fr0stss	550
286	Nycteus_	550
288	skelctal	545
289	Natty	537
290	KomputerDude	530
291	Factoroni	527
292	Forcolp	525
293	JayToe	517
294	XboxPanda	516
295	ReyTheLegend	513
296	Stiar	507
297	Whiterooster001	504
298	laron58	501
299	bigstankyy	499
300	lotarp	497
