rank	username	minecraft:picked_up/minecraft:sticky_piston
107	Frozil20	73
108	MoistMicrowave	71
108	Motsaro	71
110	Jindong	70
111	Kijiki	67
112	MyNameIsJobo	65
112	Shogunite	65
114	Awyrlas	64
115	victorLIE	61
116	Mattesco	58
116	ese_wn_po	58
118	TildaAndrea	57
118	buss081	57
118	rarrq	57
118	obzii	57
122	StinkyDiplomat	56
123	TheDankPlatypus	55
124	Skylord_Luke	53
124	AlexxO_o	53
126	tsitrawhy	52
127	Tobinator_007	51
127	Incinere	51
127	hanaryheatwave	51
130	fluddd	50
130	BartekB19	50
130	__tomato	50
133	Jovaphobic	49
133	slkiey	49
133	mwrty	49
136	legal_tax_evader	48
136	ApophisNova	48
136	GooseWithin	48
136	MyNamaSheff	48
140	Swexti	47
141	Smashic	46
142	lorpus	45
142	xxPipperDipperxx	45
142	Vorlice	45
142	sp00ky_ghost977	45
146	MilleGrug	44
147	2blox_	43
148	TheSecondLord	42
148	Kouridragon	42
150	Arteriana	40
150	SteveCraftBlocks	40
152	bigstankyy	39
152	hermmm_	39
154	RebelAndroid	38
154	AnnieBathory	38
154	Druid95	38
154	Jimb0nat0r	38
158	Crowman1	37
158	JESS_THE_RERE	37
158	vandmanden	37
161	SellyZ	36
161	Marbz_	36
161	cedric72	36
161	valkam13	36
161	Soap_Bender	36
161	tartanboy	36
167	Eraxa	35
167	Zoeyfortnite	35
167	JayToe	35
170	Jackster03	34
170	Prismyst	34
170	Kkanot	34
170	NotMeanttoChange	34
174	_Virify_	33
174	domagawha	33
174	wwwwinnebagoooo	33
174	lordpipe	33
174	Segotep999	33
179	noodlepack	32
179	Eraza	32
181	q_wq	31
181	FishisTTV	31
183	crashomon	30
183	RobotMinion101	30
183	FishyBoy3811	30
186	Mr_Byzantine	29
186	kekhon	29
186	catandmoose	29
186	Jekyll	29
186	Syropatathe	29
186	Bloo2406	29
186	Skippeh	29
193	SharpDev	27
193	U_Mos_	27
195	SoosAmongus	26
195	Merv__	26
195	Archsam	26
195	Steelynan	26
199	jacxhadow	25
199	PegLegPete93	25
199	Samificator	25
202	MoonWatcher19	24
202	_Dean_123	24
202	500am	24
202	gamerlord1324	24
202	Doom_melon	24
202	ScootOfBoot	24
202	masskedman	24
202	Factoroni	24
202	Quotary	24
211	j5ylim	23
211	NotP0tato	23
211	Deathkob	23
211	Dreamdbr14	23
211	OfficerAnvil	23
216	Akoot_	22
216	Fildyr	22
216	EngagedGrub41	22
219	_darky1_	21
219	nattybears	21
219	bloodbiter	21
219	KlausVonStiglitz	21
219	Cyntrical	21
219	stellarjay	21
219	KingMatthew506	21
226	SmashingPump	20
226	bubbLyPrototype	20
226	Jimi7hits	20
226	DanTheBuilderino	20
230	The_slideV3	19
230	Quincannon	19
230	MustaLoordi	19
230	Kubeusz2010	19
230	CattSoup	19
235	Niklas20114552	18
235	ssleepless	18
235	Tiberonus	18
235	4774	18
235	Inbefour	18
235	layabout100	18
241	SaucyDark	17
241	Hoid_the_Roamer	17
241	Gus2005	17
241	BumbleBeever	17
245	MuffinManzz	16
245	CLG_Kata	16
245	Da_Boss_Rani	16
245	Sleepy_Evelyn	16
245	Secret_Canary	16
245	set67	16
245	BlueZabu	16
245	Lutres_	16
245	stavgod	16
254	RoskobiOne	15
254	Sleek_Storm_721	15
254	ROY4LE	15
254	NotKaden_	15
254	ougstur	15
254	Sorry_Arey	15
254	weabis	15
261	Groovy_MoonBird	14
261	The_Thund	14
261	DepressedCubic	14
261	Tolhart	14
261	RatatJuice	14
261	Malorn_Aetherius	14
261	Masssonnn	14
261	KGTV	14
261	imcombxt	14
261	Barlycorn	14
261	OG_Songsee	14
261	ProbsNotNova	14
261	Sheldor097	14
274	NieToksikpl	13
274	Xalithia	13
274	balin55	13
277	IgnoredBee	12
277	Shazzyling	12
277	shadowthemonkey	12
277	Cruncy_	12
277	Elastiq	12
277	EveryonesUncle	12
277	AspenLightVT	12
277	EfficientC52	12
277	Nicserso	12
286	myaccountwasgone	11
286	Huwulling	11
286	Nach0Bear	11
286	yheece	11
286	Rasmanden	11
286	ReSynced	11
286	ProfessorDiaper	11
286	deadshot16	11
286	taengoos	11
286	TheSandwhich_	11
296	Apollo_993	10
296	soundad	10
296	AuroraValkyrie	10
296	tuckerdoodle	10
296	picardred	10
