rank	username	minecraft:picked_up/minecraft:cobblestone
143	_Dean_123	30302
144	GoofyBread	30109
145	WET_WET_WET	29973
146	T045RTY	29830
147	trexgb	29309
148	SSytex_X	29285
149	xxPipperDipperxx	29183
150	Wolverine4302	28855
151	PlasticOtari	28627
152	Racengan	28235
153	Skylord_Luke	27527
154	ImpavidArcher	27507
155	eiC_	27433
156	GlitchyPlate810	27189
157	Jimi7hits	27070
158	AuroraValkyrie	26652
159	RyuNeko932000	26295
160	Zaridey	26097
161	UncreativeArtist	25769
162	Zedducius	25518
163	Toriankel	25465
164	JayToe	25452
165	DanTheBuilderino	25068
166	Winklepicker279	24669
167	Dreamdbr14	24432
168	Cowison	24408
169	AlphaWolfPlaysMC	23555
170	Queen_Jalapeno	23492
171	RoofTyler	23254
172	lizardfightclub	23156
173	Russiancat1	22858
174	Historical_Sand	22784
175	_8man	22469
176	Sral7	22368
177	seramalen	22233
178	FishyBoy3811	22178
179	DarlaMeow	21721
180	lcvezra	21680
181	ayamefag	21543
182	QuiCreans	21535
183	yulgur1	21514
184	Houstonion	21433
185	ediballbearings	21182
186	Bandito_Roamer	20992
187	TheDumbHuman	20962
188	lotarp	20698
189	starbits140	20623
190	Nicky_H225	20617
191	Xalithia	20314
192	Rebytre	20209
193	WyngGoy	20189
194	Deathkob	19975
195	bladeefan2009	19952
196	TheBiggestFeller	19695
197	Covalents	19615
198	SquadMonster	19597
199	Kijiki	19513
200	Blu3beast	19415
201	jnp_gaming	19391
202	SingedBread	19087
203	DemTechAlpha	19034
204	ElectricDragon81	18953
205	Lez_	18767
206	slkiey	18655
207	binman420	18615
208	Eraxa	18611
209	Wooptey	18366
210	07shiny	18307
211	Biites	18303
212	GravitySaint	18261
213	Hermanni__	18225
214	TheSecondLord	17954
215	cytotoxaint	17912
216	Vetral1	17589
217	_Bguette_	17397
218	Drewen24	17394
219	Merv__	17260
220	Froste131	17158
221	Factoroni	17088
222	masskedman	17016
223	PhantomsGhost_	16920
224	picardred	16884
225	Nycteus_	16827
226	00000000-0000-0000-0009-01ff0c3e5e4f	16815
227	Zoeyfortnite	16642
228	CrateOfBoxes	16596
229	SyntheticSurgeon	16570
230	Jackster03	16519
231	drumine	16419
232	DTwenty	16405
233	MattieHD	16348
234	bloodbiter	16235
235	Meatlaugh	16212
236	PortlyPete69	16169
237	Razzgriz	15929
238	Sheldor097	15864
239	Barlycorn	15850
240	Alexanderjac	15823
241	Paintz	15730
242	ooga47	15684
243	djancak	15589
244	NomadicRobin_	15309
245	H72l9w	15176
246	Kferno	15117
247	wwwwinnebagoooo	15041
248	selectrix	14983
249	Crowman1	14943
250	Soplight	14907
251	Notta	14789
252	HesDemonPants	14764
253	Kamflame10	14745
254	BlancoFlaco	14736
255	impossibleteapot	14683
256	silverpopcorn	14622
257	Touched_Bread	14523
258	Typadopoulos	14484
259	FelixPSY375	14461
260	Hpdinosaur	14456
261	UltraZombie	14258
262	Powowowow	14072
263	KeruNatsema	14008
264	fkGrim	13978
265	layabout100	13776
266	jacxhadow	13718
267	Burge_r	13629
268	Soap_Bender	13487
269	SaintJosie	13470
270	ougstur	13452
271	NotMeowMix	13450
272	boog4loo	13312
273	BlueZabu	13291
274	NoChumpChange	13263
275	BigCronkin	13258
276	MilleGrug	13158
277	TinMaster	13156
278	Tolhart	13012
279	Vorlice	12914
280	tsitrawhy	12791
281	IAmTheWalrus910	12780
282	FlashMigma	12739
283	RedcatVII	12735
284	epiksk8erduck	12706
285	radioactv_jelly	12659
286	yatsuta	12617
287	UrbanPlanningEx	12589
288	weabis	12559
289	SUN_DREAM	12509
290	CharlieButt	12371
291	crying_wolf_13	12228
292	Winston_Ingram	12140
293	valkam13	12131
294	Jorrdi	12066
295	__Fanda__	12014
296	lorpus	11932
297	SvenskaHugo	11927
298	gary_	11834
299	DarkS0L	11811
300	Mistruth	11808
