rank	username	minecraft:picked_up/minecraft:white_wool
89	M_Patata	755
90	MasterNueve	754
91	ImpavidArcher	745
92	fluddd	740
93	IWorkAtIkea	733
94	Fullut	711
95	Tolhart	699
96	AngalexikCZ	661
97	yulgur1	659
98	Mr_Byzantine	651
99	groofles	646
100	RebelAndroid	639
101	Xalithia	633
102	The_SlideV5	632
103	rarrq	629
104	Blu3beast	600
105	_Karmaa	590
106	_Mythic____	574
107	_Dean_123	560
108	Fuhrer_Teemo	557
109	Zythose	552
110	Deathkob	541
111	fade_emerge78823	539
112	Steelynan	533
113	shineh10	532
114	TeenMomTom	525
115	LeGold	520
116	Smashic	517
117	dopplexd	504
118	CharlieButt	491
119	mariominejedi	476
120	Cocoamallows	474
121	luseis	471
122	HAIRYCLOUD626	466
123	Rasmanden	456
124	legal_tax_evader	451
125	Froste131	444
126	Valoth	443
127	teslawolf38	440
127	FelixPSY375	440
129	Historical_Sand	433
129	oscminus	433
129	claivin	433
132	youhjjhhhjj	432
133	whoaluv	430
134	tsitrawhy	416
135	TheDankPlatypus	414
136	Tyrannosplart	410
137	PortlyPete69	405
138	_i_ERROR_i_	402
139	DarlaMeow	401
140	Kubeusz2010	398
141	Comma__	393
142	sp00ky_ghost977	392
143	ooga47	391
144	Bumpy419	387
145	Sral7	385
146	Hail_the_wombat	384
147	301851	375
148	titanlax	372
148	ProfessorBee	372
150	fallingemma	371
151	jspwn	369
151	SuperPooch06	369
153	fw3xy74	364
154	FishyBoy3811	363
155	Alteriity	362
156	Eczbek	360
157	set67	359
158	Incinere	356
159	Cowison	355
160	Groovy_MoonBird	354
161	csendeslol	349
162	NoChumpChange	345
163	Inchef	343
164	BlancoFlaco	341
165	LilyNova	337
166	RobotMinion101	336
167	bigstankyy	326
168	Winklepicker279	324
169	IamCL4SSY	322
170	cichy096	321
171	WyngGoy	318
172	excelsionprime	316
173	NatalieTW	308
174	NATE_the_HALO	307
175	Dakar_	306
176	T045RTY	305
176	pixelviolin	305
178	AlexxO_o	304
179	Xclax101	299
180	Tobinator_007	298
181	Wooptey	297
182	Paint	295
183	weabis	290
184	pappaberg	285
184	KingMatthew506	285
186	OffWithTheirHead	283
187	jushykins	282
188	SyntheticSurgeon	280
189	HollieDaNugget	279
189	Reamdin	279
191	IgnoredBee	277
192	Rumpletaezer	274
193	ChocolatePepsi	269
194	XxCookiequeenxX	268
194	sufjanlover	268
196	Maenara	262
197	Nicserso	261
198	Invisie	259
199	12Magner05	258
200	Nycteus_	253
201	corpsecity	249
201	NameGenerat0r	249
203	MrExplorer	247
204	Z3braYTIL	246
205	ARandomHedge	245
206	420BreadLizard	244
207	Kyrum2169	239
208	Ozixar	237
208	djancak	237
210	nitram49b	236
210	ougstur	236
212	Ryker	233
213	__tomato	231
214	Vizzoid	226
214	F_Uhre	226
216	PegLegPete93	223
217	Manaateee	219
218	Leyna3	216
219	starbits140	213
220	stavgod	212
221	KeruNatsema	211
222	Jackattack53	209
223	lillips	207
224	gren_ben	204
224	handsome_strong	204
226	KarlKaek	203
226	Kubelz	203
226	Razzgriz	203
229	Under1	199
229	K_a__a_n	199
231	k_ce	198
231	Quaintster	198
231	mawileite	198
234	r123moore	196
234	SvenskaHugo	196
236	ratglock	194
236	Segotep999	194
238	itburb	193
239	Dennid	192
240	Natty	191
241	Kouridragon	187
242	Zaridey	186
242	BlueZabu	186
242	KermitTheKripple	186
245	thgrocks	183
245	fkGrim	183
247	Groundler	182
248	wezzzi	180
249	hcb238	178
250	PigDab	176
251	Druid95	175
251	IdeallyGrey	175
253	NomadicRobin_	173
254	diamondgolem35	170
255	Killercatty78	169
255	DanTheBuilderino	169
255	EngagedGrub41	169
258	ZigzagLily43042	164
258	rotten_mango	164
260	jessewegottacook	162
260	TheGameArchitect	162
262	MinuteMira	161
263	CACTUSLAD	159
264	skrongus	158
265	ItsColin11	157
265	Onennon	157
265	jcool7	157
268	6king6colt6	156
268	SammiWolfGirl	156
270	TheDiamondCG	155
270	00000000-0000-0000-0009-01ff0c3e5e4f	155
272	LilLizardWizard	154
273	Prismyst	153
274	hollowww	152
275	Meatlaugh	149
276	JETrotter	147
277	ReverendSmith	145
278	ShedJr_	144
279	brofrickcheaters	143
280	bloodbiter	142
281	DSYisDizzy	141
282	xorompole	140
283	Nekomin0	137
284	AuroraValkyrie	136
284	SSytex_X	136
286	07shiny	135
286	calamariclam_I	135
288	Badenbeele	134
289	RoskobiOne	132
289	Fuad_R	132
291	ItzYaBoiPicard	130
291	Kim_Jong_eel	130
293	MNMann44	129
294	The_Cruncy	127
294	PabloGonza02	127
296	Kura2218	124
297	MAns_44	123
298	corvidpartyfor6	122
299	Studyhallsaver	121
300	I_Am_Mushkin	119
