rank	username	minecraft:picked_up/minecraft:acacia_log
130	ChillenChiggen	253
131	andy_rex	245
132	Marbz_	240
132	FelixPSY375	240
134	Hpdinosaur	238
135	Akoot_	237
135	Kowcio_	237
137	Ecplosive	236
138	KlausVonStiglitz	234
139	Myrosia	233
140	Toriankel	227
141	pappaberg	226
141	FreddyFart	226
143	paranoid_plant	225
144	SvenskaHugo	224
145	Hanselhoof	221
146	ConnorDanky_	219
147	500am	213
147	RedcatVII	213
149	Blu3beast	211
150	AgressiveEggdog	207
151	Tyrannosplart	206
151	h2p_emrld	206
153	pixelviolin	198
154	fw3xy74	197
154	LeeMcGee30	197
156	firesgal3116	193
157	set67	187
158	NomadicRobin_	186
159	ThePoliteG	184
160	_Huge_Male_	180
161	_Nuf	177
162	thescout7	174
162	KartivGal	174
164	Groundler	173
165	_Karmaa	171
165	Vellu21	171
167	NameGenerat0r	170
168	anbbang	166
169	Deodorante	164
170	Cowison	162
171	Barlycorn	161
172	Kakolbus	159
173	dopplexd	157
173	marumochis	157
175	Segotep999	154
176	T045RTY	152
177	SaucyDark	151
177	TJawesome09	151
179	lilsay	150
180	Jiminbub	148
181	Sheellky	144
181	JayToe	144
183	Vizzoid	143
184	Creativebuilder2	142
185	Ilinca_Io	141
185	Rich_Kat	141
187	CueMix	140
188	MineMaster0012	139
189	Kubeusz2010	138
190	Alexanderjac	136
190	560cool	136
190	Biites	136
193	FujiBS	135
193	jessewegottacook	135
195	4774	134
195	Moetis	134
197	Dblikstad	133
198	Drawgirl	132
199	ECstardust	131
200	Shogunite	130
200	IAmTheWalrus910	130
202	Alteriity	129
203	Sheldor097	128
203	Sral7	128
205	jnp_gaming	125
206	RobotMinion101	124
206	Seindi	124
208	Hyugo	121
208	MS_Pryxx	121
208	DennyKai	121
211	kars0n	117
211	ItsAki_	117
211	potatocan	117
214	yulgur1	115
214	alderban107	115
216	titanlax	114
217	DShrewzy	112
217	Kyrum2169	112
217	SpacesickPrism	112
220	underscore_2	110
221	rarrq	108
221	Skylord_Luke	108
223	_Panyu_	107
223	Schlitzman	107
225	funeralhome	106
225	Maenara	106
227	planc_	104
228	Swexti	103
228	Slapface522	103
228	_3Stump_	103
231	QuacksonThe3rd	102
232	Karetoko	101
233	TheALV	99
234	SpaceGrenadier	96
235	LovelyDane	95
235	Prodiginus	95
235	TheThomas69	95
235	tlustyCZARNY	95
235	_Mythic____	95
235	icim	95
241	slkiey	94
241	SellyZ	94
241	Chuvacevedo	94
244	SingedBread	93
244	WyngGoy	93
246	AuroraValkyrie	92
246	Azmodan_246	92
246	Kynigito	92
246	ougstur	92
250	Inbefour	91
250	fluddd	91
252	baxteerr	89
253	ShedJr_	88
253	MakeHistory157	88
253	__tomato	88
253	non089	88
253	Dreamdbr14	88
258	OfficerAnvil	86
259	Euclidoris	85
259	audiocracked	85
261	MAns_44	84
262	teslawolf38	83
263	Houstonion	82
264	oscminus	81
264	claivin	81
264	Quaintster	81
264	csendeslol	81
264	bitsplease	81
269	Healthing	79
270	eviltunix	77
270	ARandomHedge	77
272	Malware_Mara	76
273	PigDab	74
273	duqboy	74
275	King_Pancake1	73
275	Chayula	73
275	SammiWolfGirl	73
278	Touched_Bread	71
278	MousePlays	71
278	Ajax6	71
278	Toowny	71
282	CEOofSHINS	70
282	SPUDonSTEROIDS	70
282	mafiKiwi	70
285	geekbird	68
286	PojkenJesper	67
286	MustardDrinker	67
288	ooga47	66
288	_Ruzeeq_	66
288	Juh1s	66
291	SmashingPump	65
291	noodlepack	65
291	Susp1ci0us	65
294	Kkanot	64
294	imcombxt	64
294	BlueZabu	64
294	Ze_BaronKrigler	64
298	LeonelSalamanca	63
299	seramalen	62
299	AvaRosey	62
