rank	username	minecraft:picked_up/minecraft:enchanted_book
201	Kouridragon	13
201	SvenskaAlvar	13
201	_Crimson_Legate	13
201	Deathkob	13
201	Vorlice	13
201	Soul_Atreus	13
201	PortlyPete69	13
201	PlzNoBM	13
201	Kferno	13
201	ZeroKraken	13
201	bitsplease	13
219	strongman951753	12
219	Da_Boss_Rani	12
219	m_be9	12
219	potato292	12
219	xxPipperDipperxx	12
219	Ecplosive	12
219	nitram49b	12
219	pappaberg	12
219	the__Reaper4999	12
219	ReyTheLegend	12
219	Sheldor097	12
219	FallenCorps	12
219	trexgb	12
232	JohnnyFyes	11
232	Hpdinosaur	11
232	Motsaro	11
232	Inchef	11
232	mimbo1211	11
232	ViperHawk21	11
232	TheWildMateo	11
232	Wowful	11
232	ItzWqlfy	11
232	Warlord324	11
232	LazySupport00	11
232	lordpipe	11
232	Nagasaki_Riku	11
232	somegirl12_	11
232	ediballbearings	11
232	Quotary	11
232	Powowowow	11
249	dudcreeper	10
249	I_Am_Mushkin	10
249	Wooptey	10
249	T045RTY	10
249	Rich_Kat	10
249	Mewar	10
249	BlueZabu	10
249	fr_ser	10
249	Arceus1975	10
249	Rebytre	10
249	Corbsman	10
249	Mattesco	10
249	lizardfightclub	10
249	__dlo__	10
249	Leyna3	10
249	JollyDroopy52	10
249	XxCookiequeenxX	10
249	AvaRosey	10
249	33sudo	10
249	OfficerAnvil	10
249	_Dri_	10
249	h2p_emrld	10
271	NotP0tato	9
271	MSK__	9
271	fr0stss	9
271	bloodbiter	9
271	Ardennes	9
271	SellyZ	9
271	Winklepicker279	9
271	CollinMH06	9
271	k1ngGilgamesh	9
271	dartwaffle	9
271	_naturell	9
271	yulgur1	9
271	TheSeismicDuck	9
271	The_slideV3	9
271	Shogunite	9
271	Xclax101	9
271	sadvavilloso	9
271	Winston_Ingram	9
271	StamWolf	9
271	RadarHz	9
291	TheBiggestFeller	8
291	Healthing	8
291	itburb	8
291	RebelAndroid	8
291	ZaneABrain	8
291	Huwulling	8
291	H72l9w	8
291	cowgirlkasia	8
291	Frxnkz	8
291	NotKaden_	8
