rank	username	minecraft:picked_up/minecraft:prismarine_bricks
155	Groovy_MoonBird	28
155	awesomeoneme	28
157	Hyp3rion_	25
157	thgrocks	25
159	1442	24
159	_TCARREIRA_	24
161	ShedJr_	22
162	ratglock	21
162	whoaluv	21
162	MangoTheFish	21
165	NinjaKnifeKill	19
165	surfinggiraffejp	19
165	Quaintster	19
168	crying_wolf_13	18
168	PlasticOtari	18
170	mwrty	17
170	jnp_gaming	17
172	ItsColin11	16
172	SvenskaHugo	16
172	00000000-0000-0000-0009-01f532a65833	16
175	Alexanderjac	15
175	paranoid_plant	15
175	Marbz_	15
178	SaucyDark	14
178	Euclidoris	14
178	MovingFish7	14
181	500am	13
181	r123moore	13
181	Covalents	13
181	Fast_Turtle	13
181	Kyrum2169	13
181	Dogcorn69420	13
187	dnlksl	12
187	EveryonesUncle	12
189	_stets	11
189	SpouHn	11
189	fffMike	11
189	Miko_Fullbuster	11
193	TTNG	10
193	Meatlaugh	10
193	Spenduh	10
193	anbbang	10
197	rarrq	9
198	Scathra	8
198	Skomo	8
198	fluddd	8
198	PA_Tech_Gaming	8
198	JayToe	8
203	Aezekial	7
203	radioactv_jelly	7
203	Fizznut909	7
206	error10101	6
206	Seyaboy	6
206	NotTrixi	6
206	AnnieBathory	6
206	_Karmaa	6
211	Drlzyy	5
211	m_be9	5
211	Akoot_	5
211	Typadopoulos	5
211	Factoroni	5
211	Rainaldus	5
211	VentiHilton	5
218	Paleshield	4
218	Natofthese	4
218	H72l9w	4
218	Historical_Sand	4
218	eviltunix	4
218	Kouridragon	4
218	Nicserso	4
225	KingFaenor	3
225	T045RTY	3
225	Cryptacity	3
225	Ardennes	3
225	fallingemma	3
225	SuperPooch06	3
225	fkGrim	3
225	QueenShuvi	3
225	deerm	3
225	TheTommyGun63	3
225	Kowcio_	3
225	Soplight	3
237	susbakaimpostor	2
237	AgressiveEggdog	2
237	Humpcat	2
237	aluminumhelmet	2
237	BobDeBouwer1337	2
237	Austine6698	2
237	jumpyPog	2
237	Cambo5000	2
237	egglapras	2
237	platinumzero	2
237	Mobstr	2
237	Armattillo	2
237	CruncyIsTaken	2
237	TheCordicus	2
237	The_Quack_Dealer	2
237	lordpipe	2
237	33sudo	2
237	Optiprimus	2
237	alkrie	2
237	__tomato	2
237	y0shik	2
237	CalebDHawk	2
237	Eczbek	2
237	Kubeusz2010	2
261	_Virify_	1
261	Elprone266	1
261	Hpdinosaur	1
261	Silenttieg	1
261	Nicky_H225	1
261	eclipseboi	1
261	Kkanot	1
261	PegLegPete93	1
261	Inchef	1
261	CollinMH06	1
261	wTXop	1
261	Leyna3	1
261	BrownBrix	1
261	YungWali	1
261	Nycteus_	1
261	censorsheep	1
261	Razzgriz	1
261	TheEnderman548	1
261	KG1999	1
261	yatsuta	1
261	ProbsNotNova	1
261	Moetis	1
261	Quotary	1
261	cichy096	1
261	kinas45y5	1
