rank	username	minecraft:picked_up/minecraft:snowball
160	Healthing	354
161	Freak_Genius	353
162	chipklip	351
163	fkGrim	343
164	Winklepicker279	334
165	JWiseheart	312
166	Myszoaz	311
167	Sky_light_KING	310
168	Leyna3	305
169	Nycteus_	302
170	TheSeismicDuck	298
171	Laykon	295
172	Cartoonmaniac	294
173	Dragonfest	293
174	Kubelz	292
175	Enderslayerxz3	291
175	MeetTheWollo	291
177	Hyp3rion_	290
178	Crowvens	288
179	xyct	286
180	eviltunix	270
181	Kkanot	269
182	ewsophie	266
182	MOSS000	266
182	speenduhXD	266
185	Sorins	263
186	Kyrum2169	256
187	Harotio	241
187	CruncyIsTaken	241
189	Valoth	239
190	Steven1282598	237
191	Optiprimus	223
192	the__Reaper4999	222
192	Quotary	222
194	Lowjinx	219
195	ImDisconnected_	212
196	Sheldor097	210
197	Erased_Identity	209
198	StanceTB	208
199	Reamdin	207
200	Xclax101	203
201	LordSpeed37	199
202	lewieinnit	197
203	gabriels543	194
204	theonlymagikarp	193
205	Hisiste	185
206	The11thDoctor	183
206	djancak	183
208	Hail_the_wombat	178
208	Nicserso	178
210	Deguns123	177
211	heysushii	176
212	sammidk	175
213	QueenOfDirt	174
214	loveseeker	166
215	voiding_	164
216	Covalents	163
217	H72l9w	160
218	Slapface522	159
219	ProfessorBee	158
220	DeeDeeThonk	157
221	Alphanzt99	155
222	Strangemonkey71	148
222	UrbanPlanner1978	148
224	Rasmanden	147
225	himak1	146
226	Septemb3r	145
226	Kubeusz2010	145
228	monky_irl	144
229	jushykins	141
230	2xil2	139
230	_schi	139
232	RebelAndroid	138
233	wiqor	136
234	Luigipunch989	135
235	MattieHD	134
236	fffMike	133
237	Njensen7	132
238	Nagasaki_Riku	131
239	YoshikageBites	129
240	Shogunite	127
241	Maenara	125
242	Rich_Kat	121
243	Ecplosive	120
243	fred870d	120
243	Kateesaur	120
246	diggydog67	119
247	2blox	118
248	Flapjacker687	117
249	garrykasparow	116
250	anbbang	114
251	Comma__	113
252	fallingemma	110
252	lordpipe	110
254	Soplight	109
255	Peeing	107
255	Smiguli_	107
257	livingdaydreams	106
258	_Virify_	105
258	sebastiensaborio	105
260	Kynigito	104
260	_TCARREIRA_	104
262	AlazelTheReal	102
263	Xalithia	101
263	Jackattack53	101
263	RodSerlingCringe	101
266	Rocco_Lane	100
267	MrExplorer	97
267	Myhym	97
269	epiksk8erduck	94
269	TheGameArchitect	94
271	_Minnty_	92
271	sandmire	92
271	Jonte0599	92
271	Blaiku	92
275	XboxPanda	91
275	Dreamdbr14	91
277	CyrusIsTired	90
278	SullivanNephew	89
279	SamZombie	88
279	Haadrada	88
281	intropass	87
281	SvenskaHugo	87
283	Toasty_Tom	86
283	marumochis	86
285	ThatMan_Dave	85
286	NameGenerat0r	84
286	SkateboardR6	84
288	ProbsNotNova	83
289	T045RTY	81
289	Armattillo	81
291	Big_Bad_Will	80
291	Rumpletaezer	80
291	FishyBoy3811	80
294	dabloons	79
294	KarlKaek	79
296	Dedalus36	78
297	Ristebraaten	77
298	the_russell1611	76
299	Juh1s	75
300	BreadFruggis	73
