rank	username	minecraft:picked_up/minecraft:golden_chestplate
87	NameGenerat0r	9
87	SkateboardR6	9
87	monky_irl	9
87	Luigipunch989	9
87	Njensen7	9
87	2blox_	9
87	Jimb0nat0r	9
102	ECstardust	8
102	ExtraDumb	8
102	mariominejedi	8
102	fr_ser	8
102	hanaryheatwave	8
102	Krowuss	8
102	Blu3beast	8
102	Gus2005	8
102	mihimihimihi	8
102	MasterNueve	8
102	SpacesickPrism	8
102	KingMatthew506	8
102	Steelynan	8
102	EcksD	8
102	RadarHz	8
102	Nicserso	8
118	soundad	7
118	Merv__	7
118	I_Am_Mushkin	7
118	KarlKaek	7
118	RebelAndroid	7
118	livingdaydreams	7
118	Kamflame	7
118	Nach0Bear	7
118	Inchef	7
118	r123moore	7
118	Kubelz	7
118	MyNameIsJobo	7
118	whoaluv	7
118	Chromary	7
118	Skylord_Luke	7
118	kkatsuragi	7
118	Manaateee	7
118	Deerfoot	7
118	wwwwinnebagoooo	7
118	_i_ERROR_i_	7
138	k_ce	6
138	_Virify_	6
138	Mr_Byzantine	6
138	Historical_Sand	6
138	jacxhadow	6
138	Smashic	6
138	ROY4LE	6
138	2Stout	6
138	Galactic_Badger	6
138	F_Uhre	6
138	PaperCanvas	6
138	Leyna3	6
138	masskedman	6
138	AstreaTSS	6
138	MAns_44	6
138	FadedSpade82	6
138	NATE_the_HALO	6
138	Kferno	6
138	skitzxo	6
157	Jovaphobic	5
157	Cowison	5
157	SaucyDark	5
157	tuckerdoodle	5
157	T045RTY	5
157	Alteriity	5
157	Crowman1	5
157	Touched_Bread	5
157	ARandomHedge	5
157	crashomon	5
157	legal_tax_evader	5
157	Rumpletaezer	5
157	parodypatient	5
157	AspenLightVT	5
157	Soap_Bender	5
157	claivin	5
157	DanTheBuilderino	5
157	pretty_pink_reno	5
157	Xclax101	5
157	StarCookiees_	5
157	_Mythic____	5
157	bloomkieren	5
157	Spenduh	5
157	obzii	5
157	Dreamdbr14	5
157	laron58	5
157	jnp_gaming	5
157	h2p_emrld	5
157	diggydog67	5
186	H0UNDFRMH3LL	4
186	PhantomsGhost_	4
186	SmashingPump	4
186	teslawolf38	4
186	KingFaenor	4
186	Tommhh	4
186	diamondgolem35	4
186	Killercatty78	4
186	Ryker	4
186	QuiCreans	4
186	Ssor69	4
186	Prodiginus	4
186	Hydro___________	4
186	m_be9	4
186	ABUSNA1996	4
186	corvidpartyfor6	4
186	SteveCraftBlocks	4
186	_Dean_123	4
186	Kkanot	4
186	UncreativeArtist	4
186	orxngejuice	4
186	platinumzero	4
186	CharlieButt	4
186	gloominq	4
186	Giannism	4
186	SuperPooch06	4
186	burbankbuilder28	4
186	RebytreGT	4
186	ooga47	4
186	AlexxO_o	4
186	aec9	4
186	Samificator	4
186	Dabatha	4
186	TheSeismicDuck	4
186	Tyrannosplart	4
186	DarlaMeow	4
186	Racengan	4
186	Razzgriz	4
186	SvenskaHugo	4
186	IdeallyGrey	4
186	SSytex_X	4
186	Fizznut909	4
186	VentiHilton	4
186	cichy096	4
186	00000000-0000-0000-0009-01ff0c3e5e4f	4
231	CloroxBleach385	3
231	BadenStayFly	3
231	Paint	3
231	PazinGaming	3
231	Flex_Tape_Phil	3
231	xXTheWolfmanXx	3
231	Creativebuilder2	3
231	_Razaria	3
231	SOA1RR	3
231	CoffeeNoir	3
231	NinjaKnifeKill	3
231	TheMaster972	3
231	Stynxy	3
231	bloodbiter	3
231	MattieHD	3
231	Z3braYTIL	3
231	Laykon	3
231	Awyrlas	3
231	hijeatsdirt	3
231	Mewar	3
231	Xalithia	3
231	theonlymagikarp	3
231	UncleDanDan	3
231	TableTim	3
231	Zaridey	3
231	Karetoko	3
231	fragrantmonke444	3
231	Jonafrog99	3
231	WarMachina	3
231	TheWildMateo	3
231	Cruncy_	3
231	cedric72	3
231	TeenMomTom	3
231	lizardfightclub	3
231	Jimi7hits	3
231	Fakiuss	3
231	Hahaa_0	3
231	EdGalbraith	3
231	DarkS0L	3
231	ykgiratina	3
231	Shogunite	3
231	Groundler	3
231	Hisiste	3
231	Airem_Core	3
231	ItsDeltaMC	3
231	Kura2218	3
231	xzvu	3
231	MilleGrug	3
231	TheALV	3
231	Eczbek	3
231	hermmm_	3
231	561cool	3
283	gary_	2
283	Alexanderjac	2
283	Krasnal1337	2
283	angpony4267	2
283	Groovy_MoonBird	2
283	Bandito_Roamer	2
283	SKYPEX_	2
283	Deu_Stew	2
283	RoskobiOne	2
283	dimondking777	2
283	Niklas20114552	2
283	Ilinca_Io	2
283	Sleek_Storm_721	2
283	Ryan_GEMS	2
283	BlancoFlaco	2
283	TooManyDuck	2
283	Wooptey	2
283	abdomera	2
