rank	username	minecraft:picked_up/minecraft:glass_pane
94	sp00ky_ghost977	126
95	MineMaster0012	122
96	ThePoliteG	121
96	JMK208	121
98	Crowman1	120
98	SSytex_X	120
100	eitanzaki	115
101	kekhon	109
102	set67	108
102	SuperPooch06	108
102	SkateboardR6	108
105	12Magner05	107
106	Ailmast	105
106	youhjjhhhjj	105
108	Snowflowe	104
109	_Dean_123	102
109	MilleGrug	102
111	TheSecondLord	100
112	lizardfightclub	97
113	MattieHD	96
113	lordpipe	96
113	IAmTheWalrus910	96
116	Fakiuss	95
117	TheDankPlatypus	94
118	fluddd	92
119	ApophisNova	89
119	MyNamaSheff	89
121	ooga47	87
122	The_slideV3	86
123	EngagedGrub41	85
124	SvenskaHugo	84
124	YungMaki	84
124	Luigipunch989	84
127	Cambo5000	83
127	laron58	83
129	Jimi7hits	82
130	Matek_	81
130	SpacesickPrism	81
130	anbbang	81
133	lorpus	79
134	2blox_	77
135	ShedJr_	76
135	weabis	76
137	PigDab	75
137	Cocoamallows	75
139	yheece	74
139	Jimb0nat0r	74
141	ayamefag	70
141	Kferno	70
143	SaucyDark	69
143	DaviusMaximoose	69
145	KeruNatsema	68
146	Hpdinosaur	67
147	CoffeeNoir	66
147	catandmoose	66
147	fr_ser	66
150	Akoot_	65
150	__tomato	65
152	NarwhalTaco	64
152	Rasmanden	64
152	wirelesstree	64
152	parodypatient	64
156	500am	63
156	Marbz_	63
156	Rebytre	63
156	TrollerYT	63
160	Hyp3rion_	61
160	Warlord324	61
160	Skippeh	61
163	Groovy_MoonBird	60
163	oscminus	60
163	claivin	60
166	Meatlaugh	58
167	Zetsey	57
168	ewsophie	56
169	TooManyDuck	55
169	Deathkob	55
171	ColeSnyder	54
171	Historical_Sand	54
171	EcksD	54
174	ReSynced	52
174	Hermanni__	52
176	audiocracked	51
177	selectrix	50
178	MyNameIsJobo	49
179	SyntheticSurgeon	48
179	G1ldor	48
179	TheSeismicDuck	48
182	2Stout	47
182	TheTrueClipse	47
184	_Razaria	46
185	LeonelSalamanca	45
186	Jackattack53	44
186	Leyna3	44
188	Fildyr	43
189	_stets	42
189	al626win52	42
189	BreadBacon	42
192	Stiar	41
192	Bumpy419	41
194	Lauratheking	40
194	fw3xy74	40
196	Guillemet	39
196	jnp_gaming	39
198	NatalieTW	37
198	Juh1s	37
200	GingerNeutron	36
200	__Fanda__	36
200	popcanter	36
203	Inchef	35
203	VanJosh	35
203	XboxPanda	35
203	_Bguette_	35
203	ReyTheLegend	35
208	WyngGoy	34
208	Kura2218	34
208	PabloGonza02	34
211	ITDV	33
211	Sleepy_Time_	33
213	ergoalias	32
213	dartwaffle	32
213	Tergandius	32
213	Avocadogerms	32
213	smogfrog	32
213	561cool	32
219	dudcreeper	31
219	soundad	31
219	ZigzagLily43042	31
219	MAns_44	31
219	Barlycorn	31
224	heysushii	30
224	cedric72	30
224	Lord_Jord	30
224	stuy9	30
224	non089	30
229	Auseawesome	29
229	CattSoup	29
231	corvidpartyfor6	28
232	Prismyst	27
232	FishyBoy3811	27
232	Segotep999	27
235	SmashingPump	26
235	AuroraValkyrie	26
235	BlancoFlaco	26
235	MinttyFressh	26
235	NomadicRobin_	26
235	Groundler	26
235	diggydog67	26
242	Alteriity	25
242	Winklepicker279	25
242	TheWildMateo	25
245	cheerytomato	24
245	Cryptacity	24
245	UCP_TheKingK	24
245	_i_ERROR_i_	24
245	Deguns123	24
250	Comma__	23
250	IforgotCS_Source	23
250	Hoid_the_Roamer	23
250	ougstur	23
250	MakeHistory157	23
255	_Huge_Male_	22
255	Arteriana	22
255	fr0stss	22
255	Kakolbus	22
255	Zythose	22
255	Matyyy15	22
261	hanaryheatwave	21
262	Ao_Ken	20
262	Rumpletaezer	20
262	SingedBread	20
265	Hiryu27	19
265	DeeDeeThonk	19
265	ediballbearings	19
265	VentiHilton	19
269	Meteora4	18
269	Myszoaz	18
269	NieToksikpl	18
269	CharlieButt	18
269	Skylord_Luke	18
269	Blaiku	18
269	Hisiste	18
269	FelixPSY375	18
277	Lotheburgh	17
277	IgnoredBee	17
277	AuroraSkies	17
277	Lord_Zacler	17
277	Tyrannosplart	17
277	h2p_emrld	17
283	jimbo61101jr	16
283	Jackster03	16
283	jacxhadow	16
283	CaptainSteve345	16
283	HolyVenom	16
283	bluemage31	16
283	PortlyPete69	16
283	xorompole	16
283	RadarHz	16
283	vandmanden	16
293	bigstankyy	15
293	Dali1465	15
293	censorsheep	15
296	Cartoonmaniac	14
296	Whiterooster001	14
296	epiksk8erduck	14
296	bearlystraight	14
296	Dreamdbr14	14
