rank	username	minecraft:picked_up/minecraft:brewing_stand
244	SPUDonSTEROIDS	2
244	SpicyMeatballs	2
244	Bolete	2
244	Ristebraaten	2
244	ChillenChiggen	2
244	SuperPooch06	2
244	WET_WET_WET	2
244	Silvo614	2
244	ooga47	2
244	Moofyman	2
244	victorLIE	2
244	ougstur	2
244	LilLizardWizard	2
244	ZA07	2
244	TheTrueClipse	2
244	Toasty_Tom	2
244	AlphaWolfPlaysMC	2
244	Qorbyn	2
244	MrMonster61	2
244	dankxing	2
244	DarkS0L	2
244	ebanana	2
244	1442	2
244	Quincannon	2
244	MAns_44	2
244	EfficientC52	2
