rank	username	minecraft:picked_up/minecraft:sugar
121	fluddd	7
121	Enderslayerxz3	7
127	Sleek_Storm_721	6
127	tramizu	6
127	impossibleteapot	6
127	thgrocks	6
127	Quincannon	6
127	DanTheBuilderino	6
127	PlzNoBM	6
134	q_wq	5
134	youhjjhhhjj	5
134	SteveCraftBlocks	5
134	set67	5
134	mwrty	5
134	egglapras	5
134	masskedman	5
134	MustaLoordi	5
134	Dusk_95	5
134	SvenskaHugo	5
134	stahouo	5
134	jcool7	5
146	_NieToksikpl_	4
146	dabloons	4
146	Flegneh	4
146	Healthing	4
146	Hyugo	4
146	Dedalus36	4
146	addigray	4
146	TAKrules	4
146	Frxnkz	4
146	shyshyannne	4
146	UncreativeArtist	4
146	mimbo1211	4
146	pappaberg	4
146	BronkerBrum	4
146	RobotMinion101	4
146	fred870d	4
146	TheSeismicDuck	4
146	Deathkob	4
146	Warlord324	4
146	TheEnderman548	4
146	__tomato	4
146	Moetis	4
146	DennyKai	4
146	jnp_gaming	4
170	Jovaphobic	3
170	I_Am_Mushkin	3
170	SaucyDark	3
170	Hpdinosaur	3
170	KomputerDude	3
170	fr0stss	3
170	jacxhadow	3
170	eviltunix	3
170	Bolete	3
170	Zaridey	3
170	fr_ser	3
170	jedi_george	3
170	The11thDoctor	3
170	_naturell	3
170	lillips	3
170	MyNameIsDakar	3
170	Soap_Bender	3
170	Vorlice	3
170	Hisiste	3
170	WyngGoy	3
170	bloomkieren	3
170	Kyrum2169	3
170	Njensen7	3
193	SyK7	2
193	2xil2	2
193	AuroraValkyrie	2
193	Tommhh	2
193	6king6colt6	2
193	KarlKaek	2
193	bigstankyy	2
193	hm947	2
193	RebelAndroid	2
193	Franco093	2
193	Jahara	2
193	Simon_Lowell	2
193	TheMaster972	2
193	Shazzyling	2
193	DirtyDalle	2
193	Comma__	2
193	Nicky_H225	2
193	zorin123	2
193	GingerNeutron	2
193	slkiey	2
193	Nach0Bear	2
193	Mewar	2
193	Xalithia	2
193	Covalents	2
193	M_Patata	2
193	Mobstr	2
193	Tandy117	2
193	_Boipl_	2
193	Fast_Turtle	2
193	ooga47	2
193	Kouridragon	2
193	Onennon	2
193	cedric72	2
193	TTNG	2
193	aec9	2
193	Rasmanden	2
193	Leonidas2k17	2
193	wezzzi	2
193	Joestra	2
193	audiocracked	2
193	EveryonesUncle	2
193	sufjanlover	2
193	proxivitoid	2
193	Meatlaugh	2
193	NameGenerat0r	2
193	Nycteus_	2
193	SingedBread	2
193	LordAurum	2
193	Fildyr	2
193	ElKaySVK	2
193	monky_irl	2
193	Mistruth	2
193	LordSpeed37	2
193	somegirl12_	2
193	djancak	2
193	jaimshae	2
193	_TCARREIRA_	2
193	Nargotah	2
193	Kferno	2
193	Dreamdbr14	2
193	Kubeusz2010	2
193	amkold	2
193	smogfrog	2
193	FallenCorps	2
193	PlasticOtari	2
193	WYFYoyo	2
193	JayToe	2
193	_Dri_	2
193	Kateesaur	2
193	Tristankill	2
193	diggydog67	2
264	Alexanderjac	1
264	SDW_Insanity	1
264	_Virify_	1
264	Foof13	1
264	KingFaenor	1
264	awesomeoneme	1
264	H72l9w	1
264	SquadMonster	1
264	Ozixar	1
264	Khelvoryk	1
264	titanlax	1
264	Notta	1
264	BobDeBouwer1337	1
264	500am	1
264	redikul	1
264	sandmire	1
264	Kamflame10	1
264	himak1	1
264	LordDiabolos	1
264	emrekn	1
264	surfinggiraffejp	1
264	2Stout	1
264	ImDisconnected_	1
264	Marbz_	1
264	nitram49b	1
264	Snowflowe	1
264	Nyxiom_	1
264	Bumpy419	1
264	Rebytre	1
264	_Cloverbelle_	1
264	Forcolp	1
264	fxiryglitch	1
264	Gmoney390	1
264	TeenMomTom	1
264	brycepants	1
264	NoChumpChange	1
264	Jiminbub	1
