rank	username	minecraft:picked_up/minecraft:quartz_block
207	Luigipunch989	37
210	gabriels543	35
211	ZeroKraken	34
212	AlexxO_o	33
213	MrKrabOnCoke	32
213	dopplexd	32
213	TheSecondLord	32
213	Moofyman	32
213	Deerfoot	32
218	SquadMonster	31
219	ssleepless	30
219	epiksk8erduck	30
221	__tomato	29
222	Racengan	28
223	oreee	27
224	bloodbiter	26
224	Mewar	26
224	Bumpy419	26
224	fkGrim	26
224	bloomkieren	26
229	fluddd	25
229	FelixPSY375	25
231	BlankityMcBlank	24
232	CharlieButt	23
232	wwwwinnebagoooo	23
234	Mr_Byzantine	22
234	Rebytre	22
234	Karbl	22
237	2Stout	21
238	Ssor69	20
238	SteveCraftBlocks	20
238	intropass	20
238	burbankbuilder28	20
238	RohnJosin	20
238	parodypatient	20
244	Kowcio_	19
245	noodlepack	18
245	MyNameIsJobo	18
247	Bandito_Roamer	17
247	ketaminmann	17
249	roxycherry	16
249	Lutres_Torane	16
249	cytotoxaint	16
249	Yahrto	16
253	Kamflame10	14
253	XxCookiequeenxX	14
253	Typadopoulos	14
253	lcvezra	14
253	erkada	14
258	ratglock	13
258	BlueZabu	13
258	AltnumberF4	13
261	AuroraValkyrie	12
261	youhjjhhhjj	12
261	NieToksikpl	12
261	Xalithia	12
261	smarticuno	12
261	CrateOfBoxes	12
261	ApophisNova	12
261	Nagasaki_Riku	12
261	microcrisp	12
261	MyNamaSheff	12
271	T045RTY	11
271	_Dean_123	11
271	Motsaro	11
271	Drewen24	11
271	ElectricDragon81	11
276	ooga47	10
276	Deathkob	10
276	obzii	10
276	JayToe	10
280	Hiryu27	9
280	selectrix	9
280	RodSerlingCringe	9
280	Quincannon	9
280	MAns_44	9
280	Kyrum2169	9
280	RadarHz	9
287	Elprone266	8
287	Natty	8
287	fr_ser	8
287	killmeiamtraitor	8
287	TheTommyGun63	8
287	Deguns123	8
287	Serval2000	8
287	Northernrabbit	8
295	eclipseboi	7
295	dartwaffle	7
295	audiocracked	7
298	ColeSnyder	6
298	Chromary	6
298	fred870d	6
