rank	username	minecraft:picked_up/minecraft:beef
163	Arceus1975	141
163	thewindmillman	141
165	Natty	140
165	ClemenPine	140
165	EcksD	140
168	_Bruhtastic_	138
169	LilLizardWizard	136
170	smogfrog	135
171	zmpeg	134
172	natajimi	133
172	fkGrim	133
174	Winklepicker279	129
175	Maenara	128
175	bloomkieren	128
177	Stynxy	127
178	Hiryu27	126
178	m9_meltdown_	126
180	Tolhart	125
180	BilboBaggins23	125
182	KingEgg1	124
182	Nagasaki_Riku	124
182	yatsuta	124
185	crying_wolf_13	123
186	Bandito_Roamer	122
186	stahouo	122
188	Historical_Sand	121
188	Captain_Nasty	121
188	1442	121
191	Karbl	120
192	Gary_	118
192	Sky_light_KING	118
194	12Magner05	114
194	Awyrlas	114
194	SellyZ	114
194	Vorlice	114
198	KingFaenor	113
198	x86assembly	113
200	AuroraValkyrie	111
200	Kakolbus	111
200	Inbefour	111
200	underscore_2	111
204	BigBootyHudge	110
204	aa2x_	110
206	DepressedCubic	108
207	livingdaydreams	107
207	OfficerAnvil	107
209	MinttyFressh	106
209	misomon	106
211	KeruNatsema	105
212	Wooptey	104
213	Cryptacity	103
213	Ardennes	103
215	Hyp3rion_	102
215	DAD_1996	102
217	o0z	101
218	Project_MKBRD	98
218	Darkgon	98
220	Seyaboy	97
220	bloodbiter	97
222	Notta	94
222	The11thDoctor	94
222	deerm	94
222	MakeHistory157	94
222	Kyrum2169	94
227	dopplexd	93
228	Dan_Scha	92
228	mobunni	92
230	RyuNeko932000	91
230	krutas2000	91
232	MrExplorer	90
233	PhantomsGhost_	89
233	C0oOK13M0N5T3R	89
233	layabout100	89
236	voiding_	87
237	SDW_Insanity	86
237	Paint	86
237	cowgirlkasia	86
237	KlausVonStiglitz	86
237	jcool7	86
242	UncleDanDan	85
243	Kynigito	84
244	Kubelz	83
245	TheSecondLord	81
245	Hermanni__	81
247	MustaLoordi	79
247	AvaRosey	79
249	AlejandroPH1	76
250	ROY4LE	75
250	Skylord_Luke	75
250	Joestra	75
253	SoftSix	74
253	Mistruth	74
253	Enderslayerxz3	74
253	kinas45y5	74
257	TooManyDuck	73
258	Bolete	72
258	AJplaysMC_	72
258	XxCookiequeenxX	72
261	Flores991	71
261	tobinwilliams	71
261	masskedman	71
261	LordSpeed37	71
261	Tristankill	71
266	MunkaKris	69
266	SHAOBADMAN	69
266	aec9	69
266	claivin	69
266	CoryJJ	69
271	PabloGonza02	68
272	301851	67
272	Rainaldus	67
274	Ssor69	66
274	John6970	66
274	Katsuragi0243218	66
274	NotMeowMix	66
278	SharpDev	65
278	MustardDrinker	65
278	Mafubana	65
278	OG_Songsee	65
278	FallenCorps	65
283	bra1nbrain	64
283	Jackster03	64
283	Myrlewen	64
283	Ahketen	64
283	KermitTheKripple	64
283	lcvezra	64
289	lOlmantschi	63
289	wfk7	63
289	yulgur1	63
289	Zoeyfortnite	63
293	_NieToksikpl_	62
293	jewbacaman	62
293	lizardfightclub	62
296	RebelAndroid	61
296	Tmb1	61
296	ProfessorDiaper	61
299	ooga47	60
299	OtariCharlie	60
