rank	username	minecraft:picked_up/minecraft:stone_brick_slab
158	benediktine1	175
158	Xclax101	175
160	Rich_Kat	174
161	Quotary	170
162	fffMike	165
163	TheThomas69	161
164	Yatitay	158
164	Hyp3rion_	158
166	paranoid_plant	155
167	MeetTheWollo	154
168	XboxPanda	152
169	Incinere	151
169	LotusProject	151
171	CalebDHawk	150
172	ShedJr_	149
173	q_wq	148
173	Spacewardharpy7	148
173	Enderslayerxz3	148
176	Winklepicker279	147
176	LAVA129	147
178	SammiWolfGirl	146
179	G1ldor	141
179	Nach0Bear	141
179	yaboo88	141
182	avalan64	140
183	Megarboh	138
183	Negriuke	138
185	sxc_	136
185	Inbefour	136
187	Cortexia	135
188	trexgb	132
189	oxfordschool	129
190	GingerNeutron	128
190	_Bguette_	128
190	cichy096	128
193	DarkS0L	127
193	UCP_TheKingK	127
195	TheDankPlatypus	125
196	YungJakobo	124
197	thewindmillman	123
198	Skippeh	120
199	bloodbiter	118
200	djancak	117
201	T045RTY	116
202	r123moore	115
203	Smiguli_	111
204	Blaiku	109
205	lordpipe	108
206	eiC_	105
206	RodSerlingCringe	105
206	Shin69	105
209	FirsTimeGamingTV	103
210	RobotMinion101	102
211	OnlyOfficial	101
212	LordSpeed37	98
213	Hoid_the_Roamer	97
213	_TCARREIRA_	97
215	Dusk_95	96
216	ExtraDumb	95
216	GLLogan2	95
216	KeruNatsema	95
219	Myszoaz	94
220	theonlymagikarp	93
220	Freeman666	93
222	Giannism	90
222	Quaintster	90
224	Natty	89
225	Nicky_H225	88
225	SoftSix	88
225	Toiton	88
228	Nycteus_	87
229	Tobinator_007	86
230	SSytex_X	84
231	Soffbord	82
232	Healthing	81
232	Jackster03	81
232	fallingemma	81
232	laron58	81
236	soundad	80
236	Andy__Dufresne	80
238	kinas45y5	79
239	fr0stss	78
240	Doom_melon	77
240	chipklip	77
240	drumine	77
240	Nicserso	77
244	StanceTB	76
244	OfficerAnvil	76
246	SlayerCrypto	75
246	DanTheBuilderino	75
248	EllaBellaChu	74
248	dendydoom	74
250	CrateOfBoxes	73
251	Ze_BaronKrigler	71
252	Awyrlas	70
252	Barlycorn	70
254	RoskobiOne	69
254	SellyZ	69
256	pumpfonzo	68
256	Felenov	68
258	TooManyDuck	67
258	Luigipunch989	67
260	Jovaphobic	66
261	SuperPooch06	62
262	jacxhadow	61
262	Z3braYTIL	61
262	Motsaro	61
262	MonitorLizards	61
262	madderfall	61
262	Steven1282598	61
262	SingedBread	61
269	FlashMigma	60
269	UrbanPlanner1978	60
271	Comma__	59
271	himak1	59
273	Louiis123	57
273	jjettii	57
273	AnnieBathory	57
273	alkrie	57
273	Zoeyfortnite	57
278	DemTechAlpha	56
279	Meme25327	55
279	TinMaster	55
281	NomadicRobin_	54
281	ReyTheLegend	54
283	LittleBug562	53
284	MilleGrug	51
285	NotKaden_	49
285	JayToe	49
287	Jokerman369	48
287	selectrix	48
289	_Boipl_	46
289	Voxin2K	46
291	SaucyDark	44
291	ogoa	44
291	krutas2000	44
294	killmeiamtraitor	43
294	stavgod	43
294	h2p_emrld	43
297	emrekn	42
297	1442	42
297	MissCeleste7	42
300	JEWISHBadenBeele	41
