rank	username	minecraft:picked_up/minecraft:armor_stand
126	SoftSix	5
126	Karetoko	5
126	Chromary	5
126	ApophisNova	5
126	Wowful	5
126	Jiminbub	5
126	Blaiku	5
126	ItsDeltaMC	5
126	Kyrum2169	5
126	MyNamaSheff	5
126	EcksDofficial	5
142	Froste131	4
142	DinoDoctor_	4
142	SaucyDark	4
142	RatatJuice	4
142	Hpdinosaur	4
142	titanlax	4
142	roxycherry	4
142	Smashic	4
142	Kkanot	4
142	egglapras	4
142	r123moore	4
142	platinumzero	4
142	XboxPanda	4
142	Purplehere	4
142	fallingemma	4
142	Sagaram	4
142	Arceus1975	4
142	Zythose	4
142	k1ngGilgamesh	4
142	PigDab	4
142	sammidk	4
142	420BreadLizard	4
164	Dedalus36	3
164	Incinere	3
164	Historical_Sand	3
164	Swexti	3
164	eclipseboi	3
164	LotusProject	3
164	Stiar	3
164	mariominejedi	3
164	fr_ser	3
164	AnnieBathory	3
164	Leyna3	3
164	Inbefour	3
164	XxCookiequeenxX	3
164	UnThinkable2110	3
164	Shogunite	3
164	claivin	3
164	NotMeowMix	3
164	Eraxa	3
164	pixelviolin	3
164	jcool7	3
164	Njensen7	3
164	diggydog67	3
186	nataliecool	2
186	dabloons	2
186	Bad_At_Names_Guy	2
186	Tolhart	2
186	picardred	2
186	NasdaqCrash	2
186	Ardennes	2
186	MattieHD	2
186	slkiey	2
186	Yuvl	2
186	Wotters7	2
186	Ecplosive	2
186	Marbz_	2
186	Jackattack53	2
186	whoaluv	2
186	GreedyFern8581	2
186	regulator75	2
186	Bumpy419	2
186	Kouridragon	2
186	Kynigito	2
186	Zielo2017PL	2
186	Rasmanden	2
186	fw3xywashere	2
186	balin55	2
186	YungWali	2
186	MyNameIsDakar	2
186	SingedBread	2
186	wwwwinnebagoooo	2
186	SkateboardR6	2
186	LordSpeed37	2
186	SSytex_X	2
186	SammiWolfGirl	2
186	GlitchyPlate810	2
186	CalebDHawk	2
186	ZoomieZoomie	2
186	HesDemonPants	2
186	00000000-0000-0000-0009-01fbab7ea71d	2
223	strongman951753	1
223	Jackywho	1
223	q_wq	1
223	error10101	1
223	TooManyDuck	1
223	Alteriity	1
223	WarHammer3	1
223	Huwulling	1
223	Myszoaz	1
223	SpaceGrenadier	1
223	MSK__	1
223	MrKrabOnCoke	1
223	oreee	1
223	Stright_	1
223	Upstro10	1
223	jushykins	1
223	bloodbiter	1
223	Boboczus	1
223	Guillemet	1
223	_Nuf	1
223	shyshyannne	1
223	ConcretePirate	1
223	crying_wolf_13	1
223	Torza	1
223	orxngejuice	1
223	DSYisDizzy	1
223	KingEgg1	1
223	AuBanana	1
223	MyNameIsJobo	1
223	AJplaysMC_	1
223	wTXop	1
223	DaviusMaximoose	1
223	GUBBENZ	1
223	Hoid_the_Roamer	1
223	M310NZ	1
223	CruncyIsTaken	1
223	KartivGal	1
223	fred870d	1
223	KeruNatsema	1
223	DScatgirls	1
223	ADEXTV	1
223	Melethestel	1
223	CrumplyBanjo_	1
223	natajimi	1
223	NomadicRobin_	1
223	audiocracked	1
223	Gryglu583	1
223	Fuhrer_Teemo	1
223	sufjanlover	1
223	HwamzUK	1
223	Mafubana	1
223	Mr_Gulle	1
223	MustaLoordi	1
223	Nycteus_	1
223	Garrulous	1
223	Warlord324	1
223	cytotoxaint	1
223	Seashimi	1
223	WyngGoy	1
223	OG_Songsee	1
223	AnonymousUserr	1
223	33sudo	1
223	sigmabich	1
223	PirreJR	1
223	AssFullaCum	1
223	UCP_TheKingK	1
223	Phoenix_Diacou	1
223	lcvezra	1
223	obzii	1
223	PlzNoBM	1
223	Sheldor097	1
223	mawileite	1
223	Hermanni__	1
223	alderban107	1
223	mobunni	1
223	Skippeh	1
223	xorompole	1
223	MythicalyMew	1
