rank	username	minecraft:picked_up/minecraft:oak_boat
232	NoChumpChange	26
232	Barlycorn	26
232	Dusk_95	26
232	LeeMcGee30	26
240	PhantomBionic	25
240	FirsTimeGamingTV	25
240	Awyrlas	25
240	TableTim	25
240	trixterrx	25
240	IAmTheWalrus910	25
246	nataliecool	24
246	Vizzoid	24
246	Rich_Kat	24
246	eviltunix	24
246	Mouse74	24
246	LAVA129	24
246	Kokeech	24
246	jewbacaman	24
246	_Crimson_Legate	24
246	TheSeismicDuck	24
246	wwwwinnebagoooo	24
246	Kekoo	24
246	diggydog67	24
259	Vryistal	23
259	ProfessorBee	23
259	mrnosetackle	23
259	Dali1465	23
259	SellyZ	23
259	Bumpy419	23
259	Nycteus_	23
259	Cyntrical	23
259	Hylo482y	23
259	2blox	23
259	FishisTTV	23
270	Lepthymo	22
270	_stets	22
270	nocturne78	22
270	ratglock	22
270	MrExplorer	22
270	Ardennes	22
270	JitteryJared2	22
270	FishyBoy3811	22
270	YahooScreen9000	22
270	DemTechAlpha	22
270	csendeslol	22
281	Krasnal1337	21
281	Fast_Turtle	21
281	kars0n	21
281	Dan_Scha	21
281	Ossem	21
281	_3Stump_	21
287	Bruh77	20
287	Mowelan	20
287	TheBlackDeth	20
287	Huwulling	20
287	ketaminmann	20
287	Paintz	20
287	Purplehere	20
287	Blamphe	20
287	yulgur1	20
287	TheCordicus	20
287	Jiminbub	20
287	the_russell1611	20
287	technic_squirrel	20
287	HeyGoat	20
