rank	username	minecraft:picked_up/minecraft:repeater
115	12Magner05	52
115	_Nuf	52
115	lcvezra	52
118	LexMakesHistory	51
119	SSytex_X	47
119	HesDemonPants	47
121	soundad	46
121	BlueZabu	46
121	_8man	46
121	silverpopcorn	46
125	ImpavidArcher	45
125	stavgod	45
125	Dreamdbr14	45
128	Skylord_Luke	44
128	Sky_light_KING	44
130	Kowcio_	43
131	FishyBoy3811	42
131	__tomato	42
133	Lord_Jord	41
133	TheSeismicDuck	41
133	DanTheBuilderino	41
133	Cocoamallows	41
137	Kouridragon	40
138	Scathra	39
138	RobotMinion101	39
138	_Bguette_	39
138	The_slideV3	39
138	Conrad139	39
138	PortlyPete69	39
138	Sheldor097	39
145	sebastiensaborio	38
146	Tobinator_007	37
146	Paintz	37
146	audiocracked	37
146	Syropatathe	37
146	stellarjay	37
151	Dedalus36	36
151	NameGenerat0r	36
153	Dusk_95	35
154	MinttyFressh	34
154	MattieHD	34
156	Sleek_Storm_721	33
156	BumbleBeever	33
158	Ssor69	32
158	yatsuta	32
158	alderban107	32
158	kinas45y5	32
162	_Virify_	31
162	mariominejedi	31
164	The_Dark_One_00	30
164	Rainaldus	30
166	LordSpeed37	29
167	Chromary	28
167	EcksDofficial	28
169	Karbl	27
169	Hisiste	27
169	pixelviolin	27
172	Merv__	26
172	youhjjhhhjj	26
172	andy_rex	26
172	chipklip	26
172	Soap_Bender	26
177	Jovaphobic	25
177	_Dean_123	25
177	Factoroni	25
180	joethahobo	24
180	SokaOtaku	24
180	fluddd	24
180	GravitySaint	24
180	SkateboardR6	24
185	rarrq	23
185	seramalen	23
185	Skippeh	23
185	Mr_Teddiursa_K	23
189	bigstankyy	22
189	SlayerCrypto	22
191	The_SlideV5	21
192	JESS_THE_RERE	20
192	_TCARREIRA_	20
192	KingMatthew506	20
195	heysushii	19
195	abramgray	19
195	Prodiginus	19
195	loveseeker	19
199	SaucyDark	18
199	Jackster03	18
199	picardred	18
202	HolyVenom	17
202	KliBeast21	17
202	voiding_	17
202	ProbsNotNova	17
206	Iagoku	16
206	Inchef	16
206	Purplehere	16
206	Hoid_the_Roamer	16
206	tobinwilliams	16
206	Donutt	16
206	djancak	16
213	AnnieBathory	15
213	Leyna3	15
213	Kferno	15
216	ExtraDumb	14
216	emrekn	14
216	gcaisawesome	14
216	AltnumberF4	14
220	Tolhart	13
220	eli_tschki	13
220	vandmanden	13
223	CoffeeNoir	12
223	heckface	12
223	Zenlou	12
223	bruh072	12
227	zorin123	11
227	gabriels543	11
227	lizardfightclub	11
227	valkam13	11
227	KlausVonStiglitz	11
227	DarlaMeow	11
227	tartanboy	11
234	Houstonion	10
234	Franco093	10
234	awesomeoneme	10
234	Rich_Kat	10
234	John6970	10
234	TheDankPlatypus	10
234	Gryglu583	10
234	_czarny	10
234	TheDumbHuman	10
234	Jij0	10
234	SvenskaHugo	10
245	NotP0tato	9
245	MOSS000	9
245	jacxhadow	9
245	Doom_melon	9
245	Wowful	9
245	censorsheep	9
245	Bloo2406	9
245	Logain42	9
245	UltraZombie	9
254	6king6colt6	8
254	Kegradigm	8
254	ShedJr_	8
254	Comma__	8
254	SharpDev	8
254	Quincannon	8
260	Groovy_MoonBird	7
260	H72l9w	7
260	fr0stss	7
260	Kkanot	7
260	Ripleey	7
260	Shiirazuku	7
260	balin55	7
260	Typadopoulos	7
268	The_Thund	6
268	Cowison	6
268	q_wq	6
268	set67	6
268	NotMeanttoChange	6
268	SellyZ	6
268	M_Patata	6
268	ooga47	6
268	EveryonesUncle	6
268	Meatlaugh	6
268	MasterNueve	6
268	Strangemonkey71	6
268	Kubeusz2010	6
268	MeetTheWollo	6
268	UrbanPlanner1978	6
268	2blox	6
284	AuroraValkyrie	5
284	Cryptacity	5
284	Aatronix1	5
284	Motsaro	5
284	SeverianTheLame	5
284	DAD_1996	5
284	Drewen24	5
284	ori0le	5
284	Barlycorn	5
284	MineMaster0012	5
284	CalebDHawk	5
284	mawileite	5
284	smogfrog	5
297	FirsTimeGamingTV	4
297	Vizzoid	4
297	Malorn_Aetherius	4
297	bloodbiter	4
