rank	username	minecraft:picked_up/minecraft:glowstone_dust
91	Skippeh	353
92	Smashic	351
93	TheBiggestFeller	345
94	4774	341
95	wwwwinnebagoooo	333
96	geekbird	326
96	diggydog67	326
98	DkansK	324
99	GravitySaint	320
100	Ajax6	318
101	xxPipperDipperxx	314
102	Merv__	313
103	TechnoNinja64	311
104	Frozil20	304
105	crying_wolf_13	303
106	MAns_44	298
107	Rumpletaezer	292
108	KeruNatsema	290
109	Soplight	288
110	gary_	286
110	AltnumberF4	286
112	Manaateee	279
113	H72l9w	278
113	fallingemma	278
113	Marbz_	278
116	Tyrannosplart	276
117	bloomkieren	275
118	LilLizardWizard	270
119	Ezekson	268
120	Matorz	267
121	groofles	265
122	Chuglyfe	262
122	Western_1	262
124	Powowowow	261
125	The11thDoctor	256
125	Lord_Jord	256
125	Racengan	256
128	cytotoxaint	255
129	00000000-0000-0000-0009-01ff0c3e5e4f	253
130	shineh10	252
130	Prismyst	252
132	q_wq	250
133	Invisie	247
134	SellyZ	246
134	Zaridey	246
134	Njensen7	246
137	Tobinator_007	245
138	ECstardust	241
139	joethahobo	237
139	Hiryu27	237
141	DepressedCubic	232
142	obzii	230
143	Nicky_H225	223
144	Arceus1975	219
144	ReflexCode	219
146	Zoeyfortnite	217
147	Ozixar	214
148	wezzzi	213
149	ItsAki_	211
149	Xclax101	211
151	MusicMe1005	207
152	T045RTY	201
152	himak1	201
152	pappaberg	201
155	SvenskaHugo	200
156	wobn	198
156	Eraxa	198
158	MattieHD	197
158	TheDiamondCG	197
158	Dakar_	197
161	emrekn	196
161	ori0le	196
163	FishisTTV	195
164	Icyyyyy	194
164	AnnieBathory	194
166	burbankbuilder28	192
167	Ssor69	191
167	Motsaro	191
169	GoofyBread	188
170	RoskobiOne	186
171	XxCookiequeenxX	182
172	Snowflowe	179
173	_Boipl_	177
174	Tiberonus	175
175	IgnoredBee	173
175	F_Uhre	173
177	Bumpy419	171
177	UrbanPlanningEx	171
179	h2p_emrld	169
180	Doom_melon	167
181	Myrlewen	165
182	fluddd	162
183	tramizu	160
184	Decaying_Lotus	158
185	censorsheep	156
186	Winston_Ingram	149
187	k_ce	148
188	LeauVox4921	144
188	Drewen24	144
188	Strangemonkey71	144
188	Rainaldus	144
192	Apollo_993	141
193	Groundler	140
193	Vorlice	140
195	anbbang	139
196	500am	135
196	SingedBread	135
198	Huic_ostiarius	134
198	MrMeisterProper	134
200	soundad	133
201	PlasticOtari	132
202	excelsionprime	131
202	Yahrto	131
204	RohnJosin	130
205	APS_Dan	128
206	madderfall	126
207	Reamdin	125
207	CharlieButt	125
207	Nyxiom_	125
210	Legendosh	123
211	Mattesco	122
212	HAruSAme14	121
213	ivorico	120
213	YahooScreen9000	120
215	TitanCrafting	119
216	bigstankyy	118
216	Kijiki	118
218	Heisenbberrg	116
218	MirielThePastor	116
220	ThePoliteG	115
220	Jiminbub	115
220	mobunni	115
223	Donutt	114
223	oscminus	114
223	The_slideV3	114
223	claivin	114
227	Deliriohm	113
228	ItzYaBoiPicard	112
228	TheSeismicDuck	112
230	yatsuta	111
231	chlorinex	110
231	JitteryJared2	110
231	Dreamdbr14	110
234	corvidpartyfor6	109
235	Factoroni	108
235	Enderxz3	108
237	SirPiccardo	107
238	Blackberry1310	106
238	whoaluv	106
238	LetsDoItLive	106
241	MineMaster0012	105
242	SkateboardR6	104
243	Rebytre	103
243	marumochis	103
245	TildaAndrea	102
245	picardred	102
247	Quotary	101
248	Malorn_Aetherius	99
249	starbits140	98
250	MoistMicrowave	97
250	Leeeegend	97
250	Soul_Atreus	97
253	PhantomsGhost_	95
254	TheMilkerOfCats	94
255	Jovaphobic	93
255	SharpDev	93
255	Btabtab	93
255	Kubeusz2010	93
259	yaboo88	92
259	rotten_mango	92
259	mihimihimihi	92
262	Zetsey	90
263	youhjjhhhjj	89
263	TJawesome09	89
263	NuttQuik	89
266	StarPlanetMoon	88
267	Avocadogerms	86
267	QueenShuvi	86
267	RedcatVII	86
270	Airem_Core	85
271	Kynigito	84
271	voiding_	84
273	_TCARREIRA_	83
274	Sleek_Storm_721	82
275	Frxnkz	81
276	jspwn	80
277	TheSecondLord	79
277	Scathra	79
277	MyNameIsJobo	79
277	lizardfightclub	79
277	Chayula	79
282	jacxhadow	78
283	Lumien_	77
283	yulgur1	77
285	Killercatty78	76
285	ratglock	76
285	Eczbox	76
285	AvaRosey	76
285	Eczbek	76
290	ebanana	75
291	SmashingPump	74
291	ITDV	74
291	Fildyr	74
294	Auseawesome	73
294	420BreadLizard	73
294	Shogunite	73
294	MakeHistory157	73
298	ItsDeltaMC	72
299	Stynxy	70
299	Kubelz	70
