rank	username	minecraft:picked_up/minecraft:end_stone
181	Fullut	119
182	AssFullaCum	117
183	Onennon	113
183	Barlycorn	113
185	JayToe	110
186	MattieHD	108
187	fluddd	102
187	ProbsNotNova	102
189	MustaLoordi	100
190	pixelviolin	98
191	Winston_Ingram	96
192	DAD_1996	89
193	TheWildMateo	86
194	ediballbearings	85
195	audiocracked	84
195	TheDumbHuman	84
197	MustardDrinker	83
198	Physics_Breaker	82
199	PortlyPete69	80
200	Groovy_MoonBird	76
200	ayqq	76
202	fw3xywashere	73
202	Frozil12	73
204	AuroraValkyrie	71
205	surfinggiraffejp	68
206	Lotheburgh	67
207	Avrelion	66
208	Xalithia	65
209	Touched_Bread	64
209	djancak	64
211	awesomeoneme	63
212	SailiXX	62
212	LilyNova	62
212	JESS_THE_RERE	62
215	1442	61
215	alderban107	61
217	fred870d	59
217	Inbefour	59
219	Euclidoris	56
219	Corbsman	56
221	WeebleSock	55
222	groofles	54
222	Zoeyfortnite	54
224	Ecplosive	52
225	oreee	51
225	HoldThatPee	51
227	_TCARREIRA_	49
228	chimpmunker	48
228	thescout7	48
230	picardred	47
230	Rebytre	47
230	binman420	47
233	Vizzoid	46
233	Dusk_95	46
235	Comma__	45
235	stuy9	45
237	vandmanden	43
238	Merv__	39
238	EveryonesUncle	39
240	ibarker21	37
240	TheSeismicDuck	37
242	ApophisNova	36
242	Jiminie	36
242	MyNamaSheff	36
245	Prodiginus	35
246	Jij0	34
247	SharpDev	33
247	platinumzero	33
249	ehunt54	32
250	Ailmast	31
251	xxPipperDipperxx	30
251	kinas45y5	30
253	tortillatitan	28
253	whoaluv	28
253	wwwwinnebagoooo	28
253	Fizznut909	28
257	loveseeker	27
257	Soplight	27
259	HiveSkins	25
260	KomputerDude	24
260	Ze_BaronKrigler	24
262	Serval2000	23
263	MOSS000	22
263	seramalen	22
263	xof_on_microwave	22
266	Syropatathe	21
266	SammiWolfGirl	21
266	Njensen7	21
269	Menthas	20
269	Swexti	20
269	redikul	20
272	nataliecool	19
272	XxCookiequeenxX	19
272	Kyrum2169	19
272	MusicMe1005	19
276	Arteriana	17
276	DTwenty	17
276	tartanboy	17
279	Lepthymo	15
279	Krimys	15
279	Sleek_Storm_721	15
279	Motsaro	15
283	Chromary	14
283	ILoveCarrot	14
285	TheALV	13
286	Bandito_Roamer	12
286	jushykins	12
286	GoigeFZ	12
286	MousePlays	12
286	_naturell	12
286	_Bguette_	12
286	jcool7	12
286	Powowowow	12
294	Da_Boss_Rani	11
294	Frxnkz	11
294	Rich_Kat	11
294	stavgod	11
298	thgrocks	10
299	Snowflowe	9
299	__tomato	9
