rank	username	minecraft:picked_up/minecraft:oak_slab
143	Dogcorn69420	128
145	Iagoku	126
146	DemTechAlpha	125
147	ProfessorDiaper	122
147	laron58	122
147	CattSoup	122
150	TeenMomTom	121
150	TJawesome09	121
150	Deathkob	121
153	Hermanni__	116
154	ApophisNova	115
154	C0oOK13M0N5T3R	115
154	SkateboardR6	115
154	MyNamaSheff	115
158	slkiey	114
158	ChocolatePepsi	114
160	Jimb0nat0r	113
161	500am	111
162	prizm_	109
163	LilLizardWizard	108
163	Aangezet	108
163	Calbo_	108
166	dopplexd	107
166	AltnumberF4	107
168	ItsHydroMC	106
168	StinkyDiplomat	106
170	Malorn_Aetherius	105
171	Skippeh	104
172	NebulousBadger	102
173	Frozil20	101
173	thewindmillman	101
175	Ravenbie	97
175	Donutt	97
175	Myntsys	97
178	ShowRegent	96
178	teslawolf38	96
180	Reneedium	95
181	Diavri	93
181	xzvu	93
183	Reamdin	91
183	Arceus1975	91
183	bruh072	91
186	Jakobo1337	90
187	The_slideV3	89
188	PhantomsGhost_	88
188	titanlax	88
188	natajimi	88
191	Eczbek	87
192	k_ce	86
192	ImpavidArcher	86
192	epiksk8erduck	86
195	burbankbuilder28	85
195	TheWildMateo	85
197	KartivGal	83
198	benediktine1	82
198	CarryLine	82
198	Soul_Atreus	82
201	Mowelan	81
201	Mattesco	81
203	Samificator	80
204	Oxygen16	79
205	NoxxxxiS	78
205	OreTheBear	78
205	Maenara	78
208	Yatitay	76
208	Ozixar	76
208	pixelviolin	76
208	Kateesaur	76
212	_Virify_	75
212	SmashingPump	75
212	jaimshae	75
215	Jovaphobic	74
215	TheMaster972	74
217	Hyugo	73
217	Shin69	73
219	Skylord_Luke	72
220	Aneurysmas	71
220	Enderxz3	71
222	Travasaur	70
222	_Huge_Male_	70
222	adeptius	70
222	WET_WET_WET	70
226	Sleek_Storm_721	69
227	censorsheep	68
228	autisticcupcake	67
228	ProbsNotNova	67
230	MinerDec	65
231	Koffeeinz	64
231	Under1	64
233	FirsTimeGamingTV	63
233	brycepants	63
235	Avrelion	62
235	fenkuu	62
235	ZoharGoldMine	62
238	Freeman666	61
238	OffWithTheirHead	61
240	TheSecondLord	60
240	SvenskaHugo	60
240	JayToe	60
243	ratglock	59
243	JoCoLi	59
245	Aatronix	58
245	Ch4osDoom64	58
245	Kubeusz2010	58
248	Stynxy	56
248	AJplaysMC_	56
250	NatalieTW	55
250	fluddd	55
250	AvaRosey	55
253	Blazebit	53
253	theofiel	53
253	NomadicRobin_	53
256	TheDiamondCG	52
256	seramalen	52
258	_Nuf	49
258	zMarciano	49
258	Zaridey	49
258	c0la_c0ca	49
258	00000000-0000-0000-0009-01ff0c3e5e4f	49
263	Archsam	47
263	2Stout	47
263	ARandomHedge	47
263	_k2x	47
263	Lunkuku	47
268	noam464	46
268	Soap_Bender	46
268	bluefragmentt	46
268	2blox_	46
272	MattieHD	45
273	excelsionprime	44
273	Nicserso	44
275	jessewegottacook	43
275	RobotMinion101	43
275	silverpopcorn	43
278	ReverendSmith	42
278	xorompole	42
280	weezygator	41
280	AnnieBathory	41
280	parodypatient	41
280	Druid95	41
284	Minimize501	40
284	RatatJuice	40
284	T045RTY	40
284	Kubelz	40
284	toj__	40
284	MissCeleste7	40
290	j5ylim	39
290	mimbo1211	39
290	_Bguette_	39
290	stellarjay	39
294	MAns_44	38
294	Smaldo	38
296	DaviusMaximoose	37
296	Airem_Core	37
296	Cocoamallows	37
296	mediumBev	37
300	ivorico	36
