rank	username	minecraft:picked_up/minecraft:glow_ink_sac
176	Groovy_MoonBird	22
176	Malware_Mara	22
176	_i_ERROR_i_	22
179	Franco093	21
179	shadowthemonkey	21
179	Lord_Zacler	21
179	_3Stump_	21
183	Mookle96	20
183	FormulaNewt3627	20
185	Di_infiri	19
185	The_Fulgurator	19
185	Iamthejo	19
188	LeauVox4921	18
188	ROY4LE	18
188	prizm_	18
188	Werbe	18
188	ScootOfBoot	18
188	MineMaster0012	18
188	coobert42	18
195	RatatJuice	17
195	NoHaHeHa	17
195	Kubelz	17
195	DadWorksForSega	17
195	2blox_	17
200	orxngejuice	16
200	SvenskaAlvar	16
200	aldplaysmc	16
200	Steve897	16
200	LeEricc	16
205	shineh10	15
205	Wowful	15
205	DarkS0L	15
205	OffWithTheirHead	15
205	SammiWolfGirl	15
210	powercas_gamer	14
210	Creativebuilder2	14
210	MoonWatcher19	14
210	DinoDoctor_	14
210	AstreaTSS	14
210	ZoomieZoomie	14
210	MissCeleste7	14
217	Crowman1	13
217	ARandomHedge	13
217	420BreadLizard	13
217	Druid95	13
217	EcksD	13
222	thebaddruid	12
222	R1CHY2K	12
222	GravitySaint	12
225	BPTY4618	11
225	SyntheticSurgeon	11
225	XboxPanda	11
225	yulgur1	11
225	Physics_Breaker	11
230	itburb	10
230	titanlax	10
230	crying_wolf_13	10
230	KGTV	10
230	0Vyp_	10
230	_Karmaa	10
230	El_Jalapeno	10
230	Nycteus_	10
230	mobunni	10
239	CharlieButt	9
239	iElijah	9
239	738b4f65-6cbd-4ead-ba31-c14211abfb06	9
239	extralargenose	9
239	CheifJumbo	9
239	_Mythic____	9
239	Sheldor097	9
239	athereall	9
239	Hermanni__	9
239	CattSoup	9
249	IronArshXS	8
249	tuckerdoodle	8
249	eitanzaki	8
249	Z3braYTIL	8
249	ZeroAbyssTTV	8
249	Tiktola01	8
249	Dakar_	8
249	Ze_BaronKrigler	8
249	Eraxa	8
249	ediballbearings	8
259	Tommhh	7
259	Harobrime	7
259	SquadMonster	7
259	JuuustYeet	7
259	Nicky_H225	7
259	Raspberry_Sodas	7
259	HoltGrim	7
259	CollinMH06	7
259	nut_e	7
259	GooseWithin	7
259	Templar_David	7
259	fluddd	7
259	PixelatedBoss	7
259	critNoxx	7
259	FadedSpade82	7
259	SpacesickPrism	7
275	OliwierPOGU	6
275	T045RTY	6
275	e_hernandez57	6
275	Chickenchaser2	6
275	nopekk	6
275	_HoneySlime_	6
275	_Dean_123	6
275	bananamix994	6
275	Kkanot	6
275	Nach0Bear	6
275	SvenskaSara	6
275	Skylord_Luke	6
275	Felenov	6
275	seramalen	6
275	Veillax135	6
275	Vegvisir	6
275	teakings	6
275	KeterComet	6
275	WigglyMustard	6
275	smogfrog	6
295	Flores991	5
295	Base_Tempest	5
295	Fullut	5
295	Krowuss	5
295	Nadhorion	5
295	bearlystraight	5
