rank	username	minecraft:picked_up/minecraft:dropper
171	SkateboardR6	4
171	Eraxa	4
171	Kijiki	4
171	__tomato	4
171	HesDemonPants	4
184	Hpdinosaur	3
184	T045RTY	3
184	Mahoose	3
184	Rich_Kat	3
184	Covalents	3
184	ARandomHedge	3
184	hanaryheatwave	3
184	Skylord_Luke	3
184	Darkgon	3
184	Druid95	3
184	voiding_	3
184	PlzNoBM	3
184	Logain42	3
184	tartanboy	3
184	Enderxz3	3
184	UrbanPlanningEx	3
184	calamariclam_I	3
201	Jovaphobic	2
201	ECstardust	2
201	Incinere	2
201	Wooptey	2
201	RebelAndroid	2
201	heckface	2
201	Prodiginus	2
201	Blackberry1310	2
201	TheThomas69	2
201	Zaridey	2
201	Purplehere	2
201	eli_tschki	2
201	Felenov	2
201	J4k__	2
201	theofiel	2
201	censorsheep	2
201	Xclax101	2
201	GravitySaint	2
201	BumbleBeever	2
201	Typadopoulos	2
201	MovingFish7	2
201	CornOnTheCobalt	2
201	SvenskaHugo	2
201	starbits140	2
201	ProbsNotNova	2
201	jcool7	2
201	hermmm_	2
201	erkada	2
201	2blox_	2
230	ItsGrayWolf	1
230	Tobinator_007	1
230	dimondking777	1
230	AuroraValkyrie	1
230	EKUG	1
230	ssleepless	1
230	tuckerdoodle	1
230	ShedJr_	1
230	rarrq	1
230	carloselpapii	1
230	Mercadies	1
230	NieToksikpl	1
230	Saucepeh	1
230	MinttyFressh	1
230	catandmoose	1
230	MattieHD	1
230	Guillemet	1
230	excelsionprime	1
230	emrekn	1
230	KGTV	1
230	eviltunix	1
230	benediktine1	1
230	prizm_	1
230	Nyxiom_	1
230	seramalen	1
230	Drewen24	1
230	HolyVenom	1
230	FreddyFart	1
230	Fuhrer_Teemo	1
230	MAns_44	1
230	Factoroni	1
230	ItsDeltaMC	1
230	FadedSpade82	1
230	Kyrum2169	1
230	_TCARREIRA_	1
230	_i_ERROR_i_	1
230	KingMatthew506	1
230	mobunni	1
230	taengoos	1
230	vandmanden	1
230	Wanjibon	1
