rank	username	minecraft:picked_up/minecraft:feather
165	RoofTyler	97
167	738b4f65-6cbd-4ead-ba31-c14211abfb06	96
168	Parcc	95
169	Alottaporn	94
169	I_Am_Mushkin	94
171	Tyrannosplart	93
172	Donutt	92
173	PhantomsGhost_	90
173	Mewar	90
175	Ilinca_Io	86
176	Kubelz	85
177	Inchef	84
177	KlausVonStiglitz	84
179	Kalwag	83
179	Covalents	83
179	IamCL4SSY	83
182	zorin123	82
183	_Nuf	81
183	layabout100	81
185	MuffinManzz	80
185	ImNotYuqii	80
185	Natty	80
188	DAD_1996	79
189	TheSecondLord	78
189	Quotary	78
191	RoskobiOne	76
191	TooManyDuck	76
191	PuFY	76
191	BlankityMcBlank	76
195	MightyWertu	74
195	h2p_emrld	74
197	Ssor69	71
197	boog4loo	71
197	gusstationwerker	71
200	baxteerr	70
200	FirsTimeGamingTV	70
200	SHAOBADMAN	70
200	MissCeleste7	70
204	F_Uhre	69
205	tartanboy	68
206	ooga47	66
206	wrinkledpiglet	66
208	fkGrim	65
209	Cassu665	64
209	Karetoko	64
209	DebbieBrunswick	64
209	DASH_X7	64
209	DamagedSin	64
209	SexcMf	64
215	Smussa	63
215	Eraxa	63
217	IAmTheWalrus910	61
218	burbankbuilder28	60
218	Kubeusz2010	60
220	MunkaKris	58
220	Paint	58
220	SpicyMeatballs	58
220	mimbo1211	58
224	faulder	57
224	Vetral1	57
224	GoofyBread	57
224	Toriankel	57
228	AlphaWolfPlaysMC	56
229	Dusk_95	55
229	OfficerAnvil	55
229	xolstoi	55
232	Warlord324	54
232	Airem_Core	54
232	laron58	54
235	RedcatVII	53
236	SaucyDark	52
236	Rich_Kat	52
236	shadowthemonkey	52
239	Kryktal	51
239	Njensen7	51
241	Groyperbuscus	50
241	Winklepicker279	50
241	Deguns123	50
244	set67	49
244	CharlieButt	49
244	TheTrueClipse	49
247	intropass	47
247	Quincannon	47
247	Shin69	47
247	MirielThePastor	47
251	CoffeeNoir	46
251	NomadicRobin_	46
251	Hisiste	46
251	Jimb0nat0r	46
255	UltimuShadow	45
255	bigstankyy	45
255	HollieDaNugget	45
255	Ravenbie	45
255	mwrty	45
255	_Tilariel_	45
261	yulgur1	44
261	DTwenty	44
261	MyNameIsDakar	44
261	jcool7	44
265	Ardennes	43
265	Kakolbus	43
265	King_Pancake1	43
265	ItsAki_	43
265	PabloGonza02	43
265	Skippeh	43
271	dudcreeper	42
271	IdeallyGrey	42
271	PortlyPete69	42
274	hm947	41
274	Zoeyfortnite	41
276	Euclidoris	40
276	AJplaysMC_	40
276	ElKaySVK	40
276	xorompole	40
280	Froste131	39
280	Maenara	39
282	abramgray	38
282	bean__salad	38
284	FazeObama69	37
284	hagridfedpik	37
286	teslawolf38	36
286	MrExplorer	36
286	Enigma0251	36
286	SeverianTheLame	36
286	Kynigito	36
286	BRRRN179	36
286	Sank34	36
286	ThisUserIsStump	36
294	gren_ben	35
294	jimintyy	35
294	bbrothers_5	35
294	Shazzyling	35
294	binman420	35
294	DarkS0L	35
300	gaziter10	34
