rank	username	minecraft:picked_up/minecraft:jungle_sapling
110	ProfessorBee	18
110	_Nuf	18
110	LeeMcGee30	18
114	H72l9w	17
114	_Hayt	17
116	Lukeee33	15
116	Notta	15
116	Kim_Jong_eel	15
116	AlphaWolfPlaysMC	15
116	HELLO_I_AM_BEAR	15
116	_Karmaa	15
122	YungJakobo	14
122	ese_wn_po	14
122	Deerfoot	14
122	Blu3beast	14
122	anbbang	14
127	loveseeker	13
127	Enderslayerxz3	13
129	Zaridey	12
130	natajimi	11
131	RoskobiOne	10
131	T045RTY	10
131	jnp_gaming	10
134	CryoInferno_	9
134	Incinere	9
134	CarbonatedCola	9
134	ThePurpleFire	9
134	KlausVonStiglitz	9
134	JESS_THE_RERE	9
134	WhyTho_1	9
134	Nagasaki_Riku	9
134	Kowcio_	9
134	Skippeh	9
134	Nicserso	9
134	coobert42	9
146	livingdaydreams	8
146	Nach0Bear	8
146	Rumpletaezer	8
146	AlexStrange	8
146	claivin	8
146	Lord_Doob	8
152	Harotio	7
152	Ryker	7
152	ShedJr_	7
152	Smashic	7
152	zemey	7
152	sp00ky_ghost977	7
152	striker90333	7
152	Hermanni__	7
152	Legendosh	7
161	Mr_Byzantine	6
161	Cats_Fly	6
161	nocturne78	6
161	thescout7	6
161	Kubelz	6
161	Dusk_95	6
161	Optiprimus	6
161	Kferno	6
169	peachfuzz1267	5
169	dudcreeper	5
169	tuckerdoodle	5
169	ZaneABrain	5
169	Awyrlas	5
169	Bazongoman	5
169	Vetral1	5
169	LilLizardWizard	5
169	Dabatha	5
169	Eraxa	5
169	Kukkelikuk	5
169	lcvezra	5
181	teslawolf38	4
181	Azorathum	4
181	KingFaenor	4
181	Nicky_H225	4
181	MattieHD	4
181	xxPipperDipperxx	4
181	benediktine1	4
181	M_Patata	4
181	CollinMH06	4
181	Jackattack53	4
181	ApophisNova	4
181	KeruNatsema	4
181	HolyVenom	4
181	TheSeismicDuck	4
181	LexMakesHistory	4
181	Lutres_Torane	4
181	babycamm	4
181	LargeCarl	4
181	MasterNueve	4
181	Quotary	4
181	MyNamaSheff	4
202	Valoth	3
202	m_be9	3
202	_Dean_123	3
202	GOOBERGABE04	3
202	Felenov	3
202	fkGrim	3
202	CookTheChef3	3
202	MovingFish7	3
210	openatheclose	2
210	CoffeeNoir	2
210	InfernalMound	2
210	jacxhadow	2
210	Scattman_	2
210	Scathra	2
210	gcaisawesome	2
210	TylerDupree	2
210	JMK208	2
210	phomic	2
210	SuperPooch06	2
210	Zythose	2
210	King_Pancake1	2
210	_Crimson_Legate	2
210	Inbefour	2
210	NameGenerat0r	2
210	MAns_44	2
210	splatterhawk	2
210	LordSpeed37	2
210	yatsuta	2
210	Chayula	2
210	mobunni	2
210	IronicUwU1	2
233	angwla	1
233	TooManyDuck	1
233	Hpdinosaur	1
233	NinjaKnifeKill	1
233	Michaelelelelele	1
233	Ssor69	1
233	FirsTimeGamingTV	1
233	rarrq	1
233	Vizzoid	1
233	bloodbiter	1
233	Fullut	1
233	set67	1
233	LotusProject	1
233	2Stout	1
233	DSYisDizzy	1
233	theonlymagikarp	1
233	LitoDelvito	1
233	ninjacat027	1
233	nitram49b	1
233	_Boipl_	1
233	moonman169	1
233	SokaOtaku	1
233	DAD_1996	1
233	Rebytre	1
233	BlossomOwO	1
233	epiksk8erduck	1
233	Jonte0599	1
233	Myhym	1
233	olmul	1
233	wateo	1
233	chipklip	1
233	Steven1282598	1
233	fluddd	1
233	NotMeowMix	1
233	monky_irl	1
233	MakeHistory157	1
233	Razzgriz	1
233	Soul_Atreus	1
233	WytchKraft	1
233	Jij0	1
233	UCP_TheKingK	1
233	__tomato	1
233	SammiWolfGirl	1
233	SunsetwolfGG	1
233	Winston_Ingram	1
233	alderban107	1
233	KASAN420	1
233	h2p_emrld	1
