rank	username	minecraft:picked_up/minecraft:iron_block
265	lizardfightclub	324
266	Alteriity	322
267	surfinggiraffejp	321
268	Physics_Breaker	320
269	MakeHistory157	319
270	IamCL4SSY	318
271	MattieHD	317
271	BronkerBrum	317
273	Bumpy419	315
274	_Huge_Male_	314
275	Froste131	312
276	Groundler	310
277	IvarEXE	309
278	chipklip	301
279	DTwenty	300
279	WyngGoy	300
279	OrewaSora	300
282	_Karmaa	299
283	RadarHz	292
284	Steve897	289
285	PlzNoBM	288
286	RoskobiOne	287
287	Cocoamallows	285
288	benediktine1	284
289	CalebDHawk	282
290	fkGrim	270
291	shadowthemonkey	263
292	Ryan_GEMS	262
293	_stets	259
294	SmashingPump	256
294	Presisor	256
296	Druid95	251
297	PegLegPete93	250
298	titanlax	248
299	BobDeBouwer1337	243
300	_TCARREIRA_	236
