rank	username	minecraft:picked_up/minecraft:lapis_lazuli
127	SammiWolfGirl	2305
128	Nicserso	2294
129	NieToksikpl	2288
130	xDzarkious	2285
131	Russiancat1	2276
132	ClemenPine	2249
133	SvenskaHugo	2245
134	eiC_	2229
135	00000000-0000-0000-0009-01ff0c3e5e4f	2210
136	trexgb	2194
137	fkGrim	2179
138	Factoroni	2167
139	Maenara	2159
140	prizm_	2118
140	ThisUserIsStump	2118
142	Malorn_Aetherius	2102
143	SpaceGrenadier	2094
144	masskedman	2082
145	lewieinnit	2064
146	sammidk	2023
147	mihimihimihi	2010
148	ougstur	2000
149	_TCARREIRA_	1999
150	claivin	1998
151	xzvu	1995
152	TooManyDuck	1989
153	Wooptey	1984
154	groofles	1971
155	Covalents	1957
156	MirielThePastor	1954
157	Dogcorn69420	1952
158	Winklepicker279	1944
159	GlitchyPlate810	1907
160	q_wq	1884
160	ZA07	1884
162	AuroraValkyrie	1872
163	lizardfightclub	1862
164	Cowison	1861
165	Soplight	1854
166	picardred	1852
167	TheSeismicDuck	1848
168	Xalithia	1843
169	Rocco_Lane	1839
170	M_Patata	1824
171	_8man	1820
172	Lutres_Torane	1817
173	Kubelz	1812
174	laron58	1809
175	selectrix	1786
176	Eczbek	1785
177	audiocracked	1783
178	SuperPooch06	1776
179	MasterNueve	1746
180	Zedducius	1744
181	Bumpy419	1739
182	eviltunix	1738
183	SeverianTheLame	1735
184	thescout7	1730
184	MightyWertu	1730
186	starbits140	1726
187	MangoTheFish	1724
187	__tomato	1724
189	ReSynced	1717
190	DarlaMeow	1710
191	_k2x	1697
192	Warlord324	1695
193	F_Uhre	1664
193	Deodorante	1664
195	NoChumpChange	1659
195	jcool7	1659
195	bladeefan2009	1659
198	xxPipperDipperxx	1653
198	NYJ	1653
200	Mr_Byzantine	1652
201	fw3xywashere	1641
202	Jiminbub	1629
203	KeruNatsema	1626
204	Tyrannosplart	1625
205	Meatlaugh	1618
206	boog4loo	1611
207	tsitrawhy	1588
208	non089	1585
209	ProfessorBee	1583
210	FirsTimeGamingTV	1582
211	jnp_gaming	1579
212	DaviusMaximoose	1570
213	Razzgriz	1567
214	noam464	1566
215	fade_emerge78823	1562
216	Jovaphobic	1559
216	bloomkieren	1559
218	Kim_Jong_eel	1555
219	burbankbuilder28	1552
220	Noah_Bez	1548
221	Wowful	1546
222	StanceTB	1544
222	AlphaWolfPlaysMC	1544
224	Hisiste	1543
225	Shogunite	1536
226	RedcatVII	1524
227	Sleepy_Time_	1516
227	jacxhadow	1516
229	teslawolf38	1510
230	SSytex_X	1509
231	Houstonion	1504
232	Barlycorn	1489
233	RefluxRatio	1485
234	BlankityMcBlank	1471
235	ShedJr_	1459
236	Comma__	1440
237	tobinwilliams	1437
238	hcb238	1420
239	Powowowow	1416
240	wwwwinnebagoooo	1413
241	SquadMonster	1408
242	RadarHz	1396
243	Groovy_MoonBird	1393
244	malgosia14	1378
245	SaintJosie	1371
246	1442	1363
247	soundad	1355
248	ssleepless	1353
249	TeenMomTom	1350
250	TheOuterCore	1347
251	Historical_Sand	1346
252	MAns_44	1334
253	BlancoFlaco	1325
254	IWorkAtIkea	1323
255	Flores991	1320
256	Blu3beast	1319
257	diggydog67	1314
258	Invisie	1309
259	Skomo	1306
260	mimbo1211	1289
261	Paint	1285
262	Jeteight	1279
263	Mahoose	1274
264	Groundler	1271
265	MustaLoordi	1269
266	Chuglyfe	1262
267	drumine	1256
268	Alteriity	1248
269	Froste131	1237
270	Hiryu27	1235
271	JayToe	1231
272	Tobinator_007	1228
273	slkiey	1222
274	bigstankyy	1218
275	lorpus	1215
275	Afinnity	1215
277	Valoth	1208
278	BobDeBouwer1337	1201
279	Megarboh	1200
279	Vorlice	1200
281	Deathkob	1195
282	fluddd	1194
283	SlayerCrypto	1185
284	Batman922	1180
285	jewbacaman	1170
286	BodaciousCake	1165
286	redikul	1165
288	gaziter10	1161
289	Drewen24	1156
290	SingedBread	1150
291	Kamflame10	1142
292	pixelviolin	1141
293	Hermanni__	1136
294	TheTommyGun63	1131
295	Eraxa	1124
296	RoofTyler	1119
297	yatsuta	1114
298	epiksk8erduck	1108
299	CollinMH06	1107
300	TheTrueClipse	1103
