rank	username	minecraft:picked_up/minecraft:cauldron
88	CalebDHawk	8
99	q_wq	7
99	Houstonion	7
99	diamondgolem35	7
99	Iagoku	7
99	Alteriity	7
99	Auseawesome	7
99	SlayerCrypto	7
99	Chromary	7
99	Werbe	7
99	yulgur1	7
99	Kowcio_	7
99	Kyrum2169	7
111	Dedalus36	6
111	hm947	6
111	PegLegPete93	6
111	xxPipperDipperxx	6
111	r123moore	6
111	Marbz_	6
111	Hoid_the_Roamer	6
111	Joestra	6
111	chipklip	6
111	JESS_THE_RERE	6
111	fluddd	6
111	Factoroni	6
111	IdeallyGrey	6
111	MineMaster0012	6
111	stahouo	6
111	Hermanni__	6
127	SaucyDark	5
127	NoHaHeHa	5
127	Cryptacity	5
127	Enigma0251	5
127	Inchef	5
127	trixterrx	5
127	Winklepicker279	5
127	DaviusMaximoose	5
127	_naturell	5
127	TheSeismicDuck	5
127	Meatlaugh	5
127	microcrisp	5
127	PortlyPete69	5
127	KingMatthew506	5
127	Nicserso	5
142	SugarMyNuggets	4
142	Cowison	4
142	MSK__	4
142	joethahobo	4
142	_Dean_123	4
142	ROY4LE	4
142	mariominejedi	4
142	Lutres_Torane	4
142	iHuntWeeaboos	4
142	MakeHistory157	4
142	Decaying_Lotus	4
142	starbits140	4
142	__tomato	4
142	GlitchyPlate810	4
142	obzii	4
142	jcool7	4
142	mawileite	4
142	diggydog67	4
160	Jovaphobic	3
160	teslawolf38	3
160	6king6colt6	3
160	Natty	3
160	Blackberry1310	3
160	YungJakobo	3
160	Kamflame10	3
160	UncreativeArtist	3
160	mwrty	3
160	egglapras	3
160	pappaberg	3
160	Leyna3	3
160	audiocracked	3
160	Frozil12	3
160	Blaiku	3
160	Airem_Core	3
160	lordpipe	3
160	WyngGoy	3
160	Segotep999	3
160	Spenduh	3
160	Steelynan	3
160	Lowjinx	3
160	2blox	3
160	TechnoNinja64	3
184	MunkaKris	2
184	Mr_Byzantine	2
184	fanofbands101	2
184	dimondking777	2
184	soundad	2
184	I_Am_Mushkin	2
184	bigstankyy	2
184	Frozt99	2
184	AlazelTheReal	2
184	ccormacs	2
184	FirsTimeGamingTV	2
184	Frxnkz	2
184	MrExplorer	2
184	Ardennes	2
184	ProfessorBee	2
184	Guillemet	2
184	corvidpartyfor6	2
184	himak1	2
184	SpicyMeatballs	2
184	Kubelz	2
184	HoltGrim	2
184	fallingemma	2
184	toj__	2
184	Zythose	2
184	burbankbuilder28	2
184	Fast_Turtle	2
184	ApophisNova	2
184	fred870d	2
184	Moofyman	2
184	PigDab	2
184	fxiryglitch	2
184	xo_Marren_xo	2
184	RodSerlingCringe	2
184	Russiancat1	2
184	fkGrim	2
184	KlausVonStiglitz	2
184	LexMakesHistory	2
184	balin55	2
184	_Karmaa	2
184	claivin	2
184	EfficientC52	2
184	NotMeowMix	2
184	MovingFish7	2
184	Ze_BaronKrigler	2
184	erkada	2
184	mobunni	2
184	Miko_Fullbuster	2
184	EcksD	2
184	cichy096	2
184	MyNamaSheff	2
184	mountaingirl311	2
184	JasmineGK	2
184	FishisTTV	2
184	00000000-0000-0000-0009-01ff0c3e5e4f	2
238	Gary_	1
238	Louiis123	1
238	Batoser	1
238	weezygator	1
238	Bandito_Roamer	1
238	PhantomsGhost_	1
238	TildaAndrea	1
238	itburb	1
238	JingleLizi	1
238	TooManyDuck	1
238	dongli	1
238	RebelAndroid	1
238	Ryker	1
238	Huwulling	1
238	Rox_The_Box	1
238	awesomeoneme	1
238	Myszoaz	1
238	fr0stss	1
238	Da_Boss_Rani	1
238	Sleepy_Time_	1
238	elmer1234	1
238	Dakota100	1
238	Whiterooster001	1
238	rarrq	1
238	LoboTheLobster	1
238	Upstro10	1
238	NieToksikpl	1
238	TheThomas69	1
238	pr33tu	1
238	Tmb1	1
238	Mariopreeet	1
238	DermeinUser	1
238	TheDankPlatypus	1
238	M_Patata	1
238	TableTim	1
238	Zaridey	1
238	RustyKedel	1
238	breadbowlgamer	1
238	CaptainSteve345	1
238	Windo_licker	1
238	gabriels543	1
238	MyNameIsJobo	1
238	MaGro2010	1
238	Hiryu27	1
238	ooga47	1
238	seramalen	1
238	CruncyIsTaken	1
238	epiksk8erduck	1
238	BRRRN179	1
238	AlexxO_o	1
238	KeruNatsema	1
238	thgrocks	1
238	NormanFetus	1
238	Maenara	1
238	420BreadLizard	1
238	gustarbite	1
238	Fuhrer_Teemo	1
238	MinuteMira	1
238	PartyPhoenix	1
238	Shoutur1	1
238	The_slideV3	1
238	DanTheBuilderino	1
238	MAns_44	1
