rank	username	minecraft:picked_up/minecraft:wet_sponge
116	CollinMH06	187
117	catandmoose	186
118	1442	183
119	Zaridey	182
120	Merv__	179
120	Powowowow	179
122	TheDankPlatypus	173
123	NinjaKnifeKill	172
123	FelixPSY375	172
125	Onennon	171
126	Mahoose	168
127	Iamthejo	164
128	ApophisNova	160
128	tsitrawhy	160
128	MyNamaSheff	160
131	yatsuta	151
132	Deodorante	150
133	Krowuss	147
134	Eraxa	138
134	djancak	138
136	ConnorDanky_	137
137	The_slideV3	136
138	FreakGenius	131
139	__tomato	129
140	Boipl	126
141	Da_Boss_Rani	123
141	fffMike	123
141	jnp_gaming	123
144	Inchef	118
144	TechnoNinja64	118
146	Jimb0nat0r	115
147	Spenduh	111
148	ECstardust	108
148	mwrty	108
150	Huwulling	107
151	Cryptacity	96
152	Flapjacker687	95
153	excelsionprime	94
154	sandmire	92
155	DarlaMeow	87
156	crashomon	81
157	Blackberry1310	78
158	BartekB19	77
158	jcool7	77
160	xxPipperDipperxx	73
161	2Stout	71
161	SvenskaHugo	71
163	6king6colt6	70
163	monky_irl	70
165	PazinGaming	69
165	bigstankyy	69
165	Winklepicker279	69
168	Creativebuilder2	67
169	Incinere	66
170	paranoid_plant	65
171	Malorn_Aetherius	59
171	fragrantmonke444	59
171	Skomo	59
171	Hahaa_0	59
175	iSammael	58
176	F_Uhre	57
177	Kynigito	55
178	NatalieTW	53
178	ssleepless	53
178	CalebDHawk	53
181	_Karmaa	52
182	Nicky_H225	50
183	MinttyFressh	49
184	Akoot_	47
185	j5ylim	45
186	shadowthemonkey	44
186	Skylord_Luke	44
186	Mr_Froxy	44
186	_TCARREIRA_	44
190	CLG_Kata	42
191	Fizznut909	40
192	Sral7	39
193	Groovy_MoonBird	38
193	WET_WET_WET	38
195	SmashingPump	37
195	I_Am_Mushkin	37
195	hm947	37
195	Vensterbankje	37
199	Touched_Bread	36
199	whoaluv	36
199	SingedBread	36
202	Hetti301	35
202	Gus2005	35
202	voiding_	35
205	Racengan	33
206	livingdaydreams	31
206	akap47	31
206	robotemo	31
206	Kyrum2169	31
206	Kijiki	31
206	BeardBois	31
212	Bandito_Roamer	28
213	nstuartwilliams1	26
213	Steelynan	26
215	Factoroni	25
216	XboxPanda	24
217	LittleBug562	23
217	fkGrim	23
219	ARandomHedge	22
220	DarkDescent2392	21
220	emrekn	21
222	MrKrabOnCoke	19
222	surfinggiraffejp	19
222	Rocco_Lane	19
225	Notta	18
225	Guillemet	18
225	legal_tax_evader	18
225	stavgod	18
229	DarkS0L	17
230	RebelAndroid	16
230	Shogunite	16
232	Historical_Sand	12
232	True_Clipse	12
234	QuiCreans	11
234	EveryonesUncle	11
236	Russiancat1	10
237	_Virify_	9
237	Tyrannosplart	9
237	Njensen7	9
240	pixelviolin	8
241	MSK__	7
241	Presisor	7
241	kekhon	7
244	corvidpartyfor6	6
244	olliebollie48	6
244	TheBananaKat	6
244	Nicserso	6
248	SaucyDark	5
248	Soplight	5
250	Secret_Canary	4
250	seramalen	4
250	Warlord324	4
250	Druid95	4
250	miramyu	4
250	JayToe	4
256	Paradoxion	3
256	oreee	3
256	titanlax	3
256	ratglock	3
256	Tiberonus	3
256	Rasmanden	3
256	Wowful	3
256	emreknugrlu	3
256	MakeHistory157	3
256	HesDemonPants	3
266	elicobnoah	2
266	_Razaria	2
266	Tersea_	2
266	Saucepeh	2
266	Scathra	2
266	lorpus	2
266	TheSeismicDuck	2
266	NYJ	2
266	ReflexCode	2
266	Xclax101	2
266	fluddd	2
266	the__Reaper4999	2
266	Vorlice	2
266	LordSpeed37	2
266	KingMatthew506	2
266	Eczbek	2
266	elliebelle107	2
266	PlasticOtari	2
284	dimondking777	1
284	myaccountwasgone	1
284	TooManyDuck	1
284	jimintyy	1
284	ZaneABrain	1
284	redikul	1
284	thescout7	1
284	intropass	1
284	Karetoko	1
284	Zythose	1
284	JitteryJared2	1
284	Eczbox	1
284	OreTheBear	1
284	Kouridragon	1
284	Jonte0599	1
284	J4k__	1
284	aec9	1
