rank	username	minecraft:picked_up/minecraft:white_dye
140	00000000-0000-0000-0009-01ff0c3e5e4f	20
144	_naturell	19
145	Tobinator_007	18
145	Ssor69	18
145	NotMeanttoChange	18
145	Inbefour	18
145	stellarjay	18
150	GoofyBread	17
150	stavgod	17
152	dabloons	16
152	m_be9	16
152	lillips	16
155	Mr_Byzantine	14
155	Da_Boss_Rani	14
155	Ozixar	14
155	yaboo88	14
155	Onennon	14
155	MyNameIsDakar	14
161	Tommhh	13
161	Dr0xzy	13
163	TildaAndrea	11
163	eviltunix	11
163	BlueZabu	11
163	Skomo	11
163	Cocoamallows	11
168	Slapface522	10
169	seramalen	9
169	NomadicRobin_	9
169	EfficientC52	9
169	UCP_TheKingK	9
169	smogfrog	9
174	Menthas	8
174	Kuragari_	8
174	Swexti	8
174	Enigma0251	8
174	paranoid_plant	8
174	FishyBoy3811	8
174	DarlaMeow	8
174	the__Reaper4999	8
174	djancak	8
183	CoffeeNoir	7
183	Smashic	7
183	Kynigito	7
183	PuFY	7
183	CalebDHawk	7
183	Eczbek	7
183	Skippeh	7
190	squigglybones	6
190	6king6colt6	6
190	ratglock	6
190	Racengan	6
190	starbits140	6
190	JayToe	6
196	Doom_melon	5
196	Rumpletaezer	5
196	BumbleBeever	5
196	TechnoNinja64	5
200	Huwulling	4
200	GLLogan2	4
200	M_Patata	4
200	PigDab	4
200	MasterNueve	4
200	teakings	4
200	NebulousBadger	4
207	teslawolf38	3
207	Diavri	3
207	NoxxxxiS	3
207	fr_ser	3
207	MonitorLizards	3
207	Karbl	3
207	E775	3
207	monky_irl	3
207	Ze_BaronKrigler	3
207	Nekomin0	3
207	xorompole	3
218	Jovaphobic	2
218	Hpdinosaur	2
218	ProfessorBee	2
218	Awyrlas	2
218	2Stout	2
218	Skylord_Luke	2
218	XeroByMyth	2
218	TheFireTurtle	2
218	Jiminie	2
218	CuzIm2Kev	2
218	proxivitoid	2
218	Groundler	2
218	IdeallyGrey	2
218	__tomato	2
218	lcvezra	2
233	Crowvens	1
233	Yatitay	1
233	Ryker	1
233	Natty	1
233	yx80	1
233	Euclidoris	1
233	Sparky_KT	1
233	roxycherry	1
233	bloodbiter	1
233	Megarboh	1
233	Fullut	1
233	redikul	1
233	Windo_licker	1
233	gabriels543	1
233	burbankbuilder28	1
233	MangoTheFish	1
233	HAIRYCLOUD626	1
233	ooga47	1
233	thgrocks	1
233	masskedman	1
233	GravitySaint	1
233	MovingFish7	1
233	Airem_Core	1
233	Dusk_95	1
233	CheifJumbo	1
233	Optiprimus	1
233	alderban107	1
233	Zoeyfortnite	1
