rank	username	minecraft:picked_up/minecraft:stone_button
107	pixelviolin	36
109	Xclax101	35
110	xxPipperDipperxx	34
110	SuperPooch06	34
110	fluddd	34
113	Enderslayerxz3	33
114	Sparky_KT	29
114	ooga47	29
116	RoskobiOne	28
116	Malorn_Aetherius	28
118	Merv__	26
118	KarlKaek	26
118	hm947	26
118	XboxPanda	26
118	PigDab	26
123	youhjjhhhjj	25
123	awesomeoneme	25
123	Inchef	25
123	Rumpletaezer	25
123	wobn	25
123	BumbleBeever	25
123	Dusk_95	25
130	MyNameIsJobo	23
130	HesDemonPants	23
132	TheDankPlatypus	22
132	Winklepicker279	22
132	Sky_light_KING	22
135	IdeallyGrey	21
135	BlankityMcBlank	21
137	Swexti	20
137	Rich_Kat	20
137	SokaOtaku	20
137	The_slideV3	20
137	Fildyr	20
137	oxfordschool	20
143	Bandito_Roamer	19
144	oreee	18
144	lcvezra	18
146	6king6colt6	17
146	MattieHD	17
146	eviltunix	17
146	hcb238	17
146	RefluxRatio	17
146	AlexxO_o	17
146	__tomato	17
146	stellarjay	17
154	teslawolf38	16
154	Nicky_H225	16
154	Onennon	16
154	wezzzi	16
154	Fuhrer_Teemo	16
154	layabout100	16
154	fffMike	16
161	Zythose	15
162	MinttyFressh	14
162	_Bguette_	14
162	SkateboardR6	14
162	Hisiste	14
162	SvenskaHugo	14
162	stahouo	14
162	SammiWolfGirl	14
162	jnp_gaming	14
170	Incinere	13
170	Alteriity	13
170	BobDeBouwer1337	13
170	seramalen	13
170	KnightmareD	13
170	fkGrim	13
170	Jiminie	13
170	ProbsNotNova	13
170	Teebone15	13
179	I_Am_Mushkin	12
179	H72l9w	12
179	Ssor69	12
179	NotKaden_	12
179	CrateOfBoxes	12
179	Bumpy419	12
179	Jimi7hits	12
179	Soap_Bender	12
179	Conrad139	12
188	Menthas	11
188	ssleepless	11
188	Marbz_	11
188	chipklip	11
188	_Karmaa	11
188	KG1999	11
188	UCP_TheKingK	11
188	tartanboy	11
196	Sleek_Storm_721	10
196	Comma__	10
196	12Magner05	10
196	_Dean_123	10
196	CharlieButt	10
196	CalebDHawk	10
196	Zoeyfortnite	10
203	Jovaphobic	9
203	fr_ser	9
203	Hiryu27	9
203	epiksk8erduck	9
203	FelixPSY375	9
208	Covalents	8
208	SeverianTheLame	8
208	BronkerBrum	8
208	Kouridragon	8
208	valkam13	8
208	Lord_Zacler	8
208	lillips	8
208	MakeHistory157	8
208	Quotary	8
217	dimondking777	7
217	soundad	7
217	fr0stss	7
217	heckface	7
217	crying_wolf_13	7
217	DermeinUser	7
217	Hoid_the_Roamer	7
217	ese_wn_po	7
217	godipose	7
217	Cyntrical	7
217	Luigipunch989	7
228	Natty	6
228	ABUSNA1996	6
228	zorin123	6
228	himak1	6
228	KGTV	6
228	Aangezet	6
228	ILoveCarrot	6
228	DemTechAlpha	6
228	Typadopoulos	6
228	Ze_BaronKrigler	6
228	starbits140	6
228	brofrickcheaters	6
240	ItsColin11	5
240	q_wq	5
240	KingFaenor	5
240	ewsophie	5
240	TheThomas69	5
240	Smashic	5
240	Mewar	5
240	Stiar	5
240	CaptainSteve345	5
240	Doom_melon	5
240	AnnieBathory	5
240	MangoTheFish	5
240	KeruNatsema	5
240	Leyna3	5
240	TheSeismicDuck	5
240	Nycteus_	5
240	Lord_Doob	5
240	Spenduh	5
240	Dreamdbr14	5
240	Winston_Ingram	5
240	Skippeh	5
240	2blox	5
262	seanitoo	4
262	heysushii	4
262	Ailmast	4
262	ivorico	4
262	Cryptacity	4
262	_Nuf	4
262	Scathra	4
262	Paintz	4
262	gabriels543	4
262	AJplaysMC_	4
262	Rebytre	4
262	CruncyIsTaken	4
262	HyperCave	4
262	wrinkledpiglet	4
262	Project_MKBRD	4
262	sxc_	4
262	KliBeast21	4
262	Meatlaugh	4
262	_ritter	4
262	Th6masss	4
262	Warlord324	4
262	pk1297	4
262	UltraZombie	4
262	Nargotah	4
262	MilleGrug	4
262	Kubeusz2010	4
262	MeetTheWollo	4
262	kinas45y5	4
262	The_SlideV5	4
291	Mr_Byzantine	3
291	dabloons	3
291	Drlzyy	3
291	Nesquiczek	3
291	RebelAndroid	3
291	Octatrack	3
291	jiggywraps	3
291	Ardennes	3
291	andy_rex	3
291	_Boipl_	3
