rank	username	minecraft:picked_up/minecraft:basalt
93	CalebDHawk	1142
94	excelsionprime	1107
94	ReSynced	1107
96	BPTY4618	1103
97	RoskobiOne	1093
98	r123moore	1091
99	BadenStayFly	1069
100	Steelynan	1038
101	sp00ky_ghost977	1037
102	set67	1032
103	RebytreGT	1027
104	Galactic_Badger	1025
105	ImpavidArcher	1017
106	m_be9	1011
106	pixelviolin	1011
108	Frigzy_	1001
109	NinjaKnifeKill	983
110	MSK__	978
111	MAns_44	943
111	obzii	943
113	PuFY	940
114	_Mythic____	935
115	StinkyDiplomat	916
116	LagVibes	914
117	Luigipunch989	912
118	noodlepack	892
119	nstuartwilliams1	888
120	chipklip	884
120	lorywithay	884
122	bl1ss0	865
123	Moofyman	847
124	crashomon	843
125	Jackattack53	842
126	T045RTY	817
127	emreknugrlu	816
128	GravitySaint	792
129	Lutres_	784
130	taengoos	781
131	F_Uhre	742
132	DarlaMeow	741
133	AstreaTSS	733
134	ROY4LE	731
135	HellsSponge	726
136	pretty_pink_reno	722
137	Erased_Identity	706
138	CliffEmAll	701
139	Jonafrog99	700
140	fragrantmonke444	690
141	Mattesco	685
142	Manaateee	684
143	ShedJr_	678
144	MinttyFressh	676
145	KliBeast21	672
146	PegLegPete93	664
147	shadowthemonkey	661
148	Hahaa_0	642
149	Samificator	640
150	KeruNatsema	638
151	FelixPSY375	625
152	00000000-0000-0000-0009-01ff0c3e5e4f	622
153	xPixelRainx	605
154	QuiCreans	602
155	TheEnderMan548	601
156	Iamthejo	600
157	AuroraValkyrie	590
158	AltnumberF4	579
159	_Huge_Male_	568
160	Myrlewen	564
161	SammiWolfGirl	562
162	athereall	552
163	ccwildfire1	546
164	Lez_	538
165	prizm_	534
166	theonlymagikarp	533
167	77Holly7	531
168	Dakar_	528
169	Zee_zey	526
170	The_Fulgurator	512
171	blackeemperor	510
172	Niklas20114552	503
173	skroobiez	502
174	FishyBoy3811	497
175	UltraZombie	492
176	zToasty69z	490
177	Akoot_	472
178	NieToksikpl	457
179	_Dean_123	455
180	PortlyPete69	454
181	Apollo_993	446
182	FiguraDei	443
183	XxCookiequeenxX	437
184	gustarlep	436
185	Historical_Sand	423
186	IgnoredBee	410
187	Heisenbberrg	409
188	NameGenerat0r	406
189	Huwulling	405
190	Z3braYTIL	402
191	_i_ERROR_i_	398
192	_Razaria	396
193	q_wq	395
193	Sleek_Storm_721	395
195	mimbo1211	394
196	fw3xy74	390
197	JitteryJared2	387
198	Tiberonus	386
199	Cellcorgi649	383
200	PhantomsGhost_	379
201	ChronoSounds	378
202	Ze_BaronKrigler	377
203	Njensen7	375
204	Toriankel	369
204	FishisTTV	369
206	calamariclam_I	364
207	Awyrlas	362
207	Pumpkin_P_Patch	362
209	6king6colt6	355
210	drunkeeez	350
210	Decaying_Lotus	350
212	trexgb	347
213	Lord_Jord	337
213	Spenduh	337
215	ConnorDanky_	336
216	hdtpm	329
217	Shogunite	325
217	TheWickedBird	325
219	teslawolf38	324
220	Windo_licker	319
221	lorpus	317
222	catandmoose	306
222	AlexxO_o	306
224	diggydog67	305
225	imcombxt	303
226	HolyVenom	297
227	striker90333	290
228	Shortest_Man	286
229	H0UNDFRMH3LL	284
230	pumpfonzo	278
231	EdGalbraith	275
232	Maenara	274
233	tortillatitan	270
234	_Z3RIX_	269
234	ooga47	269
236	CollinMH06	268
237	NATE_the_HALO	267
238	Kamflame	265
239	Quotary	263
240	chimpmunker	260
241	fffMike	257
242	XboxPanda	256
243	hm947	255
244	Sleepy_Evelyn	252
245	fluddd	251
246	whoaluv	249
247	Smashic	248
248	AuroraSkies	247
249	Lumien_	244
250	trixterrx	240
251	groofles	238
252	iSammael	236
253	bee_gorl	231
254	jnp_gaming	230
255	Da_Boss_Rani	223
256	Jindong	222
257	KarlKaek	220
258	Razzgriz	217
259	Jordan_R	211
260	Hetti301	207
261	M_Patata	206
262	kalzor	205
263	KartivGal	203
263	MasterNueve	203
265	Eraza	202
266	PazinGaming	198
267	SirBreadward	196
268	__TheNorseMan__	194
269	Skippeh	193
270	Secret_Canary	192
271	fxiryglitch	190
272	MrShojo	187
273	teqilas	185
274	Rocco_Lane	184
274	Strangemonkey71	184
276	CarltheCuck	171
276	Vorlice	171
278	DanTheBuilderino	168
279	masskedman	167
280	TheImperial	166
281	Chromary	165
282	Juansinmiedo18	163
282	IvarEXE	163
284	SquadMonster	155
285	soundad	154
286	Gzrdy	152
286	Buuck_	152
288	Kekoo	144
289	GooseWithin	143
290	breadbowlgamer	140
291	MustardSquid	139
291	Eczbek	139
293	Vryistal	138
294	orxngejuice	132
294	remmisrat	132
296	Ryker	131
297	SteveCraftBlocks	128
298	Nicky_H225	125
299	titanlax	120
299	WYFYoyo	120
