rank	username	minecraft:picked_up/minecraft:dark_oak_trapdoor
234	Rumpletaezer	12
234	Drewen24	12
234	Egom_musk	12
234	calamariclam_I	12
241	I_Am_Mushkin	11
241	titanlax	11
241	Touched_Bread	11
241	thebaddruid	11
241	TheKingK_	11
246	robertsnose	10
246	purpolepickle	10
246	GravitySaint	10
246	KingMatthew506	10
246	trexgb	10
246	TheWickedBird	10
252	McCakeAh	9
252	yuuxxii	9
252	Armattillo	9
252	nagyvad	9
252	Chayula	9
252	CACTUSLAD	9
252	SammiWolfGirl	9
252	JasmineGK	9
260	dopplexd	8
260	SteveCraftBlocks	8
260	hijeatsdirt	8
260	Inchef	8
260	prizm_	8
260	yheece	8
260	Felenov	8
260	Cruncy_	8
260	Waffleman258	8
260	Sral7	8
270	LittleBug562	7
270	SellyZ	7
270	U_Mos_	7
270	Truckoss	7
270	EdGalbraith	7
270	Quaintster	7
276	ProbablyNick	6
276	_stets	6
276	Killercatty78	6
276	RebelAndroid	6
276	FirsTimeGamingTV	6
276	heckface	6
276	jushykins	6
276	catandmoose	6
276	poopybh	6
276	_Dean_123	6
276	Mookle96	6
276	NoxxxxiS	6
276	Paintz	6
276	Karetoko	6
276	ImDisconnected_	6
276	seramalen	6
276	thgrocks	6
276	DarkS0L	6
276	Shogunite	6
276	StinkyDiplomat	6
276	LazySupport00	6
276	SkateboardR6	6
276	Ozztopus	6
276	TheBananaKat	6
300	SteadyFeather77	5
