rank	username	minecraft:picked_up/minecraft:black_wool
203	nocturne78	30
203	TheWildMateo	30
205	sp00ky_ghost977	29
205	pixelviolin	29
207	AtlanticRobin	27
207	Mookle96	27
207	NomadicRobin_	27
210	SuperPooch06	26
210	Reneedium	26
210	IamCL4SSY	26
213	StinkyDiplomat	25
214	xzvu	24
215	squigglybones	23
215	drunkeeez	23
215	Jackattack53	23
215	SolarKar	23
215	KeruNatsema	23
220	Jahara	22
220	AdvertisingMerc	22
220	Maenara	22
220	shrimp_flips	22
224	legal_tax_evader	21
225	openatheclose	20
225	hanaryheatwave	20
227	Marbz_	19
228	OreTheBear	18
228	Hahaa_0	18
228	MakeHistory157	18
228	trexgb	18
232	Tiberonus	17
232	Fullut	17
234	hm947	16
234	CoffeeNoir	16
236	RohnJosin	15
236	Meatlaugh	15
238	RebelAndroid	14
238	ApophisNova	14
238	Syropatathe	14
238	Kura2218	14
238	MyNamaSheff	14
243	Tjhodskins19	13
244	NatalieTW	12
244	Big_Bad_Will	12
244	MrExplorer	12
244	Barlycorn	12
248	livingdaydreams	11
248	Reamdin	11
248	Kakolbus	11
248	Boipl	11
248	yulgur1	11
248	MinuteMira	11
248	IdeallyGrey	11
248	Luigipunch989	11
248	MisfitsMike	11
257	teslawolf38	10
257	SyntheticSurgeon	10
257	tsohomie	10
257	intropass	10
257	ZeroAbyssTTV	10
257	Winklepicker279	10
257	Druid95	10
264	hollowww	9
264	picardred	9
264	Tersea_	9
264	12Magner05	9
264	CollinMH06	9
264	Warlord324	9
264	djancak	9
264	Juh1s	9
272	UncleDanDan	8
272	HolyVenom	8
272	Fuad_R	8
272	Shogunite	8
272	AssFullaCum	8
272	robonya_	8
272	Kubeusz2010	8
279	Vlorox	7
279	Caribouse	7
279	SteveCraftBlocks	7
279	_witch_craft_	7
279	Inchef	7
279	M_Patata	7
279	GildedRemnant	7
279	Voxin2K	7
279	F_Uhre	7
279	Ender_Souls	7
279	natajimi	7
279	Quincannon	7
279	LordAurum	7
279	MasterNueve	7
279	ReyTheLegend	7
279	vandmanden	7
295	RosaDoesMC	6
295	CLG_Kata	6
295	BlancoFlaco	6
295	Killercatty78	6
295	TheDiamondCG	6
295	minersam1	6
