rank	username	minecraft:picked_up/minecraft:cooked_mutton
255	TheWildMateo	14
255	zToasty69z	14
255	GooseWithin	14
255	TruestTurnip	14
264	SaphLaseer	13
264	Reamdin	13
264	Ssor69	13
264	FirsTimeGamingTV	13
264	Covalents	13
264	knock369	13
264	ImDisconnected_	13
264	longappendage	13
264	Snowflowe	13
264	CuzIm2Kev	13
264	Hisiste	13
264	CheifJumbo	13
264	starbits140	13
264	SammiWolfGirl	13
264	Sheldor097	13
279	Jovaphobic	12
279	Mr_Anders	12
279	DiscardedCE	12
279	lotarp	12
279	corvidpartyfor6	12
279	Scathra	12
279	Bak3dPotater	12
279	SaintJosie	12
279	bpmm	12
279	Bloo2406	12
279	FadedSpade82	12
279	Kyrum2169	12
279	UltraZombie	12
279	Rainaldus	12
279	mobunni	12
294	tsohomie	11
294	Lez_	11
294	Miroryk	11
294	DarkFisto	11
294	Awyrlas	11
294	Mandroch	11
294	DantePersson	11
