rank	username	minecraft:picked_up/minecraft:cod
228	UncreativeArtist	76
228	El_Jalapeno	76
228	Soul_Atreus	76
228	smogfrogg	76
234	Nicky_H225	75
235	fffMike	73
236	Soplight	72
237	ApophisNova	71
237	MyNamaSheff	71
239	Julmish	70
239	mawileite	70
241	Lukeee33	69
241	blackeemperor	69
243	2Stout	68
244	RobotMinion101	67
244	KingMatthew506	67
246	FirsTimeGamingTV	66
246	Hahaa_0	66
248	Sleepy_Time_	65
248	redikul	65
248	mimbo1211	65
248	AvaRosey	65
252	prelutrinae	64
252	ptweezy	64
252	MeanTugger	64
252	_AAZAR	64
252	TheSandwhich_	64
257	Sleek_Storm_721	63
257	monky_irl	63
259	EKUG	62
260	SkateboardR6	61
261	YungWali	60
262	Batman922	59
262	ese_wn_po	59
262	Kubeusz2010	59
265	Furiuosbeast0404	58
266	whoaluv	56
267	EMC_	55
267	GingerNeutron	55
267	hanaryheatwave	55
267	Boipl	55
271	DepressedCubic	54
271	Toiton	54
271	PlzNoBM	54
274	Caribouse	53
274	Huwulling	53
276	titanlax	52
276	Barlycorn	52
276	stellarjay	52
279	Ozixar	51
279	firesgal3116	51
279	AlexxO_o	51
279	Druid95	51
283	emrekn	48
283	AnnieBathory	48
283	ComplexSquirrel	48
286	Rasmanden	47
287	PaperCanvas	46
288	seanitoo	43
288	DinoDoctor_	43
288	SHAOBADMAN	43
288	RustyKedel	43
288	mountaingirl311	43
293	GiantPoop100	42
293	Zerosene	42
293	Onennon	42
296	Dogcorn69420	41
297	bsalt	39
297	Jij0	39
297	Zetsey	39
300	hermmm_	38
