rank	username	minecraft:picked_up/minecraft:golden_sword
147	ImDisconnected_	5
147	Rumpletaezer	5
147	Rebytre	5
147	The11thDoctor	5
147	Mattesco	5
147	Racengan	5
147	_Meow_Mix	5
147	SUN_DREAM	5
147	MilleGrug	5
147	alderban107	5
147	ConnorDanky_	5
147	Sral7	5
167	Ninzyyy	4
167	KarlKaek	4
167	livingdaydreams	4
167	MoistMicrowave	4
167	NinjaKnifeKill	4
167	YairZaki	4
167	m_be9	4
167	_Dean_123	4
167	Lor1113	4
167	MustardDrinker	4
167	Werbe	4
167	AlphaWolfPlaysMC	4
167	Meepcraft	4
167	XxCookiequeenxX	4
167	luseis	4
167	LexMakesHistory	4
167	El_Jalapeno	4
167	Toriankel	4
167	Druid95	4
167	WyngGoy	4
167	lcvezra	4
167	PortlyPete69	4
167	Njensen7	4
167	Steelynan	4
167	Physics_Breaker	4
167	UrbanPlanningEx	4
193	k_ce	3
193	ECstardust	3
193	Ilinca_Io	3
193	I_Am_Mushkin	3
193	Creativebuilder2	3
193	Ryan_GEMS	3
193	RatatJuice	3
193	Incinere	3
193	Franco093	3
193	youhjjhhhjj	3
193	Euclidoris	3
193	dopplexd	3
193	ThePoliteG	3
193	DarkDescent2392	3
193	Guillemet	3
193	500am	3
193	Smashic	3
193	UncreativeArtist	3
193	WET_WET_WET	3
193	ApophisNova	3
193	Leyna3	3
193	Elastiq	3
193	Inbefour	3
193	NoChumpChange	3
193	fkGrim	3
193	Lutres_	3
193	GoofyBread	3
193	DarlaMeow	3
193	NameGenerat0r	3
193	ATurtle4936	3
193	Blu3beast	3
193	Nycteus_	3
193	fluddd	3
193	SvenskaHugo	3
193	MineMaster0012	3
193	djancak	3
193	TheBananaKat	3
193	Skippeh	3
193	cichy096	3
193	RadarHz	3
193	BreadBacon	3
193	MyNamaSheff	3
193	Jordan_R	3
193	trexgb	3
237	Jovaphobic	2
237	NatalieTW	2
237	dudcreeper	2
237	PazinGaming	2
237	teslawolf38	2
237	AshleeCW	2
237	ImNotYuqii	2
237	bigstankyy	2
237	Zippyzam	2
237	Alteriity	2
237	CoffeeNoir	2
237	_AceOfSpace_	2
237	jessewegottacook	2
237	Da_Boss_Rani	2
237	featherflyy	2
237	jushykins	2
237	firesgal3116	2
237	ABUSNA1996	2
237	isak_oskar	2
237	paranoid_plant	2
237	DermeinUser	2
237	Aneurysmas	2
237	_8man	2
237	_Boipl_	2
237	pappaberg	2
237	The_Fulgurator	2
237	The_Cruncy	2
237	Truckoss	2
237	FishyBoy3811	2
237	kubinek69	2
237	420BreadLizard	2
237	EveryonesUncle	2
237	Tyrannosplart	2
237	KermitTheKripple	2
237	Fuad_R	2
237	Shogunite	2
237	Lekol	2
237	StinkyDiplomat	2
237	MAns_44	2
237	censorsheep	2
237	SingedBread	2
237	MS_Pryxx	2
237	DarkLawD	2
237	THEKINGLyric10	2
237	Aezekial	2
237	lordpipe	2
237	monky_irl	2
237	_Ruzeeq_	2
237	TheDumbHuman	2
237	dagudagu4	2
237	OG_Songsee	2
237	Chaotic1s	2
237	Soul_Atreus	2
237	brofrickcheaters	2
237	SammiWolfGirl	2
237	_TCARREIRA_	2
237	_i_ERROR_i_	2
237	UltraZombie	2
237	TheALV	2
237	laron58	2
237	Iamthejo	2
237	little_dUki	2
237	Jimb0nat0r	2
237	Northernrabbit	2
