rank	username	minecraft:picked_up/minecraft:quartz_stairs
205	SSytex_X	6
205	Jimb0nat0r	6
211	Jindong	5
211	ShedJr_	5
211	jacxhadow	5
211	NotMeanttoChange	5
211	Avrelion	5
211	MyNameIsJobo	5
211	fkGrim	5
211	wwwwinnebagoooo	5
211	TheTommyGun63	5
211	VentiHilton	5
221	BPTY4618	4
221	6king6colt6	4
221	FrostySlimez	4
221	ratglock	4
221	Tiberonus	4
221	catandmoose	4
221	Snowflowe	4
221	AlexxO_o	4
221	ougstur	4
221	Factoroni	4
221	SvenskaHugo	4
221	Fizznut909	4
221	AltnumberF4	4
221	diggydog67	4
235	sipl2	3
235	Cortexia	3
235	PegLegPete93	3
235	Jonafrog99	3
235	GooseWithin	3
235	FreddyFart	3
235	KlausVonStiglitz	3
235	Quincannon	3
235	Deerfoot	3
235	OG_Songsee	3
235	Kura2218	3
235	Hermanni__	3
235	Quotary	3
248	ColeSnyder	2
248	Reamdin	2
248	SquadMonster	2
248	shdesolt	2
248	Smashic	2
248	Awyrlas	2
248	2Stout	2
248	drunkeeez	2
248	Karetoko	2
248	KeruNatsema	2
248	wobn	2
248	bloomkieren	2
248	tsitrawhy	2
248	Serval2000	2
262	bigstankyy	1
262	Sabby65	1
262	T045RTY	1
262	ZaneABrain	1
262	MattieHD	1
262	pr33tu	1
262	Scathra	1
262	emrekn	1
262	Xalithia	1
262	gcaisawesome	1
262	Touched_Bread	1
262	SlayerCrypto	1
262	_Boipl_	1
262	Felenov	1
262	F_Uhre	1
262	ClemenPine	1
262	Luminad3	1
262	hsgarbage23	1
262	DemTechAlpha	1
262	DarlaMeow	1
262	MAns_44	1
262	carpet4_69	1
262	marumochis	1
262	BumbleBeever	1
262	WyngGoy	1
262	PortlyPete69	1
262	Dogcorn69420	1
262	MilleGrug	1
262	striker90333	1
262	Iamthejo	1
262	ConnorDanky_	1
262	FishisTTV	1
