rank	username	minecraft:picked_up/minecraft:smooth_stone
128	alderban107	254
131	Akoot_	250
132	beeperbeeper5	243
133	SexcMf	235
134	wezzzi	232
135	Eczbek	229
136	Prodiginus	227
136	NotKaden_	227
138	Fullut	225
139	Merv__	221
139	luseis	221
141	Wolverine4302	220
142	PazinGaming	216
143	K_a__a_n	214
144	geekbird	211
144	Hermanni__	211
146	ssleepless	210
147	r123moore	209
148	burbankbuilder28	205
149	lillips	199
150	Tobinator_007	198
151	Malorn_Aetherius	197
151	emrekn	197
153	Tolhart	186
154	JayToe	183
155	The_slideV3	182
156	Eraxa	181
157	TechnoNinja64	178
158	Hoid_the_Roamer	170
159	wiqor	169
160	PhantomsGhost_	163
161	xxPipperDipperxx	161
162	Chromary	160
163	wobn	155
164	_Virify_	154
165	Jimb0nat0r	152
166	MunkaKris	149
167	Alteriity	147
167	Inchef	147
167	The_Cruncy	147
170	DemTechAlpha	144
171	censorsheep	143
171	GravitySaint	143
171	Winston_Ingram	143
174	pintsizedrogue	140
175	heckface	133
176	tortillatitan	132
177	TeenMomTom	128
178	PlzNoBM	125
179	Maenara	123
179	NomadicRobin_	123
181	seramalen	120
182	JESS_THE_RERE	119
183	ReverendSmith	118
183	AlphaWolfPlaysMC	118
183	shrimp_flips	118
186	Drewen24	117
187	Optiprimus	115
188	Tyrannosplart	110
189	_Huge_Male_	108
189	TheSeismicDuck	108
191	12Magner05	107
192	livingdaydreams	106
193	Arceus1975	103
194	KarlKaek	101
195	HyperCave	99
196	MineMaster0012	97
197	yatsuta	96
198	6king6colt6	94
199	shineh10	93
199	Deathkob	93
201	yheece	92
202	Myszoaz	91
202	RobotMinion101	91
204	Matek_	90
205	HELLO_I_AM_BEAR	89
206	Vector1209	86
207	Deguns123	84
208	2Stout	83
209	slkiey	82
209	fallingemma	82
211	BlueZabu	81
211	AlexxO_o	81
213	mwrty	79
214	ganyuganyu	77
214	mobunni	77
216	HeraclesOGU	76
217	Awyrlas	74
218	Hyugo	73
218	Ssor69	73
218	DTwenty	73
221	RoskobiOne	72
221	Werbe	72
221	Meatlaugh	72
221	UCP_TheKingK	72
225	SuperPooch06	71
226	BlankityMcBlank	70
226	stellarjay	70
228	Gundam_Steven	69
228	LeonelSalamanca	69
228	Segotep999	69
231	ExtraDumb	67
231	Soplight	67
231	Skippeh	67
234	drunkeeez	66
235	Lukeee33	65
235	poopybh	65
237	Healthing	64
237	TAKrules	64
237	ProfessorBee	64
237	Nyxiom_	64
237	pk1297	64
237	HesDemonPants	64
243	Ristebraaten	63
244	TiborSterle	61
245	parodypatient	60
246	Freeman666	58
246	Jordan_R	58
248	Austine6698	57
248	SaintJosie	57
250	XboxPanda	56
250	theofiel	56
252	Auseawesome	55
253	SteveCraftBlocks	54
254	_Dean_123	53
255	Adlair	52
256	ThePoliteG	51
257	Barlycorn	50
257	Fildyr	50
257	LilcoinXX	50
260	SyntheticSurgeon	49
260	Moofyman	49
262	_stets	48
263	CarltheCuck	46
263	oscminus	46
263	Soap_Bender	46
263	claivin	46
263	MakeHistory157	46
263	FelixPSY375	46
269	CoffeeNoir	45
270	teslawolf38	43
271	Fuad_R	42
272	Nicky_H225	41
273	MattieHD	39
273	__Fanda__	39
275	UncreativeArtist	38
275	Queen_Jalapeno	38
275	Parcc	38
278	KingFaenor	37
278	cog	37
280	PortlyPete69	35
281	fluddd	34
282	platinumzero	33
282	DC_XII	33
282	Kura2218	33
285	fade_emerge78823	32
286	SmashingPump	29
286	Kouridragon	29
286	561cool	29
289	shdesolt	28
289	avalan64	28
289	BumbleBeever	28
289	Druid95	28
289	jcool7	28
294	Incinere	27
295	Otto_chan	26
296	Hpdinosaur	25
296	BreadBacon	25
298	Touched_Bread	24
298	JohnPrice	24
300	Huwulling	23
