rank	username	minecraft:picked_up/minecraft:white_bed
132	Raspberry_Sodas	20
132	Fullut	20
132	Akoot_	20
132	SpacesickPrism	20
137	Incinere	19
137	RobotMinion101	19
137	EdGalbraith	19
137	StarCookiees_	19
141	Jovaphobic	18
141	Nicserso	18
141	Enderxz3	18
141	WYFYoyo	18
145	dabloons	17
145	301851	17
145	jacxhadow	17
145	TheDankPlatypus	17
145	ApophisNova	17
145	Onennon	17
145	lordpipe	17
145	Pumpkin_P_Patch	17
145	TheOuterCore	17
145	smogfrog	17
145	MyNamaSheff	17
156	KarlKaek	16
156	PoofHairGuy	16
156	Arceus1975	16
156	AuroraSkies	16
156	El_Jalapeno	16
156	LeEricc	16
162	angpony4267	15
162	Crowvens	15
162	_Dean_123	15
162	set67	15
162	BlueZabu	15
162	Chromary	15
162	Gus2005	15
162	Warlord324	15
170	q_wq	14
170	Lez_	14
170	Stynxy	14
170	m_be9	14
170	imcombxt	14
170	Winklepicker279	14
170	SuperPooch06	14
170	Hail_the_wombat	14
170	Leyna3	14
170	DTwenty	14
170	DemTechAlpha	14
170	iSammael	14
170	TheWickedBird	14
183	ewsophie	13
183	Natty	13
183	rarrq	13
183	cheerytomato	13
183	Kubelz	13
183	Invisie	13
183	Hisiste	13
183	IAmTheWalrus910	13
191	ImpavidArcher	12
191	skroobiez	12
191	Awyrlas	12
191	Touched_Bread	12
191	handsome_strong	12
191	Quincannon	12
191	blackeemperor	12
191	THEKINGLyric10	12
191	CheifJumbo	12
191	WyngGoy	12
191	hermmm_	12
202	j5ylim	11
202	PhantomsGhost_	11
202	AuroraValkyrie	11
202	ExtraDumb	11
202	SaucyDark	11
202	FirsTimeGamingTV	11
202	Hydro___________	11
202	XboxPanda	11
202	whoaluv	11
202	U_Mos_	11
202	Samificator	11
202	Maenara	11
202	masskedman	11
202	emreknugrlu	11
202	nonarso	11
202	KingMatthew506	11
218	Groovy_MoonBird	10
218	k_ce	10
218	NatalieTW	10
218	Cowison	10
218	ZaneABrain	10
218	titanlax	10
218	crying_wolf_13	10
218	Z3braYTIL	10
218	Kamflame	10
218	4774	10
218	ROY4LE	10
218	gcaisawesome	10
218	VanJosh	10
218	CharlieButt	10
218	MyNameIsJobo	10
218	NormanFetus	10
218	kiluaemc	10
218	_Karmaa	10
218	NameGenerat0r	10
218	Cyntrical	10
218	taengoos	10
218	BreadBacon	10
240	NinjaKnifeKill	9
240	gabukun_	9
240	Inchef	9
240	SellyZ	9
240	Boipl	9
240	FishyBoy3811	9
240	monky_irl	9
240	Ze_BaronKrigler	9
240	brofrickcheaters	9
240	FormulaNewt3627	9
240	Quotary	9
240	Sral7	9
252	Mr_Byzantine	8
252	PazinGaming	8
252	Jackywho	8
252	Flores991	8
252	Prismyst	8
252	catandmoose	8
252	yaboo88	8
252	The11thDoctor	8
252	jewbacaman	8
252	AspenLightVT	8
252	Buuck_	8
252	LokisCharredFace	8
252	MovingFish7	8
252	Optiprimus	8
252	Soul_Atreus	8
252	Kyrum2169	8
252	krutas2000	8
252	jcool7	8
252	Njensen7	8
252	Paguz01	8
252	Kateesaur	8
273	H0UNDFRMH3LL	7
273	abramgray	7
273	teslawolf38	7
273	Ryan_GEMS	7
273	Lukeee33	7
273	livingdaydreams	7
273	NoHaHeHa	7
273	Batman922	7
273	SquadMonster	7
273	NieToksikpl	7
273	DarkDescent2392	7
273	GingerNeutron	7
273	LordDiabolos	7
273	hcb238	7
273	M_Patata	7
273	crashomon	7
273	fenkuu	7
273	domagawha	7
273	SvenskaSara	7
273	Moofyman	7
273	brycepants	7
273	HolyVenom	7
273	True_Clipse	7
273	wezzzi	7
273	Toiton	7
273	Karbl	7
273	MustaLoordi	7
273	GeromeMerris	7
