rank	username	minecraft:picked_up/minecraft:stripped_spruce_log
142	Skylord_Luke	29
142	TheOuterCore	29
146	Ryker	28
147	Incinere	27
147	NomadicRobin_	27
147	Deerfoot	27
150	Jeteight	26
150	CSG_Haru	26
152	burbankbuilder28	25
152	Jimi7hits	25
152	El_Jalapeno	25
152	Paigefly	25
152	PortlyPete69	25
152	fffMike	25
158	Cowison	24
158	MattieHD	24
158	diggydog67	24
161	hm947	23
161	RebelAndroid	23
161	SquadMonster	23
161	Guillemet	23
165	zielkairos	22
165	Nycteus_	22
165	YungMaki	22
168	Vetral1	21
168	Kiki_Majiki	21
170	Cartoonmaniac	20
170	SpicyMeatballs	20
170	XboxPanda	20
170	ehunt54	20
170	UCP_TheKingK	20
170	xof_on_microwave	20
176	Hpdinosaur	19
176	ReyTheLegend	19
176	monolu	19
176	YoshikageBites	19
180	Hyp3rion_	18
180	regulator75	18
180	SexcMf	18
180	MineMaster0012	18
184	ChosenBruh	17
184	YungJakobo	17
184	TTNG	17
184	MightyWertu	17
184	Th6masss	17
184	TechnoNinja64	17
190	SDMNAEK	16
190	egglapras	16
190	Shavrin	16
193	Xalithia	15
193	gcaisawesome	15
193	pappaberg	15
193	MAns_44	15
193	Skippeh	15
198	Myszoaz	14
198	Cambo5000	14
198	CrookedKaptain	14
198	Solar_Power	14
198	RobotMinion101	14
198	KartivGal	14
204	Frozt99	13
204	Adlair	13
204	mwrty	13
204	_Bguette_	13
204	The_slideV3	13
204	erkada	13
210	Begformurrcy	12
210	corvidpartyfor6	12
210	Hanselhoof	12
210	Eman__1	12
210	gabriels543	12
210	FishyBoy3811	12
210	Hail_the_wombat	12
210	SkateboardR6	12
210	Smiguli_	12
219	Menthas	11
219	Dedalus36	11
219	SuperPooch06	11
219	Kubeusz2010	11
219	OfficerAnvil	11
219	jnp_gaming	11
225	Krimys	10
225	Cryptacity	10
225	ozekigod	10
225	HellsSponge	10
225	Spenduh	10
230	bigstankyy	9
230	T045RTY	9
230	eiC_	9
230	CruncyIsTaken	9
230	HolyVenom	9
230	Maenara	9
230	chipklip	9
230	RedcatVII	9
230	MovingFish7	9
230	sleepdrifter_	9
240	seanitoo	8
240	livingdaydreams	8
240	Icyyyyy	8
240	thewindmillman	8
240	CaptainDeadBread	8
240	PigDab	8
240	Fuhrer_Teemo	8
240	ewpunk	8
240	BreadBacon	8
249	PhantomsGhost_	7
249	_stets	7
249	Silenttieg	7
249	FirsTimeGamingTV	7
249	0nly_sn1per	7
249	whoaluv	7
249	rotten_mango	7
249	KermitTheKripple	7
249	CattSoup	7
258	ExtraDumb	6
258	_Razar	6
258	Winklepicker279	6
258	Marbz_	6
258	Drewen24	6
258	lillips	6
258	SingedBread	6
258	xyfrs	6
258	MilleGrug	6
258	00000000-0000-0000-0009-01f16526f034	6
268	JohnnyFyes	5
268	Ardennes	5
268	SteveCraftBlocks	5
268	Snowflowe	5
268	Bumpy419	5
268	Will_Bee	5
268	DC_XII	5
268	Quaintster	5
268	wwwwinnebagoooo	5
268	cytotoxaint	5
268	Nekomin0	5
268	obzii	5
268	alderban107	5
268	HesDemonPants	5
282	Arteriana	4
282	ShedJr_	4
282	Lez_	4
282	Bobby808	4
282	Patwannabegamer	4
282	ROY4LE	4
282	2Stout	4
282	Gamergirl420628	4
282	HoltGrim	4
282	Minc_	4
282	Bucscw24	4
282	SokaOtaku	4
282	nut_e	4
282	Hiryu27	4
282	selectrix	4
282	fred870d	4
282	EfficientC52	4
282	Juh1s	4
282	Vellu21	4
