rank	username	minecraft:picked_up/minecraft:diamond_ore
233	Mr_Byzantine	34
233	DaviusMaximoose	34
233	fw3xy74	34
236	SaucyDark	33
236	corvidpartyfor6	33
236	MightyWertu	33
239	eiC_	32
239	XeroByMyth	32
239	Deodorante	32
239	Fuhrer_Teemo	32
239	LexMakesHistory	32
239	Tyrannosplart	32
239	Shogunite	32
246	Badenbeele	31
246	ECstardust	31
246	Megarboh	31
246	WYFYoyo	31
250	jambvds	30
251	emrekn	28
251	MonitorLizards	28
251	cog	28
251	IvarEXE	28
251	__tomato	28
251	tartanboy	28
257	OverallConcept	27
257	Smiguli_	27
259	Flores991	26
259	Euclidoris	26
259	MattieHD	26
259	SlayerCrypto	26
259	Manaateee	26
259	weabis	26
265	peachfuzz1267	25
265	youhjjhhhjj	25
265	SquadMonster	25
265	jacxhadow	25
265	IforgotCS_Source	25
265	FishyBoy3811	25
265	Quaintster	25
272	abramgray	24
272	ProfessorBee	24
272	burbankbuilder28	24
272	Katthaj	24
272	Cocoamallows	24
272	RadarHz	24
278	ProbablyNick	23
278	KingFaenor	23
278	Nyxiom_	23
278	KingMatthew506	23
278	EngagedGrub41	23
283	Hamsanders	22
283	xxPipperDipperxx	22
283	DJenthousiast	22
283	Kynigito	22
283	SUN_DREAM	22
283	verynothing	22
283	Eraxa	22
283	TheBananaKat	22
291	Kegradigm	21
291	whoaluv	21
291	Skylord_Luke	21
291	Leyna3	21
291	ogoa	21
291	tlustyCZARNY	21
297	Jakobo1337	20
297	MrExplorer	20
297	RobotMinion101	20
297	SkateboardR6	20
