rank	username	minecraft:picked_up/minecraft:sand
90	CollinMH06	32531
91	MinttyFressh	32459
92	Marbz_	32435
93	Mewar	31197
94	500am	31026
95	BumbleBeever	30973
96	Arceus1975	30852
97	Maenara	30657
98	diamondgolem35	30384
99	mwrty	29792
100	bigstankyy	29722
101	tonyth3tiger	29331
102	Fullut	29219
103	Groundler	28994
104	Franco093	28850
105	Optiprimus	28455
106	set67	28437
107	zToasty69z	28417
108	PlzNoBM	28401
109	luseis	28377
110	Awyrlas	27389
111	MattieHD	27264
112	Skippeh	27007
113	_Karmaa	26811
114	Racengan	26702
115	MightyWertu	26603
116	Kowcio_	26410
117	Notta	26204
118	4774	25615
119	groofles	25390
120	SkinnyBois	25296
121	Onennon	24824
122	Fuad_R	24649
123	Merv__	24592
124	Njensen7	24441
125	m_be9	24337
126	Jovaphobic	24131
127	Touched_Bread	24064
128	fw3xy74	23995
129	Hoid_the_Roamer	23097
130	Inbefour	23073
131	Swexti	22916
132	F_Uhre	22453
133	TheDankPlatypus	22411
134	ZeroKraken	21048
135	Hiryu27	20335
136	ApophisNova	20187
136	MyNamaSheff	20187
138	Alteriity	19928
139	MyNameIsJobo	18995
140	King_Pancake1	18900
141	sp00ky_ghost977	18850
142	FreddyFart	18063
143	Winklepicker279	18031
144	SyntheticSurgeon	17899
145	WyngGoy	17792
146	Nycteus_	17662
147	Elastiq	17531
148	Mattesco	17472
149	Eraxa	17253
150	Akoot_	16758
151	Mr_Byzantine	16715
152	thescout7	16540
153	Spenduh	16318
154	excelsionprime	16316
155	_TCARREIRA_	16107
156	Lez_	15785
157	xxPipperDipperxx	15555
158	yulgur1	15123
159	ROY4LE	15058
160	AlphaWolfPlaysMC	14913
161	MakeHistory157	14863
162	wwwwinnebagoooo	14404
163	lizardfightclub	14061
164	Barlycorn	14053
165	masskedman	13874
166	_i_ERROR_i_	13690
167	SingedBread	13502
168	Apollo_993	13241
169	Ajax6	13181
170	Ssor69	13139
171	Xalithia	12965
172	Myszoaz	12857
173	Badenbeele	12758
174	Da_Boss_Rani	12646
175	Zoeyfortnite	12611
176	LordSpeed37	12569
177	CliffEmAll	12551
178	burbankbuilder28	12287
179	walll	12171
180	Rumpletaezer	12091
181	Euclidoris	12087
182	Iagoku	12082
183	Lutres_	12060
184	Quotary	11664
185	Nicky19	11622
186	__tomato	11515
187	cog	11324
188	_Dean_123	11269
189	Deathkob	11211
190	00000000-0000-0000-0009-01ff0c3e5e4f	10939
191	CalebDHawk	10821
192	shrimp_flips	10818
193	Secret_Canary	10811
194	Soplight	10717
195	PazinGaming	10695
196	SpaceGrenadier	10667
197	NieToksikpl	10636
198	mafiKiwi	10489
199	_Dri_	10335
200	yheece	10155
201	Inchef	10153
202	ITDV	10119
203	ExtraDumb	10097
204	Hyugo	9859
205	vandmanden	9803
206	fffMike	9794
207	wezzzi	9730
208	Alexanderjac	9514
209	paranoid_plant	9305
210	legal_tax_evader	9267
211	MustaLoordi	9173
212	2Stout	9117
213	xzvu	9014
214	iSammael	8987
215	Xclax101	8756
216	_stets	8737
217	HolyVenom	8707
218	301851	8700
219	DC_XII	8583
220	Kamflame10	8536
221	NameGenerat0r	8478
222	ItsJWolff	8438
223	SDMNAEK	8418
224	gren_ben	8397
225	Huwulling	8379
226	Comma__	8333
227	StinkyDiplomat	8310
228	Historical_Sand	8233
229	SaintJosie	8225
230	FishisTTV	8018
231	ssleepless	8011
232	Hermanni__	7776
233	MAns_44	7663
234	XboxPanda	7615
235	FishyBoy3811	7612
236	rarrq	7602
237	Quaintster	7539
238	Jimi7hits	7354
239	squillz105	7327
240	SpacesickPrism	7196
241	CoffeeNoir	7153
242	victorLIE	7118
243	THEKINGLyric10	7088
244	xolstoi	7081
245	jcool7	7007
246	UCP_TheKingK	6993
247	AlexxO_o	6916
248	diggydog67	6896
249	KingFaenor	6854
250	skrongus	6767
251	Flores991	6761
252	Tyrannosplart	6749
253	prizm_	6738
254	Luigipunch989	6669
255	RobotMinion101	6624
256	xDraggin	6603
257	bloodbiter	6573
258	oscminus	6520
258	claivin	6520
260	oreee	6416
261	_Huge_Male_	6379
262	MoistMicrowave	6316
263	ZaneABrain	6247
264	OverallConcept	6193
265	OfficerAnvil	6099
266	TheEnderMan548	6076
267	Krowuss	6069
268	k_ce	5974
269	layabout100	5923
270	PegLegPete93	5885
271	Felenov	5859
272	ooga47	5843
273	The_Cruncy	5837
274	kalzor	5795
275	SammiWolfGirl	5788
276	Strangemonkey71	5784
277	HyperCave	5721
278	Dan_Scha	5684
279	stavgod	5616
280	PortlyPete69	5609
281	2blox_	5581
282	Ailmast	5578
283	titanlax	5504
284	HoltGrim	5466
285	BobDeBouwer1337	5463
286	brrh	5431
287	ProfessorBee	5430
288	The_slideV3	5407
289	Gundam_Steven	5387
290	BartekB19	5378
291	_lildarki3	5354
292	TheOuterCore	5289
293	Inconvenionce	5269
294	BronkerBrum	5220
295	Fildyr	5188
296	radioactv_jelly	5172
297	LeauVox4921	5170
298	H72l9w	5133
299	FirsTimeGamingTV	5122
300	Kouridragon	5111
