rank	username	minecraft:picked_up/minecraft:iron_helmet
155	Mattesco	3
155	Matyyy15	3
155	PigDab	3
155	cedric72	3
155	Luminad3	3
155	Rasmanden	3
155	HoldThatPee	3
155	Leyna3	3
155	Sky_light_KING	3
155	gustarbite	3
155	_Hayt	3
155	Fuhrer_Teemo	3
155	Fuad_R	3
155	_Karmaa	3
155	Shogunite	3
155	claivin	3
155	LazySupport00	3
155	lordpipe	3
155	Dusk_95	3
155	Razzgriz	3
155	pallow	3
155	SvenskaHugo	3
155	pixelviolin	3
155	Luigipunch989	3
155	GlitchyPlate810	3
155	KingMatthew506	3
202	Astronicky	2
202	tweety_sweety	2
202	doopiyo	2
202	Groovy_MoonBird	2
202	Aspagisum	2
202	RoskobiOne	2
202	JEWISHBadenBeele	2
202	KarlKaek	2
202	rachcl	2
202	IronArshXS	2
202	Slinkyy7071	2
202	TooManyDuck	2
202	Hpdinosaur	2
202	Flores991	2
202	tuckerdoodle	2
202	jimintyy	2
202	Alteriity	2
202	Seyaboy	2
202	lotarp	2
202	AlazelTheReal	2
202	Huwulling	2
202	Historical_Sand	2
202	gaziter10	2
202	Sleepy_Time_	2
202	ccwildfire1	2
202	FirsTimeGamingTV	2
202	Vizzoid	2
202	Ozixar	2
202	dopplexd	2
202	Upstro10	2
202	Koffeeinz	2
202	ratglock	2
202	Cryptacity	2
202	Ravenbie	2
202	ABUSNA1996	2
202	MrExplorer	2
202	Ardennes	2
202	Enigma0251	2
202	TheDiamondCG	2
202	500am	2
202	slkiey	2
202	Z3braYTIL	2
202	UncreativeArtist	2
202	UnderKat	2
202	Motsaro	2
202	Inchef	2
202	2Stout	2
202	Diavri	2
202	gcaisawesome	2
202	Yuvl	2
202	M_Patata	2
202	CollinMH06	2
202	loveseeker	2
202	xambsam	2
202	Rumpletaezer	2
202	popcanter	2
202	Snowflowe	2
202	wTXop	2
202	GoigeFZ	2
202	TheWildMateo	2
202	NNikitas	2
202	ooga47	2
202	Kouridragon	2
202	CruncyIsTaken	2
202	Onennon	2
202	Truckoss	2
202	_Cloverbelle_	2
202	AlexxO_o	2
202	Ender_Souls	2
202	KeruNatsema	2
202	NormanFetus	2
202	HolyVenom	2
202	Maenara	2
202	fw3xywashere	2
202	AlphaWolfPlaysMC	2
202	ogoa	2
202	bpmm	2
202	Joestra	2
202	NomadicRobin_	2
202	audiocracked	2
202	SpouHn	2
202	spencersolberg	2
202	Meepcraft	2
202	NYJ	2
202	KermitTheKripple	2
202	majlin16	2
202	DarlaMeow	2
202	Deerfoot	2
202	marumochis	2
202	RedcatVII	2
202	SingedBread	2
202	DolphinLaugh	2
202	Warlord324	2
202	Factoroni	2
202	Godspirit249	2
202	geekbird	2
202	CheifJumbo	2
202	MakeHistory157	2
202	Cocoamallows	2
