rank	username	minecraft:picked_up/minecraft:cobblestone_wall
237	F_Uhre	28
237	FishyBoy3811	28
243	JohnnyMines	27
243	Rich_Kat	27
243	wwwwinnebagoooo	27
243	taengoos	27
247	j5ylim	25
247	NatalieTW	25
247	Crowman1	25
247	BreadFruggis	25
247	Zerosene	25
247	fw3xy74	25
247	xzvu	25
254	Louiis123	24
254	Alphanzt99	24
254	wiqor	24
254	hcb238	24
254	Chromary	24
254	TheWildMateo	24
254	Soap_Bender	24
261	krutas2000	23
261	fffMike	23
261	momis24	23
264	_Huge_Male_	22
264	Flores991	22
264	LeauVox4921	22
264	DeeDeeThonk	22
268	SaucyDark	21
268	Stynxy	21
268	slkiey	21
268	KevinLikesPie	21
272	fenkuu	20
272	_Meow_Mix	20
272	Vicemaniac	20
272	Skippeh	20
272	Kateesaur	20
277	Ilinca_Io	19
277	Inchef	19
277	SuperPooch06	19
277	MustardDrinker	19
277	420BreadLizard	19
282	nocturne78	18
282	MinttyFressh	18
282	_Dean_123	18
282	Gzrdy	18
282	PaperCanvas	18
282	Wowful	18
288	ECstardust	17
288	_8man	17
288	OreTheBear	17
288	zToasty69z	17
288	AuroraSkies	17
288	GoofyBread	17
288	claivin	17
288	FishisTTV	17
296	RosaDoesMC	16
296	livingdaydreams	16
296	_havick	16
296	Sebaschan__	16
296	301851	16
