rank	username	minecraft:picked_up/minecraft:cyan_shulker_box
178	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	4
178	SvenskaHugo	4
178	CattSoup	4
187	Ev0luti0nz	3
187	Frozil20	3
187	mymayowasgone	3
187	ZaneABrain	3
187	Vensterbankje	3
187	Sleepy_Evelyn	3
187	Secret_Canary	3
187	poopybh	3
187	Awyrlas	3
187	Smiguli_	3
187	_Mythic____	3
187	Pumpkin_P_Patch	3
199	_Virify_	2
199	SoosAmongus	2
199	shineh10	2
199	KarlKaek	2
199	ImpavidArcher	2
199	Octatrack	2
199	SteveCraftBlocks	2
199	r123moore	2
199	fr_ser	2
199	milltesco	2
199	Skylord_Luke	2
199	Voxin2K	2
199	PigDab	2
199	Shortest_	2
199	audiocracked	2
199	Inbefour	2
199	Deodorante	2
199	Deathkob	2
199	MakeHistory157	2
199	OG_Songsee	2
199	BlankityMcBlank	2
199	icim	2
221	seanitoo	1
221	T045RTY	1
221	NinjaKnifeKill	1
221	Myszoaz	1
221	gabukun_	1
221	shilohkid	1
221	Hetti301	1
221	_Nuf	1
221	_Dean_123	1
221	Eeppari	1
221	_witch_craft_	1
221	Blammm	1
221	KGTV	1
221	gcaisawesome	1
221	hotdogdude23	1
221	Rocketlaunchers	1
221	yheece	1
221	xambsam	1
221	Rumpletaezer	1
221	burbankbuilder28	1
221	pappaberg	1
221	Bumpy419	1
221	TheWildMateo	1
221	DominusBeryl	1
221	Jimi7hits	1
221	Leyna3	1
221	masskedman	1
221	Sorry_Arey07	1
221	Fuhrer_Teemo	1
221	Nateman1000	1
221	DarlaMeow	1
221	_Karmaa	1
221	SlinkyPinky	1
221	censorsheep	1
221	silverpopcorn	1
221	FiguraDei	1
221	TheKingK_	1
221	Spenduh	1
221	PlzNoBM	1
221	TheBananaKat	1
221	Nicserso	1
221	JustinRee	1
221	TechnoNinja64	1
221	diggydog67	1
