rank	username	minecraft:picked_up/minecraft:polished_diorite
172	Haadrada	30
174	DSYisDizzy	29
175	ItsAki_	28
176	H72l9w	27
176	djancak	27
178	Jackster03	26
178	Shychelsoo	26
178	BlankityMcBlank	26
178	SSytex_X	26
182	Sky_light_KING	25
182	jnp_gaming	25
184	layabout100	24
184	TheEnderman548	24
184	kinas45y5	24
187	SoftSix	23
187	MangoSalad316	23
187	LordSpeed37	23
187	Dreamdbr14	23
191	stavgod	21
192	Purplehere	20
192	Lowjinx	20
194	pintsizedrogue	19
194	theofiel	19
196	Cortexia	18
196	avalan64	18
198	Shiirazuku	17
198	AvaRosey	17
198	Nekomin0	17
201	q_wq	16
201	RobotMinion101	16
203	CoffeeNoir	15
203	MyNameIsJobo	15
203	NarwhalTaco	15
203	AlphaWolfPlaysMC	15
203	BumbleBeever	15
208	slkiey	14
208	loveseeker	14
208	LilLizardWizard	14
208	DemTechAlpha	14
208	MineMaster0012	14
208	Sheldor097	14
214	500am	13
214	emrekn	13
214	r123moore	13
214	Freeman666	13
218	titanlax	12
218	pappaberg	12
218	Rasmanden	12
218	Racengan	12
218	Strangemonkey71	12
223	youhjjhhhjj	11
223	TheDankPlatypus	11
223	RefluxRatio	11
223	claivin	11
223	Warlord324	11
228	Jovaphobic	10
228	Kamflame10	10
228	hayybails	10
228	YungMaki	10
232	Bruh77	9
232	platinumzero	9
232	mariominejedi	9
235	Cryptacity	8
235	Seashimi	8
235	Vellu21	8
235	Sral7	8
239	nataliecool	7
239	Tolhart	7
239	Myszoaz	7
239	ratglock	7
239	egglapras	7
239	Avrelion	7
239	Hiryu27	7
239	Jij0	7
239	IdeallyGrey	7
239	EcksDofficial	7
249	Mr_Byzantine	6
249	Simon_Lowell	6
249	Historical_Sand	6
249	bloodbiter	6
249	Fullut	6
249	Motsaro	6
249	dendydoom	6
249	selectrix	6
249	Tergandius	6
249	sadvavilloso	6
249	al626win52	6
260	SaucyDark	5
260	Nach0Bear	5
260	PegLegPete93	5
260	DermeinUser	5
260	thewindmillman	5
260	Shin69	5
266	ryan521	4
266	ZaneABrain	4
266	Gooberkid223	4
266	Auseawesome	4
266	_Nuf	4
266	theonlymagikarp	4
266	fred870d	4
266	420BreadLizard	4
266	fkGrim	4
266	FlashMigma	4
266	starbits140	4
266	__tomato	4
278	heysushii	3
278	jpoxman	3
278	I_Am_Mushkin	3
278	Arteriana	3
278	SquadMonster	3
278	Euclidoris	3
278	Kkanot	3
278	thescout7	3
278	The11thDoctor	3
278	_naturell	3
278	KlausVonStiglitz	3
278	Barlycorn	3
278	markaus77	3
278	Vorlice	3
278	Kyrum2169	3
278	CLUBN2	3
278	Hermanni__	3
278	VentiHilton	3
278	vandmanden	3
297	PhantomsGhost_	2
297	FujiBS	2
297	TildaAndrea	2
297	diamondgolem35	2
