rank	username	minecraft:picked_up/minecraft:clay_ball
143	Fuad_R	818
144	Steelynan	812
145	seanitoo	800
146	sp00ky_ghost977	791
147	Optiprimus	778
148	tuckerdoodle	768
149	EMC_	760
150	Tyrannosplart	734
151	Ecplosive	728
152	TooManyDuck	724
153	jnp_gaming	705
154	wezzzi	700
155	bloomkieren	697
156	_Dean_123	684
157	xorompole	668
158	noam464	653
159	Kubeusz2010	652
160	ZigzagLily43042	632
161	mobunni	624
162	Marbz_	620
163	Jordan_R	612
164	jushykins	604
165	SwooshBoi	596
166	eviltunix	584
166	Moetis	584
168	T045RTY	576
168	MindyDooWho	576
170	Lez_	572
170	Notta	572
172	DolphinLaugh	560
173	ROY4LE	557
174	andy_rex	552
175	XxCookiequeenxX	548
176	peach0s	544
177	RatatJuice	536
177	Syropatathe	536
179	Maenara	533
180	MandenR1	528
181	juuustpeachy	524
181	BlueZabu	524
183	Paint	520
184	laron58	516
185	ExtraDumb	512
185	Roikdean	512
185	masskedman	512
185	shrimp_flips	512
189	SDMNAEK	496
190	QuiCreans	488
190	SvenskaSara	488
192	youhjjhhhjj	484
193	drompje	480
194	TakeThis2UrGrave	472
195	MAns_44	468
196	fffMike	466
197	maxdacatv2	460
198	r123moore	456
199	lordpipe	452
200	Xalithia	451
201	Lord_Jord	447
202	Blu3beast	438
203	RebelAndroid	436
204	Russiancat1	432
205	gusstationwerker	424
206	Frozil20	420
206	Meatlaugh	420
208	Comma__	418
209	DarkS0L	417
210	Quaintster	416
211	xzvu	406
212	Cowison	404
213	07shiny	396
214	RoskobiOne	384
215	Luminad3	380
216	ratglock	376
216	Sral7	376
218	TheSecondLord	375
219	Killercatty78	368
219	ooga47	368
221	Winklepicker279	364
222	00000000-0000-0000-0009-01fbab7ea71d	358
223	LeGold	356
223	DemTechAlpha	356
225	Fullut	353
226	claivin	352
227	Racengan	346
228	Purplehere	344
228	Smussa	344
230	Natty	340
230	cedric72	340
232	Ezekson	339
233	Khelvoryk	338
234	FGamerJ	336
235	Kubelz	332
236	legal_tax_evader	330
237	dudcreeper	328
237	cum_chalice	328
239	Elprone266	324
240	mariominejedi	316
240	NameGenerat0r	316
240	Rainaldus	316
240	zmpeg	316
244	Ao_Ken	308
245	TAKrules	304
245	MonitorLizards	304
247	SuperPooch06	301
248	parodypatient	300
248	AuroraSkies	300
248	Bloo2406	300
251	lillips	296
252	athereall	288
253	BlancoFlaco	284
254	Huwulling	280
254	Cellcorgi649	280
254	bladeefan2009	280
257	Kim_Jong_eel	278
258	Snowflowe	276
259	Ssor69	274
260	Batoser	272
260	Prismyst	272
262	Hermanni__	269
263	Cryptacity	268
263	mwrty	268
263	TableTim	268
266	ShedJr_	267
267	AgressiveEggdog	256
268	Smashic	255
269	The11thDoctor	252
269	Zoeyfortnite	252
271	eitanzaki	248
272	Werbe	244
272	EngagedGrub41	244
274	Koffeeinz	240
274	malgosia14	240
276	SyntheticSurgeon	238
277	Chromary	236
277	Azmodan_246	236
277	grislgrobl	236
280	Sleek_Storm_721	232
280	Guillemet	232
280	WET_WET_WET	232
280	EcksD	232
284	_Karmaa	228
284	Deguns123	228
286	Myrosia	224
286	Valoth	224
286	__Fanda__	224
289	Bumpy419	220
290	Gemstuff	216
290	ConnorDanky_	216
292	Tolhart	212
292	vampgey	212
294	Hpdinosaur	208
294	TuesdayEpisode	208
294	TheDiamondCG	208
297	fw3xywashere	204
297	Shogunite	204
297	jcool7	204
300	babyjimmyneutron	203
