rank	username	minecraft:picked_up/minecraft:hopper
264	ActualPatbaf	35
264	Megarboh	35
264	Smashic	35
269	Groovy_MoonBird	34
269	ReSynced	34
269	FishisTTV	34
272	H72l9w	33
272	mariominejedi	33
272	Luigipunch989	33
272	Skippeh	33
276	Mewar	32
276	TheBananaKat	32
278	ImDisconnected_	31
278	Giannism	31
278	audiocracked	31
278	Nycteus_	31
278	TheDumbHuman	31
278	Enderxz3	31
278	calamariclam_I	31
285	MattieHD	30
285	Zaridey	30
285	censorsheep	30
285	radioactv_jelly	30
289	cedric72	29
289	Maenara	29
289	fluddd	29
289	_TCARREIRA_	29
289	diggydog67	29
294	dimondking777	28
294	legal_tax_evader	28
294	NomadicRobin_	28
294	weabis	28
294	SingedBread	28
294	silverpopcorn	28
300	Euclidoris	27
