rank	username	minecraft:picked_up/minecraft:composter
154	ClemenPine	7
154	RodSerlingCringe	7
154	Akoot_	7
154	AvaRosey	7
154	Spenduh	7
154	gaming4Naming	7
154	FelixPSY375	7
154	ThatBurritoTh0	7
165	SaucyDark	6
165	SHAOBADMAN	6
165	Meatlaugh	6
165	DemTechAlpha	6
165	SkateboardR6	6
165	Dusk_95	6
165	starbits140	6
165	mobunni	6
165	Quotary	6
165	Nicserso	6
165	Sral7	6
176	Yatitay	5
176	rarrq	5
176	Malorn_Aetherius	5
176	TheSecondLord	5
176	IforgotCS_Source	5
176	PegLegPete93	5
176	John6970	5
176	CharlieButt	5
176	TheTrueClipse	5
176	MyNameIsDakar	5
176	LordAurum	5
176	ProfessorDiaper	5
176	kyouma777	5
176	LeeMcGee30	5
176	anbbang	5
176	mountaingirl311	5
176	WYFYoyo	5
193	I_Am_Mushkin	4
193	TooManyDuck	4
193	RatatJuice	4
193	MSK__	4
193	Megarboh	4
193	crying_wolf_13	4
193	himak1	4
193	Marbz_	4
193	DaviusMaximoose	4
193	MangoTheFish	4
193	MonitorLizards	4
193	Jimi7hits	4
193	Maenara	4
193	MAns_44	4
193	Airem_Core	4
193	Eraxa	4
193	stellarjay	4
193	GlitchyPlate810	4
193	Sheldor097	4
193	Lowjinx	4
193	PlasticOtari	4
193	The_SlideV5	4
215	teslawolf38	3
215	Hyugo	3
215	imNP	3
215	Natty	3
215	AlazelTheReal	3
215	actuallysadie	3
215	Myrlewen	3
215	nocturne78	3
215	SquadMonster	3
215	ccormacs	3
215	Frxnkz	3
215	jacxhadow	3
215	Rich_Kat	3
215	m_be9	3
215	Smashic	3
215	Awyrlas	3
215	Jon__Arbuckle	3
215	ROY4LE	3
215	HypixelForums	3
215	TheDankPlatypus	3
215	ImDisconnected_	3
215	SuperPooch06	3
215	stickwhiskers	3
215	Shavrin	3
215	KeruNatsema	3
215	FishyBoy3811	3
215	FreddyFart	3
215	Lutres_Torane	3
215	07shiny	3
215	Kowcio_	3
215	underscore_2	3
215	MineMaster0012	3
215	djancak	3
215	Deguns123	3
249	Gary_	2
249	MunkaKris	2
249	SaltineDream	2
249	soundad	2
249	Tolhart	2
249	Frozt99	2
249	Jackster03	2
249	heckface	2
249	Stynxy	2
249	SwankMule	2
249	MinttyFressh	2
249	MattieHD	2
249	lordsaladito	2
249	G1ldor	2
249	Gamergirl420628	2
249	breadbowlgamer	2
249	eli_tschki	2
249	DukeBoy1646	2
249	Chromary	2
249	Fast_Turtle	2
249	Bumpy419	2
249	RobotMinion101	2
249	Kouridragon	2
249	TTNG	2
249	dezxalo	2
249	fkGrim	2
249	Jiminie	2
249	lillips	2
249	Xclax101	2
249	the__Reaper4999	2
249	Barlycorn	2
249	Warlord324	2
249	Optiprimus	2
249	KG1999	2
249	lcvezra	2
249	Enderslayerxz3	2
249	Powowowow	2
286	SugarMyNuggets	1
286	Jovaphobic	1
286	Thaumatarge	1
286	nataliecool	1
286	littlesophiagirl	1
286	dudcreeper	1
286	RoskobiOne	1
286	Mowelan	1
286	jspwn	1
286	numbra	1
286	bigstankyy	1
286	SirUnderpants	1
286	ewsophie	1
286	Batman922	1
286	_Frepp_	1
